商家,区域,商圈,星级,服务,价格,销量
佑米造型（李家村万达旗舰店）,碑林区,李家村,5.0,丽人狂欢节-欧莱雅烫/染二选一,228,310658
佑米造型（太白立交店）,碑林区,怡丰城/西荷花园,4.9,丽人狂欢节-欧莱雅烫/染二选一,228,310658
佑米造型（西安中贸广场旗舰店）,碑林区,南稍门,5.0,丽人狂欢节-欧莱雅烫/染二选一,228,310658
佑米造型（立丰国际旗舰店）,碑林区,立丰国际,5.0,丽人狂欢节-欧莱雅烫/染二选一,228,310658
佛伦斯私人订制烫染国际连锁（粉巷一号店）,碑林区,广济街,5.0,美芝品系列单人美发套餐,168,143257
佛伦斯私人定制烫染国际连锁（东门外鸡市拐店）,碑林区,东关正街,5.0,美芝品系列单人美发套餐,168,143257
佛伦斯私人定制烫染国际连锁（李家村万达广场店）,碑林区,李家村,5.0,美芝品系列单人美发套餐,168,143257
佛伦斯私人定制烫染名店（中贸至尊店）,碑林区,南稍门,5.0,美芝品系列单人美发套餐,168,143257
佛伦斯私人定制烫染国际连锁（兴庆路交通大学店）,碑林区,交大/理工大,5.0,美芝品系列单人美发套餐,168,143257
瑞豪专业烫染连锁,碑林区,南稍门,4.9,【资深设计师】提案+精致裁剪+造型,28.8,107242
欧莱雅私人定制美发连锁（西安李家村万达总店）,碑林区,李家村,5.0,单人洗剪吹/护理套餐2选1,39,101049
欧莱雅私人定制美发连锁（西安泰华金汇店）,碑林区,西北大/西工大,5.0,单人洗剪吹/护理套餐2选1,39,101049
欧莱雅私人定制（西安幸福逸家店）,碑林区,东关正街,5.0,单人洗剪吹/护理套餐2选1,39,101049
施华蔻美发连锁（西安立丰国际店）,碑林区,立丰国际,5.0,单人施华蔻烫染套餐3选1,208,85657
施华蔻美发连锁（粉巷一号凯曼酒店总店）,碑林区,广济街,5.0,单人施华蔻烫染套餐3选1,208,85657
施华蔻美发连锁（西安中贸广场店）,碑林区,南稍门,5.0,单人施华蔻烫染套餐3选1,208,85657
施华蔻美发连锁（西安御城龙脉店）,碑林区,交大/理工大,5.0,单人施华蔻烫染套餐3选1,208,85657
施华蔻美发连锁（西安大洋时代国际店）,碑林区,怡丰城/西荷花园,5.0,单人施华蔻烫染套餐3选1,208,85657
施华蔻美发连锁（西安李家村万达店）,碑林区,李家村,5.0,单人施华蔻烫染套餐3选1,208,85657
欧莱雅私人定制美发连锁（西安中贸广场店）,碑林区,南稍门,5.0,单人欧莱雅美奇丝烫/染/拉3选1套餐),159,76414
新靓点烫染全国连锁（太白路立交店）,碑林区,怡丰城/西荷花园,4.7,新靓点优质烫发/染发护发套餐,148,7365
新靓点烫染全国连锁（太白北路店）,碑林区,西北大/西工大,5.0,新靓点优质烫发/染发护发套餐,148,7365
新靓点烫染全国连锁（骡马市店）,碑林区,钟楼/鼓楼,4.8,新靓点优质烫发/染发护发套餐,148,7365
新靓点烫染全国连锁（粉巷店）,碑林区,广济街,4.2,新靓点优质烫发/染发护发套餐,148,7365
新靓点烫染全国连锁（立丰国际店）,碑林区,立丰国际,5.0,新靓点优质烫发/染发护发套餐,148,7365
新靓点烫染全国连锁（建工路店）,碑林区,立丰国际,5.0,新靓点优质烫发/染发护发套餐,148,7365
Kiss Me无痕接发,碑林区,碑林区,5.0,单人无痕接发套餐1包,468,6442
优姿造型连锁机构（交大店）,碑林区,交大/理工大,5.0,单人剪发套餐,24.8,4205
优姿造型连锁机构（立丰国际店）,碑林区,立丰国际,5.0,单人剪发套餐,24.8,4205
海滨岛烫染全国连锁（尊颜美容美发店）,碑林区,交大/理工大,4.4,单人烫染护+首席洗剪吹套餐,188,4134
绚诺soho（李家村万达旗舰店）,碑林区,碑林区,4.8,欧莱雅美奇丝系列单人轻奢 烫/染+护理 套餐,198,3712
兮古造型（南稍门中贸广场店）,碑林区,南稍门,5.0,单人设计师洗剪吹套餐,35,3526
绚诺soho（东大街店）,碑林区,东大街,4.0,单人小资美发 染/烫/柔顺/直发/定位5选1+护理 套餐,148,3311
良子造型,碑林区,东关正街,5.0,洗剪吹单人套餐,21.8,3226
摩羯座发型,碑林区,李家村,5.0,单人洗剪吹1次,25,3061
匠人组合,碑林区,黄雁村,4.9,单人发型总监精剪,25,3042
明洞形象（互助路店）,碑林区,互助路立交,5.0,单人剪发套餐,38,2856
JY发型工作室（钟楼总店）,碑林区,东大街,4.6,单人菲灵烫发,298,2333
悦瑟坊.染接.国际连锁（立丰国际店）,碑林区,立丰国际,5.0,单人总监洗剪吹+护理,88,1854
悦瑟坊染接国际连锁（御城龙脉）,碑林区,交大/理工大,5.0,单人总监洗剪吹+护理,88,1854
悦瑟坊专业染发接发连锁品牌（怡丰城店）,碑林区,怡丰城/西荷花园,5.0,单人总监洗剪吹+护理,88,1854
Uz造型连锁机构（东二环店）,碑林区,立丰国际,5.0,单人首席设计师洗剪吹+泰式洗发+欧式造型套餐,19.8,1760
臻美形象会所,碑林区,交大/理工大,5.0,臻美形象会所洗剪吹,22.8,1710
达人工作室,碑林区,东大街,5.0,单人欧莱雅美奇丝烫发或卡凡染发套餐,188,1566
尚流造型（世纪金花店）,碑林区,南大街,5.0,单人资深设计师洗剪吹1次,68,1529
唯尼造型,碑林区,黄雁村,4.4,单人剪发套餐,21.8,1521
澳威雅美发沙龙工作室,碑林区,和平门/建国门,5.0,单人剪发套餐,19.9,1499
永琪美容美发（西安昌润广场）,碑林区,黄雁村,4.6,单人洗剪吹,39.9,1421
永琪美容美发（西安粉巷店）,碑林区,广济街,4.7,单人洗剪吹,39.9,1421
永琪美容美发（西安中坤广场店）,碑林区,立丰国际,4.1,单人洗剪吹,39.9,1421
6号沙龙潮牌连锁（李家村店）,碑林区,李家村,5.0,单人总监洗剪吹套餐,38,1383
莫凡造型（李家村店）,碑林区,碑林区,5.0,单人首席精剪造型,28,1377
兮颜SHOW,碑林区,钟楼/鼓楼,5.0,单人资深设计师洗剪吹,29.8,1252
巴黎造型（李家村万达广场店）,碑林区,李家村,5.0,单人洗剪吹,29.8,1211
Everyday每天形象发型社,碑林区,南稍门,5.0,单人洗剪吹,28.8,1162
熙城造型（兰蒂斯城店）,碑林区,交大/理工大,3.9,单人普通洗剪吹套餐,30,1147
骊波银座（粉巷店）,碑林区,广济街,4.6,单人精剪套餐,88,1114
悦色Usee造型（省体育场店）,碑林区,碑林区,4.0,【专业组】发型师单人精致裁剪,55,1105
悦色Usee造型（交大尊颜店）,碑林区,碑林区,4.5,【专业组】发型师单人精致裁剪,55,1105
赫斯形象设计,碑林区,钟楼/鼓楼,5.0,单人专业造型师精剪,29.8,1061
艺芙形象设计（中贸广场店）,碑林区,南稍门,5.0,单人技术总监日韩裁剪体验,19.9,1048
以勒造型工作室,碑林区,南稍门,5.0,以勒造型工作室美发套餐,24.9,1048
尚上造型工作室（钟楼尚上造型）,碑林区,东大街,4.8,兰齐儿染发/凯旋烫发2选一,228,1034
艾尚美形象工作室,碑林区,南稍门,4.9,单人剪发造型套餐,39.8,981
MISS铭丝（李家村万达店）,碑林区,李家村,5.0,单人资深造型师洗剪吹套餐,29.8,897
釉尚·沙龙,碑林区,南稍门,5.0,单人首席设计师洗剪吹 体验,23.8,878
小海造型,碑林区,怡丰城/西荷花园,4.8,【小海美发】洗剪吹,35.8,862
东尚造型烫染连锁（万达广场店）,碑林区,李家村,5.0,单人美发套餐,198,840
E造型美发连锁（尚都城店）,碑林区,交大/理工大,4.7,单人洗剪吹,38,819
美人邦私人订制美发连锁（中贸广场店）,碑林区,南稍门,4.9,高级滋养美发单人套餐,55.8,809
BOBO形象设计,碑林区,交大/理工大,5.0,单人洗剪吹,23,764
每美魅美容美发养生名店,碑林区,交大/理工大,5.0,单人剪发套餐,18,753
元素美发工作室,碑林区,李家村,5.0,单人洗剪吹,30,744
空谷形象,碑林区,朱雀大街北段,5.0,单人洗剪吹套餐,24.9,740
芭曲私人造型,碑林区,交大/理工大,5.0,单人资深设计师洗剪吹,25,735
晓惠造型（总店）,碑林区,劳动南路,5.0,单人洗剪吹限时特惠,19.9,699
ZZM接发烫染潮牌美发连锁（佐佐木中贸广场店）,碑林区,南稍门,5.0,单人精剪吹,30,637
东尼造型工作室,碑林区,李家村,5.0,潮色,188,629
McQ发型设计沙龙,碑林区,互助路立交,5.0,【剪裁】精致裁剪设计,28.9,624
兮古造型（李家村万达店）,碑林区,李家村,5.0,单人总监豪华烫染套餐,268,623
英皇沙宣造型,碑林区,钟楼/鼓楼,5.0,单人丽诺烫发/染发/柔顺拉直发3选1套餐,358,554
尊颜美容美发（南二环店）,碑林区,交大/理工大,3.5,巴黎欧莱雅烫染系列,138,546
摩影岛造型,碑林区,南稍门,5.0,单人设计师洗剪吹套餐,35,500
ofer形象设计,碑林区,南稍门,5.0,单人设计师洗剪吹,9.9,506
髻美舍,碑林区,李家村,5.0,单人总监剪发加造型,25,483
Biggirls比格女孩,碑林区,南稍门,4.4,洗剪吹,25,472
美蒂造型（科技大学店）,碑林区,李家村,4.9,单人美发套餐,199,448
时光发型工作室·杰杰发艺,碑林区,李家村,4.2,洗剪吹套餐,25.8,425
简艺形象,碑林区,长安立交,5.0,单人资深设计师洗剪吹,28,421
名尚美发工作室,碑林区,文艺路,4.6,洗剪吹,20,373
天使爱人美容美发养生会所,碑林区,南稍门,5.0,单人设计师洗剪吹,19.8,341
尚姿艺术形象工作室（中贸广场店）,碑林区,南稍门,4.9,尚姿艺术形象工作室洗发按摩造型,25,302
卡拿魅力造型,碑林区,立丰国际,5.0,单人发型总监洗剪吹,39.9,279
发都私人定制,碑林区,长安立交,5.0,单人首席洗剪吹,28.8,275
sy艺琅造型（互助路店）,碑林区,互助路立交,4.9,单人剪发套餐,25,273
川木造型私人定制,碑林区,李家村,5.0,单人洗剪吹,58,255
丝艺美容美发会所,碑林区,互助路立交,5.0,单人精剪套餐,20,248
天域凯莱大酒店美发沙龙（玉坤创意发艺）,碑林区,李家村,5.0,单人洗剪吹套餐,36.8,247
她美发型（东大街店）,碑林区,和平门/建国门,3.4,剪发,18,16
Fancy hair salon,碑林区,南稍门,3.8,单人洗吹造型套餐,30,16
金氏美发工作室,碑林区,南大街,3.5,单人总监洗剪吹套餐,60,16
青沐发型,碑林区,南稍门,5.0,单人设计师洗剪吹,51,15
LM 形象设计室,碑林区,南稍门,4.6,单人设计师洗剪吹套餐,30,15
WAKE初醒,碑林区,南稍门,4.4,单人洗剪吹,49,14
严制造型,碑林区,南稍门,4.0,单人总监剪发套餐,100,14
伊丽丝专业美发烫染私人定制,碑林区,南稍门,4.9,染烫套餐,258,13
云涯造型,碑林区,交大/理工大,4.6,头发护理套餐,38,13
潮人形象会所,碑林区,长安立交,4.9,单人资深设计师洗剪吹造型,39,13
遇见 hair salon,碑林区,南稍门,5.0,单人资深设计师定制精剪,98,12
BE YOURSELF 美发沙龙,碑林区,文艺路,4.0,单人资深设计师精剪套餐,66,11
臻美印象,碑林区,南稍门,5.0,单人瑞丽烫/染2选1套餐,168,10
李南造型（雁塔北路店）,碑林区,李家村,3.7,单人帝臣樱花精华营养陶瓷烫发染发二选一,238,9
李南造型（开元店）,碑林区,南大街,3.3,单人帝臣樱花精华营养陶瓷烫发染发二选一,238,9
顶尚风,碑林区,钟楼/鼓楼,4.6,单人总监洗剪吹,29.9,9
典雅造型,碑林区,东关正街,4.4,单人高级烫染套餐,158,8
青果形象,碑林区,南稍门,5.0,单人剪护套餐,39.8,7
子培形象沙龙,碑林区,南稍门,5.0,单人洗护造型套餐,30,7
