商家,区域,商圈,星级,服务,价格,销量
佑米造型（恒峰步行街店）,云岩区,恒峰步行街,5.0,丽人狂欢节-欧莱雅烫/染二选一,228,310655
佛伦斯私人定制烫染国际连锁（中大国际广场店）,云岩区,中大国际购物中心,5.0,美芝品系列单人美发套餐,168,143257
佛伦斯私人订制烫染国际连锁（恒峰步行街店）,云岩区,恒峰步行街,5.0,美芝品系列单人美发套餐,168,143257
瑞豪专业烫染连锁（紫林庵汇金星力城店）,云岩区,紫林庵,5.0,【资深设计师】提案+精致裁剪+造型,28.8,107241
欧莱雅私人定制（贵阳小十字店）,云岩区,小十字,5.0,单人洗剪吹/护理套餐2选1,39,101046
欧莱雅私人定制（贵阳王家桥店）,云岩区,未来方舟,4.9,单人洗剪吹/护理套餐2选1,39,101046
欧莱雅私人定制（贵阳延安东路店）,云岩区,文昌北路,5.0,单人洗剪吹/护理套餐2选1,39,101046
欧莱雅私人定制美发连锁（贵阳恒丰店）,云岩区,恒峰步行街,4.7,单人洗剪吹/护理套餐2选1,39,101046
欧莱雅私人定制（市西路步行街店）,云岩区,延安西路,5.0,单人洗剪吹/护理套餐2选1,39,101046
美联社&美丽频道造型（云岩广场店）,云岩区,喷水池,5.0,菲灵剪护造型送烫发染发二选一,178,97788
施华蔻美发连锁（贵阳恒峰步行街店）,云岩区,恒峰步行街,5.0,单人施华蔻烫染套餐3选1,208,85656
施华蔻美发连锁（贵阳中大国际店）,云岩区,中大国际购物中心,5.0,单人施华蔻烫染套餐3选1,208,85656
施华蔻美发连锁（贵阳喷水池店）,云岩区,喷水池,5.0,单人施华蔻烫染套餐3选1,208,85656
施华蔻美发连锁（市西路步行街店）,云岩区,延安西路,5.0,单人施华蔻烫染套餐3选1,208,85656
施华蔻美发连锁（贵阳云岩广场店）,云岩区,云岩广场,5.0,单人施华蔻烫染套餐3选1,208,85656
欧莱雅私人定制（贵阳中大国际店）,云岩区,大营坡,5.0,单人欧莱雅美奇丝烫/染/拉3选1套餐),159,76413
紫尚造型（贵阳恒峰步行街店）,云岩区,恒峰步行街,5.0,【人气】单人烫染直三选一美发套餐,159,59506
美宝莲美发直营连锁（中大国际店）,云岩区,云岩区,5.0,施华蔻套餐3选1,208,42708
米娜造型（小石城店）,云岩区,云岩区,3.7,单人美发套餐5选1,128,35162
海飞丝烫染连锁（紫林庵星力城店）,云岩区,汇金星力城,4.8,单人高级施华蔻烫/染套餐3选1,288,29443
可唻咿造型（中大国际广场店）,云岩区,中大国际购物中心,5.0,高级设计师洗剪吹,29.8,27044
1号连锁美发专家（大国际广场店）,云岩区,中大国际购物中心,4.7,单人首席洗剪吹套餐,38,14348
蔓莎造型全国连锁（宝山北路店）,云岩区,富水北路,5.0,单人高级理发师单人洗剪吹,24.8,14279
丝域养发馆（小十字贵山店）,云岩区,云岩区,4.0,玫瑰香薰spa+水润头皮护理,88,10636
椰岛造型（东山店）,云岩区,云岩区,4.3,单人染/烫套餐,159,10549
椰岛造型（师大店）,云岩区,师大,5.0,单人染/烫套餐,159,10549
椰岛造型（凯旋门店）,云岩区,云岩广场,5.0,单人染/烫套餐,159,10549
G-FASHION 时尚造型（中大店）,云岩区,中大国际购物中心,5.0,单人资深设计师剪发,30,3922
kelly私人造型定制,云岩区,云岩区,5.0,单人洗剪吹套餐,45,3482
脱壳MMM时尚潮店半永久,云岩区,云岩区,5.0,单人纳米无痕接发,5.8,3472
