商家,区域,商圈,星级,服务,价格,销量
佑米造型（国贸店）,金水区,国贸360,5.0,丽人狂欢节-欧莱雅烫/染二选一,228,310652
佑米造型（龙子湖东校区店）,金水区,龙子湖校区,5.0,丽人狂欢节-欧莱雅烫/染二选一,228,310652
佑米造型（北环文化路店）,金水区,陈寨/张家村,5.0,丽人狂欢节-欧莱雅烫/染二选一,228,310652
佑米造型（中州大道农业路店）,金水区,金城国际广场,5.0,丽人狂欢节-欧莱雅烫/染二选一,228,310652
佑米造型（科技市场店）,金水区,科技市场/硅谷广场,5.0,丽人狂欢节-欧莱雅烫/染二选一,228,310652
佑米造型（天旺广场店）,金水区,天旺广场,5.0,丽人狂欢节-欧莱雅烫/染二选一,228,310652
佑米造型（凯德广场精品店）,金水区,东建材,5.0,丽人狂欢节-欧莱雅烫/染二选一,228,310652
佑米造型（金鹏时代店）,金水区,金水区,5.0,丽人狂欢节-欧莱雅烫/染二选一,228,310652
佑米造型（大石桥soho店）,金水区,大石桥,5.0,丽人狂欢节-欧莱雅烫/染二选一,228,310652
佑米造型（经三路店）,金水区,省电视台/北站,5.0,丽人狂欢节-欧莱雅烫/染二选一,228,310652
佑米造型（曼哈顿商业广场店）,金水区,曼哈顿广场,5.0,丽人狂欢节-欧莱雅烫/染二选一,228,310652
佛伦斯私人订制烫染国际连锁（轻工业学院店）,金水区,财院/轻工业学院,5.0,美芝品系列单人美发套餐,168,143257
佛伦斯私人订制烫染国际连锁（金成国际店）,金水区,金城国际广场,5.0,美芝品系列单人美发套餐,168,143257
佛伦斯私人定制烫染国际连锁（曼哈顿广场店）,金水区,曼哈顿广场,5.0,美芝品系列单人美发套餐,168,143257
佛伦斯私人订制烫染国际连锁（高级美发沙龙私人订制）,金水区,国贸360,5.0,美芝品系列单人美发套餐,168,143257
水晶之恋（023健康路店）,金水区,健康路/体育场,5.0,单人技术总监精致剪发造型,29.9,138524
水晶之恋（095丰产路二店）,金水区,经三路沿线,5.0,单人技术总监精致剪发造型,29.9,138524
水晶之恋（146丰产三店）,金水区,经三路沿线,5.0,单人技术总监精致剪发造型,29.9,138524
水晶之恋（155任寨北街二店）,金水区,建文新世界,5.0,单人技术总监精致剪发造型,29.9,138524
