商家,区域,商圈,星级,服务,价格,销量
摩登时尚hair salon（大坪店）,渝中区,大坪,5.0,单人摩登奢华烫/染/拉直3选1套餐,258,11968
摩登时尚hair salon（较场口店）,渝中区,较场口,5.0,单人摩登奢华烫/染/拉直3选1套餐,258,11968
丝域养发馆（龙湖·时代天街店）,渝中区,大坪,5.0,玫瑰香薰spa+水润头皮护理,88,10636
童话造型（解放碑店）,渝中区,解放碑,5.0,单人洗剪吹,30,10147
琦品美业美容美发（解放碑VIP店）,渝中区,解放碑,4.7,单人精致洗吹（尊享头部舒缓解压按摩）,35,9885
巴罗国际烫染连锁（时代天街店）,渝中区,大坪,4.0,单人超值烫发/染发套餐5选2,378.8,7934
倷丝国际烫染连锁（解放碑旗舰店）,渝中区,解放碑,5.0,单人VIP美发套餐,128,5897
西文烫染工作室（大坪店）,渝中区,大坪,5.0,单人洗剪吹1次,38,5423
唯艺造型烫染工作室（石油路店）,渝中区,大坪,5.0,单人精致洗剪吹套餐,30,5379
熙禾造型（解放碑店）,渝中区,解放碑,4.1,单人洗剪吹,28.8,5128
墨吉 MJ SaLon（解放碑重庆总店）,渝中区,解放碑,5.0,单人施华蔻烫染四选一,398,5062
玛莎国际专业接发潮牌（渝中店）,渝中区,上清寺,4.4,单人全真无痕隐形接发（55cm）拆卸无残留,780,3954
朋克发型社（D馆店）,渝中区,大坪,5.0,单人精剪+水疗护理套餐,38,3682
朋克发型社（A馆店）,渝中区,大坪,5.0,单人精剪+水疗护理套餐,38,3682
Sieson丝颂沙龙（恒大聚派店）,渝中区,大坪,4.8,单人剪发造型套餐,58,3501
简舞（望龙门店）,渝中区,朝天门,5.0,单人洗剪吹套餐,35.8,2418
简舞（解放碑店）,渝中区,解放碑,5.0,单人洗剪吹套餐,35.8,2418
艺剪坊,渝中区,大坪,5.0,单人洗剪吹造型1次,29.8,2239
直角造型,渝中区,大坪,5.0,【手艺】精致设计＋裁剪,29.7,1968
米咔造型（时代天街店）,渝中区,渝中区,3.5,单人店长总监高端烫染3选1,398,1898
米咔造型（解放碑店）,渝中区,解放碑,4.9,单人店长总监高端烫染3选1,398,1898
好久不见,渝中区,大坪,5.0,单人资深设计师洗剪吹,35.8,1765
剪约烫染基地（大坪品质店）,渝中区,大坪,5.0,单人精品洗剪吹1次,29,1697
丽人榜美业,渝中区,大坪,4.4,单人洗剪吹套餐,25,1688
9℃烫染工作室（大坪店）,渝中区,大坪,5.0,单人设计总监洗剪吹套餐,35.9,1598
歆晴懿美烫染连锁店（美美时代家苑店）,渝中区,解放碑,4.0,单人时尚白领烫/染套餐,148,1533
AC潮牌沙龙（解放碑店）,渝中区,解放碑,5.0,【特惠】欧莱雅烫/染/拉3选1美发,198,1532
AC潮牌沙龙（时代天街品质店）,渝中区,大坪,5.0,【特惠】欧莱雅烫/染/拉3选1美发,198,1532
AC潮牌沙龙（天街D馆线下体验店）,渝中区,大坪,5.0,【特惠】欧莱雅烫/染/拉3选1美发,198,1532
美工坊（时代天街潮店）,渝中区,大坪,5.0,总监洗剪吹1次,29,1446
美工坊（解放碑潮店）,渝中区,解放碑,5.0,总监洗剪吹1次,29,1446
6号沙龙潮牌连锁（大坪店）,渝中区,大坪,4.6,单人总监洗剪吹套餐,38,1383
九门一型色定制（解放碑店）,渝中区,解放碑,5.0,单人洗吹造型【荣耀WZ6折】,19.9,1249
美好时光（时代天街店）,渝中区,大坪,5.0,单人资生堂烫染套餐,298,1191
崇美造型.美甲.美联社（大坪店）,渝中区,大坪,4.5,单人洗剪吹造型套餐,38,1186
美尚佳懿整体造型（解放碑店）,渝中区,解放碑,5.0,单人创意总监精剪套餐,29,1165
美尚佳懿整体造型（大坪店）,渝中区,解放碑,5.0,单人创意总监精剪套餐,29,1165
Color Style 可伦美发沙龙（花园主题店）,渝中区,解放碑,5.0,单人精致洗吹造型套餐,29.8,941
简舞（八一路店）,渝中区,解放碑,5.0,单人资深设计师洗吹套餐,29.9,923
港禾发艺空间,渝中区,解放碑,5.0,单人洗剪吹套餐,38,916
古匠造型（江北店）,渝中区,解放碑,3.5,单人欧莱雅烫/染套餐3选1(人气推荐商家),158,856
TOP design私人定制美发会所（大坪总店）,渝中区,大坪,5.0,【匠师】施华蔻洗护+造型,21,839
回头率烫染连锁（大坪英利店）,渝中区,大坪,5.0,单人欧莱雅烫染双项,298,828
零度烫染工作室（马家堡店）,渝中区,大坪,3.0,单人洗剪吹套餐,38,781
UPTOP鼎上造型（时代天街A馆二店）,渝中区,大坪,4.7,单人高级设计师剪发+造型,78,777
UPTOP鼎上造型（时代天街D馆一店）,渝中区,大坪,5.0,单人高级设计师剪发+造型,78,777
袭色空中花园,渝中区,大坪,5.0,单人时尚修剪套餐,68,753
回归纯造型,渝中区,两路口,5.0,单人洗剪吹1次,22.8,709
发修美发（瑞安重庆天地70店）,渝中区,化龙桥/重庆天地,4.2,单人潮流趋势烫染发2选1,298,691
卡诗私人定制烫染连锁（大坪时代A馆店）,渝中区,大坪,5.0,单人资深发型师洗剪吹/护理2选1套餐,29.8,686
Hyun Color 炫色沙龙,渝中区,大坪,5.0,单人资深发型师剪裁+造型,35,655
匠人1+1造型（大坪店）,渝中区,大坪,3.9,精油护理 非烫染套餐 限短发,1.1,633
厚吉演绎美发沙龙,渝中区,解放碑,4.6,单人专业洗剪吹,39.9,617
曲拉时尚工作室,渝中区,解放碑,5.0,单人专业修剪造型套餐,62,612
Ck烫染工作室（时代天街店）,渝中区,大坪,4.0,单人超值单剪浏海,288,588
木子造型（时代天街店）,渝中区,大坪,5.0,单人首席精剪套,29.9,586
米娅美发（解放碑美美店）,渝中区,解放碑,5.0,【品质】蓝钻烫染套餐2选1,288,570
DG潮店→私人订制接发烫染连锁（大坪龙湖店）,渝中区,大坪,5.0,单人轻度受损发质烫染顺直3选1【一对一服务】,258,552
唯慕造型,渝中区,大坪,4.2,单人洗剪吹,30,37
lp造型私人定制,渝中区,较场口,4.9,单人总监造型师洗剪吹,128,34
永琪美容美发（渝州路店）,渝中区,两路口,3.7,精品洗剪吹套餐,28,33
洛安尼尼造型沙龙,渝中区,大坪,5.0,单人洗吹造型套餐,19.8,33
名尊造型,渝中区,较场口,3.7,单人洗吹套餐,18,32
ZACC专业发型定制,渝中区,解放碑,4.0,头发柔顺受损护理还原酸,38,26
宝格丽护肤造型中心（解放碑店）,渝中区,解放碑,4.7,设计组洗吹,29.9,17
SHOW发型工作室,渝中区,大坪,4.1,单人洗剪吹套餐,35,15
