商家,区域,商圈,星级,服务,价格,销量
XR·潮发汇所,南关区,卫星广场,5.0,进财老师剪发/造型,30,34
天翼造型烫染专家名师名店全国连锁（重庆路店）,南关区,人民广场,4.2,欧莱雅＋施华蔻专业烫染套餐,136.6,30
丝域养发馆（欧亚万豪店）,南关区,南关区,4.7,养发套餐+头皮护理套餐,128,28
蒂标发型设计,南关区,南关区,4.9,顾问设计师洗剪吹套餐,15,21
亚美美甲,南关区,南关区,4.7,超值染/烫套餐,128,12
通天丝美容美发SPA馆,南关区,全安广场,4.0,大礼包套餐,88,12
美丽频道私人工作室,南关区,卫星广场,4.4,单人剪发套餐,38,12
魔发殿堂,南关区,卫星广场,4.6,单人植物染/烫套餐,268,6
琳之缘美容养生会馆,南关区,南关区,5.0,单人染烫2选1,88,6
发艺传媒健康养生会馆,南关区,卫星广场,3.0,单人植物染/烫套餐,268,6
M1发艺沙龙,南关区,南关区,4.7,剪刘海,5,3
潘红妹米汤养发,南关区,南关区,4.6,米汤养发超值体验套餐,39,3
花都剃头匠,南关区,南关区,3.5,资深发型师洗剪吹,19,2
华艺造型,南关区,人民广场,4.1,烫染套餐,88,2
王俊发型坊,南关区,全安广场,3.9,染烫二选一,78,1
天艺发型名店,南关区,全安广场,3.9,全头接发套餐,1198,0
名将发型,南关区,南关区,3.5,单人女士剪发套餐一次,25,0
LG美发烫染名店全国连锁（建设街店）,朝阳区,建设街,4.3,总监专用欧莱雅品牌巨划算烫染护套餐,135,11678
丝域养发馆（长春万达广场店）,朝阳区,红旗街,5.0,玫瑰香薰spa+水润头皮护理,88,10636
Mil潮牌美发美甲美睫会所,朝阳区,朝阳区,5.0,单人欧莱雅超值优惠4选1,158,6046
弘叶染烫（桂林路1店）,朝阳区,桂林路,5.0,总监剪发套餐,39,5315
天翼造型烫染专家名师名店全国连锁（红旗街万达广场店）,朝阳区,红旗街,4.6,天翼美到 家高端烫发＋染发多项套餐任选超值热卖,988,3200
MY ONE发型公社,朝阳区,桂林路,4.7,单人订制纳米65cm（100片）/晶体无痕接发2选1,1288,2693
银星造型（繁荣路店）,朝阳区,朝阳区,5.0,单人创意总监洗剪吹,38,2490
银星造型（湖西路店）,朝阳区,红旗街,5.0,单人创意总监洗剪吹,38,2490
银星造型（樱花店）,朝阳区,红旗街,4.9,单人创意总监洗剪吹,38,2490
银星造型（长影店）,朝阳区,红旗街,5.0,单人创意总监洗剪吹,38,2490
银星造型（万达店）,朝阳区,红旗街,5.0,单人创意总监洗剪吹,38,2490
PTY私人形象设计（宽城万达店）,朝阳区,红旗街,5.0,染/烫单人套餐,158,2432
PTY私人形象设计（长春旗舰店）,朝阳区,桂林路,4.6,染/烫单人套餐,158,2432
大智造型,朝阳区,重庆路,5.0,单人首席设计师洗剪吹,15.9,2105
ID造型,朝阳区,桂林路,5.0,女士剪发套餐,15,1928
摩登丽舍造型会所（欧亚卖场店）,朝阳区,欧亚卖场,5.0,店长推荐烫+染+护+打蜡高端套餐,238,1424
摩登丽舍造型会所（桂林路店）,朝阳区,桂林路,4.9,店长推荐烫+染+护+打蜡高端套餐,238,1424
摩登丽舍美发会所（万达店）,朝阳区,红旗街,5.0,店长推荐烫+染+护+打蜡高端套餐,238,1424
莎龙●V发型公社,朝阳区,桂林路,5.0,超值剪发套餐,19.9,1200
广仔唯美总店,朝阳区,建设街,4.7,单人高级染烫双项套餐,398,1198
可心发型设计会所,朝阳区,红旗街,5.0,单人韩国阿力徳染发或烫发,228,1087
印象造型(活力城店),朝阳区,重庆路,5.0,首席设计染烫2选1,128,925
Leo发型会所,朝阳区,红旗街,4.8,染/烫套餐,118,904
ab造型（朝阳店）,朝阳区,南湖公园,4.4,单人时尚造型套餐,148,896
构想时尚-红旗街店,朝阳区,红旗街,5.0,单人发型师剪发1次,78,805
弘叶发艺（桂林路2店）,朝阳区,桂林路,5.0,单人剪发套餐,29.9,788
一木发艺空间,朝阳区,湖西路,5.0,单人剪发套餐（需预约）,15,725
D·T韩国形象设计公社,朝阳区,重庆路,5.0,店长洗剪吹套餐,19,722
未来形象工作室,朝阳区,红旗街,5.0,单人欧莱雅美奇丝染发/烫发2选1,200,713
国际名仕（桂林路）,朝阳区,桂林路,5.0,总监级精剪套餐,68,704
国际名仕（卓展店）,朝阳区,重庆路,5.0,总监级精剪套餐,68,704
奕都私人形象会所,朝阳区,红旗街,5.0,YD-style单人造型超值洗剪染或烫套餐,188,641
博士园生发黑发植发养发（长春店）,朝阳区,朝阳区,4.3,单人深度头皮清洁+经络刮痧+全息头疗养发SPA套餐,38,631
千色审美造型,朝阳区,红旗街,5.0,女士洗剪吹,23.5,606
黑眼圈潮牌店,朝阳区,建设街,5.0,单人65cm晶体绳或贝壳接发2选1无痕接发套餐,1399,574
唯美国际（桂林路店）,朝阳区,桂林路,4.7,单人无痕纳米接80片（45cm）,499,556
时尚2046造型（万达潮流店）,朝阳区,红旗街,5.0,单人剪发超值套餐,25,497
Vivi造型潮流美发会所,朝阳区,桂林路,5.0,明星级烫发/染发2选1,148,478
尊私人形象汇潮牌店（红旗街万达店）,朝阳区,红旗街,5.0,无痕接发套餐,899,329
富朗美发机构,朝阳区,朝阳区,5.0,单人洗剪吹套餐,28.8,317
5RM造型,朝阳区,桂林路,4.8,单人首席烫发套餐/染发套餐2选1,219.9,316
印象造型（卓展购物中心店）,朝阳区,重庆路,5.0,单人洗剪吹,108,312
领士潮流设计,朝阳区,桂林路,5.0,领士营养修护一次,37.8,299
米森造型,朝阳区,建设街,5.0,单人总监洗剪吹,38.8,293
H8造型,朝阳区,桂林路,5.0,首席发型师（小东）洗剪吹,24,246
花都造型（桂林路店）,朝阳区,桂林路,4.8,首席设计师染/烫套餐,298,221
香榭一族发艺（欧亚商都店）,朝阳区,红旗街,5.0,单人剪发套餐,59,214
嘉和发艺工作室,朝阳区,红旗街,5.0,单人剪发套餐,39,196
her.fashion 她.时尚发型会所（鼎盛国际店）,朝阳区,重庆路,5.0,单人高级设计师剪发,38.7,187
禹轩发型定制,朝阳区,建设街,5.0,单人店长剪发,24.9,173
乐享￡美咖美发工作室,朝阳区,桂林路,4.9,单人剪发套餐,39,169
美格造型（红旗街店）,朝阳区,红旗街,5.0,单人总监剪发套餐,25.8,167
雅痞仕造型,朝阳区,红旗街,5.0,单人资深设计师洗剪吹一次,49,162
艺妍发型私人订制,朝阳区,红旗街,5.0,单人洗剪+造型1次,19.9,160
ai美私人发行工作室（女性专店）,朝阳区,桂林路,5.0,Ai美私人发型工作室洗发、剪发、造型,118,156
霞飞名店美发（宽平北一胡同店）,朝阳区,湖西路,4.9,单人特级设计师剪发套餐,16,43
M·SOHO 遇见苏菏,朝阳区,重庆路,5.0,【女士专享】设计师剪发套餐,10,43
华艺发型潮流屋,朝阳区,红旗街,4.2,单人剪发体验套餐,18,34
BV·GARY 宝格丽造型（红旗街店）,朝阳区,红旗街,5.0,资深设计师精剪+造型+洗+头皮检测,28,33
杰仕兰国际造型机构,朝阳区,桂林路,4.7,单人剪发体验套餐,9.9,31
天翼造型烫染专家名师名店全国连锁（桂林路店）,朝阳区,重庆路,3.0,欧莱雅＋施华蔻专业烫染套餐,136.6,30
Amy 森 烫染沙龙,朝阳区,红旗街,5.0,洗吹造型套餐,20,22
JK  私人发型  Salon,朝阳区,南湖公园,4.0,美发,99.8,21
翔美发,朝阳区,桂林路,4.1,单人剪发套餐,25,18
尚优潮牌发型（欧亚卖场店）,朝阳区,欧亚卖场,4.6,明星设计师剪发套餐,28,18
铭巍美容美发会所,朝阳区,桂林路,5.0,发型设计体验套餐,19.8,16
品爱造型,朝阳区,重庆路,5.0,单人发型师洗染或烫造型,99,15
都美主题造型,朝阳区,重庆路,4.0,剪发套餐,25,14
女人靓发艺造型,朝阳区,红旗街,4.5,118元染/烫套餐,118,14
纤艺美甲美发,朝阳区,红旗街,5.0,单人染烫套餐,218,10
后天,朝阳区,桂林路,4.2,染烫2选1,138,9
BV·GARY  宝格丽造型（欧亚新生活店）,朝阳区,南湖公园,4.7,精剪+造型+时尚个性烫发/染发+头皮检测+头皮体验,278,7
小人物染烫spa姜疗馆,朝阳区,辉南街,4.6,染发,98,7
乔瓦尼发型艺术家（卓展购物中心店）,朝阳区,重庆路,3.5,单人高级发型师剪发体验,78,6
鑫至尊美甲美睫专业店全国连锁,朝阳区,桂林路,5.0,Perfect单人染发套餐,108,6
唯美造型（红旗街总店）,朝阳区,红旗街,3.5,染烫套餐,180,6
椰岛造型,朝阳区,桂林路,4.6,椰岛超值体验染发/烫发套餐,83,5
幸运相遇发型会所,朝阳区,红旗街,4.8,单人总监洗剪吹,45,4
喜格造型,朝阳区,红旗街,4.4,烫/染套餐,138,3
N艺造型,朝阳区,重庆路,4.5,发质软化,40,3
你好漂亮发型会所,朝阳区,红旗街,4.2,美奇丝烫/染二选一套餐,268,3
奥洛美容美发养生会馆,朝阳区,桂林路,3.5,高级设计师剪发套餐,29.9,2
悦·养生会馆,朝阳区,重庆路,4.7,洗发洗护体验,15,2
利美奇发型,朝阳区,桂林路,4.5,染烫套餐,118,1
冰美人美容造型,朝阳区,建设街,3.5,单人周年庆美发套餐,12.8,1
品发国际造型（卓展1店）,朝阳区,重庆路,4.1,全套体验套餐,148,1
发梦缘造型店,朝阳区,红旗街,3.0,剪发套餐,9.9,1
红帆国际会所造型美甲,朝阳区,桂林路,3.5,染发套餐,68,1
胤美国际美发,朝阳区,桂林路,3.6,单人烫发+染发+护理+剪发卡,298,0
银星造型（旗舰店）,朝阳区,桂林路,4.9,草本浴头部+肩颈护理,220,0
昂造型,朝阳区,辉南街,4.4,染烫套餐,99.9,0
韩日造型美容,朝阳区,辉南街,3.0,染/烫套餐,69,0
ESE-我的发型时间,朝阳区,桂林路,4.2,豪华 套餐,289,0
尚谷发の艺术,朝阳区,红旗街,3.5,潮流无痕接发,550,0
晓宇造型（二店）,朝阳区,朝阳区,3.5,剪染烫造型营养1人套餐,98,0
虹桥造型（总店）,朝阳区,辉南街,3.9,单人染烫套餐,158,0
新贵族专业染烫店,朝阳区,朝阳桥,3.5,单人染烫套餐3选1,79,0
唐风采织发补发假发中心,朝阳区,重庆路,3.5,单人私人定制织发补发套餐,20000,0
晓宇造型（一店）,朝阳区,湖西路,3.5,剪染烫造型营养1人套餐,98,0
M高端私人订制主题会所,朝阳区,红旗街,4.2,魔术接发微纳米,988,0
楚派造型,朝阳区,桂林路,3.5,剪发,30,0
金太阳造型,朝阳区,红旗街,3.7,金太阳美发时尚染烫套餐,98,0
黑卡发艺发型连锁（富豪花园店）,朝阳区,辉南街,3.0,单人速烫套餐,78.9,0
领地造型,朝阳区,红旗街,3.5,单人韩国4D打蜡套餐,99,0
黑卡发艺发型连锁（总店）,朝阳区,红旗街,4.3,单人速烫套餐,78.9,0
伊爵造型,朝阳区,桂林路,3.5,单人剪发1次,39,0
城市频道（桂林路店）,朝阳区,桂林路,3.5,美发套餐,128,0
艺剪坊,朝阳区,朝阳区,4.0,单人染/烫套餐,168,0
红星造型,绿园区,绿园区,3.5,蜡疗短发,138,0
氧发堂天然染发,绿园区,锦江广场/电影城,4.6,植物染发套餐,39.8,0
香港巨龍美业接发造型（丹东路店）,宽城区,火车站,4.0,巨龍无痕隐形全头接发超值体验好评热卖,1260,222680
施华蔻美发连锁（长春宽城店）,宽城区,一匡街,5.0,单人施华蔻烫染套餐3选1,208,85652
無名发艺（宽城万达店）,宽城区,火车站,5.0,施华蔻烫/染套餐,199.9,45260
LG灵感美业全国连锁烫染名店（柳影路欧亚超市店）,宽城区,宽城区,4.8,（超值热卖）高端烫发/染发/打蜡/任选全国好评热卖,125,21781
艺境造型（中治蓝城店）,宽城区,凯旋路,4.2,单人施华蔻烫/染/直C套餐,208,20695
棠沙龙,宽城区,火车站,5.0,高级设计师剪发套餐,17,1971
IM潮牌发型连锁,宽城区,凯旋路,5.0,代金券,2,1424
唯美国际（铁北凯旋路店）,宽城区,凯旋路,3.0,单人高级染烫双项套餐,398,1198
品尚国际旗舰店（大飞造型）,宽城区,宽城区,4.0,单人护理+欧莱雅染/烫套餐4选1,158,535
尊私人形象汇（万达广场店）,宽城区,火车站,4.6,无痕接发套餐,899,329
SK潮牌主题发型美甲会所,宽城区,宽城区,5.0,单人总监设计剪发护理套餐,48,135
MINI造型,宽城区,火车站,5.0,超值高级发型师剪发套餐,16.9,89
香榭一族（欧亚奥特莱斯店）,宽城区,胜利公园,5.0,单人发型导师日式剪发,28,76
魔逸谷DM发艺造型,宽城区,火车站,4.9,单人超值洗发+剪发+造型,26,76
JF私人订制发型工作室,宽城区,宽城区,4.6,单人资深设计师洗剪吹套餐,38,73
潮流艺尚美发专业店,宽城区,宽城区,4.3,洗剪吹一次,9.9,38
88名师汇 私人订制（庆丰路店）,宽城区,宽城区,5.0,超值体验好评热卖染发或烫发,70,30
【88】私人订制 烫染名店（庆丰路店）,宽城区,宽城区,5.0,店长高端施华蔻单项烫发染发人气体验套餐,185,29
主流时尚染烫,宽城区,一匡街,3.9,黄金烫发,88,26
vivi潮牌店,宽城区,宽城区,4.9,单人洗剪吹+初级染发／烫发,108,16
莎朗美发造型,宽城区,宽城区,3.9,莎朗造型营养发膜,12,1
大飞造型,宽城区,凯旋路,3.0,基础染发套餐,115,1
聚美造型,宽城区,宽城区,4.0,代金券,90,0
朋克发型制造,宽城区,火车站,3.5,染烫套餐,188,0
vip形象设计（二店）,宽城区,宽城区,3.0,高级发型师剪发,12.9,0
红人美发,宽城区,一匡街,3.0,美发套餐,9.8,0
阿鸣美发沙龙,宽城区,宽城区,3.5,烫染护理,128,0
天野造型,宽城区,宽城区,3.0,美发套餐,188,0
聚星染烫工作室,二道区,东盛,4.9,纳米无痕接发70cm,20.8,1
美丽俏佳人美容美发,二道区,东盛,3.5,头皮护理套餐,99,0
77造型瘦身,二道区,东盛,4.8,烫染套餐2选1,89,0
发之尚形象设计连锁机构,二道区,二道区,3.5,单人丽人染发烫发套餐,149.9,0
