商家,区域,商圈,星级,服务,价格,销量
vimine微蜜造型美发沙龙,芙蓉区,五一广场,4.7,单人形象设计套餐,48,2601
Tony柏锐造型,芙蓉区,五一广场,5.0,单人精致剪发套餐,39.8,2337
香港名流（八一路店）,芙蓉区,五里牌,5.0,单人资深设计师剪发套餐,28,1684
M BEAUTY 你好漂亮美容美发（VIP会所）,芙蓉区,芙蓉广场,5.0,时尚单人洗吹造型套餐,42,1563
M BEAUTY 你好漂亮美容美发（旗舰会所）,芙蓉区,芙蓉区,5.0,时尚单人洗吹造型套餐,42,1563
虞妃妮日式色彩造型（五一广场店）,芙蓉区,五一广场,5.0,单人欧莱雅烫染直五选一套餐,198,1511
爱尚造型（爱尚造型）,芙蓉区,古曲路/浏阳河婚庆文化园,5.0,V脸定制套餐烫染直三选二,4,1415
DAY造型日式美甲&无痕接发,芙蓉区,五一广场,5.0,专业无痕接发感恩特价全头套餐,980,1143
长沙无痕接发DAY造型（五一广场店）,芙蓉区,五一广场,5.0,专业无痕接发感恩特价全头套餐,980,1143
菲姿造型（农业大学店）,芙蓉区,湖南农业大学,5.0,【特价】单人资深设计师洗剪吹,18,1097
印象salon美发造型,芙蓉区,司门口,5.0,单人资深发型师剪发造型套餐,62,1042
绮漫造型（朝阳店）,芙蓉区,人民中路/朝阳路/融圣国际,5.0,单人精品洗剪吹1次,39,1027
M BEAUTY 你好漂亮美容美发（玫瑰会所）,芙蓉区,五里牌,5.0,资深形象发型师单人洗剪吹,148,1010
艺品轩美发工作室,芙蓉区,马王堆,5.0,单人星级洗剪吹1次,19.8,994
炫发造型,芙蓉区,湖南农业大学,5.0,单人星级洗剪吹1次,19.8,994
青滕国际,芙蓉区,芙蓉区,5.0,单人首席设计师洗剪吹套餐,40,614
创美连锁（时尚靓点远大一路店）,芙蓉区,马王堆,4.2,单人洗剪吹,38,568
创美连锁（鑫尚美）,芙蓉区,湖南农业大学,4.9,单人洗剪吹,38,568
创美连锁（东玺门店）,芙蓉区,马王堆,5.0,单人洗剪吹,38,568
创美连锁（靓点店）,芙蓉区,五里牌,5.0,单人洗剪吹,38,568
艾美造型,芙蓉区,德政园/杨家山,5.0,单人发型师洗剪吹1次,31,558
剪爱国际美发沙龙,芙蓉区,八一路,5.0,高级设计师洗剪吹,38,524
8号美发店,芙蓉区,芙蓉广场,5.0,8号美发店洗剪,30,501
JFC国颜型尚造型（三角花园店）,芙蓉区,芙蓉区,5.0,单人洗剪吹一次,16,491
ART SPACE明星美发造型（新世界百货店）,芙蓉区,五一广场,5.0,单人明星设计师洗剪吹造型,69,442
发现镁,芙蓉区,五一广场,5.0,单人洗剪吹一次,28.8,433
尚尚纤形象设计工作室,芙蓉区,袁家岭/火车站,5.0,单人洗剪吹,29.8,429
山口泽形象私人订制,芙蓉区,五一广场,5.0,(新店促销)单人设计师裁剪造型,39,409
M home美发沙龙,芙蓉区,古曲路/浏阳河婚庆文化园,5.0,高级设计师设计修剪,48,389
妮可造型（农大店）,芙蓉区,湖南农业大学,4.6,单人洗剪吹套餐,18,351
U—CASE秀,芙蓉区,芙蓉区,5.0,单人创作设计师洗剪吹,58,238
jm造型,芙蓉区,五一广场,5.0,单人精致洗吹造型,19.8,223
杰飞造型（司门口）,芙蓉区,司门口,5.0,单人高级洗剪吹,35,212
moca烫染工作室,芙蓉区,芙蓉广场,5.0,资深设计师单人洗剪吹造型,29,206
美人痣造,芙蓉区,袁家岭/火车站,4.8,单人洗剪吹代金券,1,206
相遇最美形象设计中心,芙蓉区,古曲路/浏阳河婚庆文化园,5.0,单人设资深计师剪吹套餐,35,179
罗乐造型,芙蓉区,八一路,5.0,单人设计师洗剪吹,28.8,165
hair spirit发道日系美发沙龙,芙蓉区,五一广场,5.0,单人资深设计师精致洗剪吹套餐,42.8,158
匠人造型,芙蓉区,汽车东站,4.9,单人店长洗剪吹,35,153
彼酷造型,芙蓉区,司门口,5.0,单人洗吹+日韩造型,25,147
炫发造型（东湖店）,芙蓉区,湖南农业大学,4.2,单人超值施华蔻烫/染套餐4选1,168,144
L私享发型定制（五一广场店总店）,芙蓉区,五一广场,5.0,男士专属洗剪吹套餐,25,131
美丽相约私人定制（古曲路店）,芙蓉区,古曲路/浏阳河婚庆文化园,4.1,单人设计师洗剪吹1次,29,123
美丽相约私人定制,芙蓉区,德政园/杨家山,3.7,单人设计师洗剪吹1次,29,123
一诺发型工作社,芙蓉区,芙蓉区,5.0,单人洗剪吹造型,60,96
时尚吧美发形象设计工作室,芙蓉区,芙蓉区,4.6,单人总监剪发造型1次,48,78
觅你造型,芙蓉区,五一广场,5.0,单人明星套餐4选1 男女不限 发长不限,198,76
new style发艺,芙蓉区,五一广场,3.5,精致洗吹造型,25,72
遇见造型,芙蓉区,德政园/杨家山,3.9,单人设计师洗剪吹1次,26,72
相遇美学,芙蓉区,八一路,4.9,单人时尚设计师洗剪吹一次,98,62
氧发堂天然植物染发,芙蓉区,古曲路/浏阳河婚庆文化园,4.1,长沙氧发堂,9.9,60
TIGI·星秀堂Salon,芙蓉区,五一广场,5.0,单人总监设计师剪发套餐,88,59
GD hair 私人工作室,芙蓉区,梦泽园,5.0,单人洗剪吹套餐,68,51
Miu Miu造型（五一广场店）,芙蓉区,芙蓉广场,4.9,单人洗剪吹套餐,59.9,50
时尚造型（和顺店）,芙蓉区,马王堆,4.3,单人时尚造型超值剪发套餐,26,49
鼎尚风彩美发养发（新世界百货店）,芙蓉区,五一广场,5.0,鼎尚美发超值冷烫套餐,68,42
美丽传说烫染私人定制（古曲店）,芙蓉区,古曲路/浏阳河婚庆文化园,4.1,单人高级设计师剪发,35,34
阿华造型,芙蓉区,袁家岭/火车站,4.7,单人洗剪吹套餐,38,30
剪艺一族（格兰店）,芙蓉区,梦泽园,4.2,单人代金券,45,29
Monicar慕妮卡整体形象设计,芙蓉区,五一广场,5.0,apple老师精剪造型,78,23
爱尚造型（古曲中路店）,芙蓉区,古曲路/浏阳河婚庆文化园,4.7,单人精致烫染拉直三选一,98,22
锦生堂养生养发头疗馆,芙蓉区,梦泽园,4.0,单人茶麸/皂角头疗,59,20
丝域养发馆（上东辛顿店）,芙蓉区,马王堆,3.9,草本养发,69,11
丝域养发馆（王府步步高店）,芙蓉区,芙蓉区,4.0,草本养发,69,11
么么造型,芙蓉区,五一广场,3.5,单人设计师洗剪吹,45,10
国颐堂养发spa馆（西街花园店）,芙蓉区,古曲路/浏阳河婚庆文化园,4.2,单人专业头皮头发护理套餐,19,8
美丽之约发型工作室,芙蓉区,袁家岭/火车站,4.4,【美丽之约】私人会所专业设计剪发+烫/染/直3选1,390,6
西雅图专业美发美甲美睫（农大店）,芙蓉区,湖南农业大学,4.2,单人VS烫发一次,128,5
格调,芙蓉区,湖南农业大学,4.0,单人欧莱雅烫/染/拉直三选一,128,3
聚星好莱坞美发沙龙连锁,芙蓉区,司门口,4.6,单人威娜烫/染/直发三选一,158,2
瑷丝坊头部养生养发馆（家润多店）,芙蓉区,韭菜园,3.5,单人玫瑰花蕊养发+五维矿物套餐一次,68,2
