商家,区域,商圈,星级,服务,价格,销量
佑米造型（新都心麦凯乐店）,市北区,新业广场,5.0,丽人狂欢节-欧莱雅烫/染二选一,228,310626
佑米造型（青岛市台东店）,市北区,台东步行街商圈,5.0,丽人狂欢节-欧莱雅烫/染二选一,228,310626
佑米造型（延吉路万达店）,市北区,万达CBD,4.5,丽人狂欢节-欧莱雅烫/染二选一,228,310626
佑米造型（合肥路店）,市北区,市北区,5.0,丽人狂欢节-欧莱雅烫/染二选一,228,310626
欧莱雅私人定制（理工大学店）,市北区,市北区,5.0,单人洗剪吹/护理套餐2选1,39,101034
欧莱雅私人定制美发连锁（青岛CBD万达店）,市北区,万达CBD,5.0,单人洗剪吹/护理套餐2选1,39,101034
欧莱雅私人定制（新都心麦凯乐店）,市北区,凯德广场,5.0,单人洗剪吹/护理套餐2选1,39,101034
施华蔻美发连锁（青岛永旺广场店）,市北区,浮山后,5.0,单人施华蔻烫染套餐3选1,208,85651
欧莱雅私人定制（青岛佳世客店）,市北区,浮山后,5.0,单人施华蔻烫/染/拉3选1套餐,209,70159
米娜造型（青岛台东店）,市北区,台东步行街商圈,5.0,单人美发套餐5选1,128,35164
摩登时尚（时尚几何店）,市北区,市北家乐福,5.0,【品质优选】设计师定制裁剪,29.8,23679
丝域养发馆（四季景园店）,市北区,市北区,4.0,玫瑰香薰spa+水润头皮护理,88,10637
丝域养发馆（新业广场店）,市北区,新业广场,4.5,玫瑰香薰spa+水润头皮护理,88,10637
丝域养发馆（新都心店）,市北区,凯德广场,5.0,玫瑰香薰spa+水润头皮护理,88,10637
亮姿美（书院路店）,市北区,海琴广场,5.0,单人烫发/染发2选1,399,6017
和一形象サロン（市立医院店）,市北区,市北区,5.0,单人欧莱雅美奇丝订制烫染套餐,228,3882
和一形象サロン（合肥路店）,市北区,市北区,4.4,单人欧莱雅美奇丝订制烫染套餐,228,3882
和一形象サロン（台东旗舰店）,市北区,台东步行街商圈,4.8,单人欧莱雅美奇丝订制烫染套餐,228,3882
和一形象サロン（台东店）,市北区,台东步行街商圈,4.6,单人欧莱雅美奇丝订制烫染套餐,228,3882
十号造型,市北区,万达CBD,5.0,十号造型烫染套餐,298,3692
米狸造型（延吉路万达店）,市北区,台东步行街商圈,5.0,单人米狸造型超值洗剪吹,38,3637
可妮造型,市北区,台东步行街商圈,5.0,单人洗剪吹造型,23.8,3389
绚诺soho（九条造型工作室）,市北区,台东步行街商圈,4.0,单人小资美发 染/烫/柔顺/直发/定位5选1+护理 套餐,148,3311
绚诺soho（台东万佳广场店）,市北区,台东步行街商圈,3.0,单人小资美发 染/烫/柔顺/直发/定位5选1+护理 套餐,148,3311
伊尔蓝造型（四方利群店）,市北区,台东步行街商圈,5.0,单人经典洗剪吹加护理,29.9,2308
风暴造型,市北区,台东步行街商圈,5.0,单人设计师精致裁剪套餐,15.9,2116
欣媛萱（台柳路店）,市北区,凯德广场,5.0,单人洗剪吹套餐,38,1595
聚众美业（靓客店）,市北区,市北家乐福,4.8,单人55公分接发套餐,7.5,1160
潇洒名派美发连锁机构（台东三店）,市北区,台东步行街商圈,4.4,单人魅力剪发＋水[疗]spa一次,42,1037
潇洒名派（辽宁路八店）,市北区,科技街,4.6,单人魅力剪发＋水[疗]spa一次,42,1037
玲珑造型●日韩发型文化,市北区,台东步行街商圈,5.0,时尚单人洗剪吹套餐,29.8,877
红人馆日系形象（台东万达店）,市北区,台东步行街商圈,5.0,单人发型师精致裁剪,19.9,859
爵仕美发,市北区,海琴广场,5.0,单人精剪+洗吹,28,702
IM时尚造型沙龙（科技街店）,市北区,科技街,3.5,单人德国施华蔻私人订制烫染套餐,298,640
木兰街美发沙龙（二店）,市北区,台东步行街商圈,4.3,单人超值精致洗剪吹套餐,39.9,620
J-Flying艺术形象设计（凯德mall新都心店）,市北区,凯德广场,5.0,单人资深设计师日韩剪裁1次,50,574
欣媛萱美容美发养生会所（伊春路店）,市北区,凯德广场,5.0,单人洗剪吹套餐,28,521
亮姿美（历城路店）,市北区,台东步行街商圈,4.6,单人烫染拉直3选1套餐,338,505
only美发连锁机构,市北区,海琴广场,4.8,单人专业洗剪吹套餐,22,500
菲比寻常美发新文化,市北区,万达CBD,5.0,单人限时特价资深设计师修剪+洗吹造型,39,469
麻林造型（万达店）,市北区,万达CBD,5.0,单人精剪造型,54,436
MG接发造型,市北区,小村庄,5.0,单人开业活特价烫染二选一套餐,1,345
品尚发艺沙龙,市北区,海云庵,4.6,单人洗剪吹造型,19.8,339
五贝子天然染发养发馆（凯德广场店）,市北区,凯德广场,5.0,单人设计师精剪1次,22.9,308
浮山后五贝子染发养发馆（浮山后店）,市北区,浮山后,5.0,单人设计师精剪1次,22.9,308
形象革命接发造型（山东路北站店）,市北区,海琴广场,5.0,快速一小时烫发染发套餐,178,280
形象革命接发造型（崂山店）,市北区,市北区,5.0,快速一小时烫发染发套餐,178,280
私人订制,市北区,万达CBD,5.0,单人精剪造型,18.8,249
乔美丝形象,市北区,万达CBD,5.0,单人日式精剪,59,217
MX-王东造型（延吉路店）,市北区,万达CBD,5.0,【发型顾问】单人洗剪吹,69,194
loft salon品牌连锁（CBD万达店）,市北区,万达CBD,4.7,微型无痕接发套餐,1380,190
搜雅SOYA日系美发美甲沙龙（佳世客店）,市北区,市北区,5.0,单人精致剪裁+时尚造型,45,188
悦美形象（麦凯乐店）,市北区,凯德广场,5.0,单人资深设计师裁剪,38,190
铭阳天下烫染,市北区,台东步行街商圈,5.0,单人总监精致洗剪吹,19.8,182
乐享荟,市北区,海琴广场,5.0,单人超值经济洗剪吹,19.9,178
I'M 休闲沙龙,市北区,万达CBD,5.0,单人私人订制剪裁+造型,39,169
MARCO馬可形象（悦荟店）,市北区,小村庄,5.0,单人设计师洗剪吹,32,166
柒尚造型（台东店）,市北区,台东步行街商圈,5.0,单人精品剪发,24.8,160
Coco造型,市北区,浮山后,4.2,单人洗剪吹造型,25,157
原宿 形象（CBD万达店）,市北区,万达CBD,4.3,头发营养护理+单人专业洗吹,168,154
奇异恩典美发沙龙,市北区,市北家乐福,3.5,洗剪吹,14.9,148
上禾烫染定制沙龙,市北区,万达CBD,5.0,【高级发型师】精致剪发,46,149
发澜特美发专业会所（云salon）,市北区,市北区,5.0,单人店长/总监日系订制裁剪,40,138
Jazzy Lady 造型,市北区,台东步行街商圈,5.0,单人日系总监剪裁1次,28,135
女主角美发会所,市北区,台东步行街商圈,5.0,单人资深设计师洗剪吹1次,29,127
CIM日系沙龙（万达店）,市北区,台东步行街商圈,5.0,单人资深设计师洗剪吹1次,29,127
铭爵造型,市北区,海琴广场,4.5,单人设计师洗剪吹1次,28,127
尚引美发,市北区,凯德广场,4.9,单人精致剪发套餐,21,121
V·ONE 潮牌美发工作室,市北区,万达CBD,5.0,女士裁剪套餐/次,37,115
MiTO HAIR,市北区,万达CBD,5.0,单人资深小伟老师洗剪造型,49,111
慕沐造型工作室,市北区,新业广场,5.0,单人设计师洗剪吹造型,55,100
她雅（Ta · Ya） 艺术家的工作室,市北区,万达CBD,4.6,单人洗剪吹精致裁剪套餐,68,77
TOPHAIR造型会所,市北区,万达CBD,4.8,单人烫发/保养护发/挑染/冷烫/热烫套餐5选1,598,75
海泉造型,市北区,新业广场,3.8,单人精剪1次,25,75
漂亮宝贝发社,市北区,海琴广场,4.1,单人剪发套餐,18.8,66
Victory salon 形象设计（凯德店）,市北区,凯德广场,5.0,单人总监洗剪吹套餐,50,62
瑞美淇韩式发艺,市北区,小村庄,4.4,单人洗剪吹+造型,24.8,60
优品发型设计工作室,市北区,台东步行街商圈,5.0,单人技术总监剪发造型,25,60
MX发型托管中心（CBD万达店）,市北区,万达CBD,5.0,单人精致剪发1次,68,56
木棉藤美妆造型,市北区,科技街,5.0,【时尚设计师】精致剪发,30,55
古川造型,市北区,万达CBD,4.4,单人资深发型师+提案+洗+剪+造型套餐,30,52
银谷造型,市北区,台东步行街商圈,5.0,单人精剪＋造型,22,47
空间秀造型,市北区,台东步行街商圈,3.6,精剪套餐,28,42
潇洒名派（台东一路店）,市北区,台东步行街商圈,4.4,单人高级发型师精致剪发,49,41
潇洒名派（台东十一店）,市北区,台东步行街商圈,5.0,单人高级发型师精致剪发,49,41
迷尚美发沙龙,市北区,市北家乐福,4.3,单人技术总监/店长洗剪吹+造型,29.9,34
木府造型,市北区,大港/小港,5.0,单人店长剪发/造型+韩国洗发,55,34
J-S私人定制美发沙龙（新都心店）,市北区,新业广场,5.0,单人风格设计裁剪,36.8,33
Di’a 荻安,市北区,万达CBD,5.0,荻安形象 单人精致修剪,59.9,30
千面美发沙龙,市北区,海琴广场,3.5,单人设计师洗剪吹,19.8,26
红发集造型沙龙,市北区,台东步行街商圈,4.5,单人洗剪吹+造型,28,25
CU美发沙龙,市北区,万达CBD,4.0,CU家庭美发馆单人洗剪吹,58,25
Spiritual Home美发,市北区,万达CBD,4.0,单人洗剪吹造型套餐,29.8,25
新感觉时尚烫染专业造型,市北区,海云庵,4.4,单人剪发,15.8,24
Esse salon,市北区,新业广场,4.6,Esse salon单人精致剪发套餐,26,23
金客莱美发（乐陵路店）,市北区,科技街,3.8,单人奢华烫染二选一,98,22
金客莱美发（广饶路店）,市北区,台东步行街商圈,4.2,单人奢华烫染二选一,98,22
金客莱美发（洮南路店）,市北区,市北区,4.6,单人奢华烫染二选一,98,22
双鱼造型,市北区,万达CBD,4.2,单人精剪＋造型1次,39.9,21
欧巴美发美容spa养生（四季店）,市北区,市北区,4.1,单人欧巴造型美发套餐,158,20
完美境界,市北区,海琴广场,4.1,烫染套餐2选1,68,19
起业造型,市北区,科技街,3.7,单人泰式洗发,16.8,19
大富豪美发,市北区,海云庵,3.5,单人精致洗剪吹套餐,30,17
丝域养发馆（延吉路万达店）,市北区,万达CBD,3.4,单人玫瑰精油养发,68,15
唯雍美业,市北区,台东步行街商圈,4.4,时尚单人洗剪吹套餐,18.8,14
阿波造型,市北区,浮山后,5.0,单人烫染二选一,338,12
巴洛克韩国发艺（市北区镇江路店）,市北区,市北家乐福,4.3,单人韩式烫+染套餐,649,10
高欢烫染会所,市北区,市北区,3.5,单人洗剪吹1次,12.88,10
欣悦时尚烫染,市北区,台东步行街商圈,4.6,欣悦 单人烫/染2选1,78,10
艺格发型工作室,市北区,台东步行街商圈,4.1,单人剪发造型,29.8,9
XD烫染造型,市北区,海琴广场,4.7,XD造型,158,9
益铭苑发型私享,市北区,凯德广场,5.0,女宾专享  单人精致剪裁+造型,58,7
美宣女子烫染,市北区,海琴广场,3.0,单人柔顺拉直1次,110,7
海泉造型1店（李家秘制小龙虾）,市北区,市北区,4.3,单人欧莱雅烫发套餐,168,0
天资美发沙龙,市北区,小村庄,4.3,巴黎欧莱雅烫发套餐,199,0
美格造型,市北区,小村庄,3.5,单人烫发＋染发＋护理套餐,280,0
欧芭造型（阳光山色店）,市北区,市北区,3.0,烫染3选1,125,0
酷烫烫染工作室,市北区,科技街,3.5,染发套餐,88,0
东一造型,市北区,万达CBD,4.0,单人欧莱雅美奇丝魅旋塑形烫／染二选一,198,0
卓夫美发沙龙,市北区,新业广场,4.1,单人烫加染套餐,499,0
魔发匠,市北区,台东步行街商圈,4.6,单人魔法匠渐变/打蜡二选一,188,0
和形象设计（台东店）,市北区,台东步行街商圈,3.5,单人资深烫+染+双项护理,399,0
艺迩隆形象塑造中心（同乐三路店）,市北区,市北区,3.5,单人韩国珍珠技术染发,180,0
帝姿美发连锁沙龙,市北区,万达CBD,4.6,欧莱雅烫染护套餐,218,0
富源美容美发（同和路店）,市北区,浮山后,4.1,单人总监烫染二选一,238,0
琪美琪美发沙龙,市北区,浮山后,4.0,单人质感染烫二选一,299,0
好形象专业美发沙龙,市北区,新业广场,3.9,单人单次护理套餐,39,0
时尚几何美发,市北区,市北家乐福,4.0,单人奢华烫/染2选1套餐,388,0
CD.克里斯汀,市北区,小村庄,3.5,单人经典品质烫发1次,168,0
磐丝U格,市北区,台东步行街商圈,3.5,单人染+烫+护理套餐,298,0
火星发型设计（丰县路店）,市北区,万达CBD,3.5,单人欧莱雅烫染套餐,238,0
天琪造型,市北区,台东步行街商圈,3.0,洗剪吹,13.8,0
品尚造型,市北区,海云庵,3.5,烫染套餐,198,0
木造型,市北区,万达CBD,3.5,烫染套餐2选1,168,0
永乐造型,市北区,科技街,3.9,单人技术总监染发,189,0
优雅绣时尚烫染,市北区,海琴广场,5.0,单人精致染发,98,0
聚众美业（漳州路店）,市南区,闽江路,4.1,单人55公分接发套餐,7.5,1160
聚众美业（金都花园店）,市南区,五四广场商圈,5.0,单人55公分接发套餐,7.5,1160
众联美业,市南区,香港中路沿线,3.5,单人55公分接发套餐,7.5,1160
聚众美业（湖北路店）,市南区,火车站/团岛,3.0,单人55公分接发套餐,7.5,1160
宫-9CM日系沙龙（Goddess麦岛店）,市南区,麦凯乐,5.0,单人洗剪吹造型,49,1096
众联美业（湖北路店）,市南区,火车站/团岛,3.5,单人烫染套餐,29,1085
潇洒名派（漳州路五店）,市南区,香港中路沿线,5.0,单人魅力剪发＋水[疗]spa一次,42,1037
潇洒名派（南京路总店）,市南区,云霄路,4.6,单人魅力剪发＋水[疗]spa一次,42,1037
