商家,区域,商圈,星级,服务,价格,销量
专业修脚坊,禅城区,禅城区,5.0,单人中式泡脚+修脚,8.8,153
和氏修脚堂,禅城区,张槎,5.0,单人晚上泡脚+修脚+沐足,28.8,126
百亿沐足休闲会所,禅城区,祖庙,3.6,单人特惠实力沐足,69,124
蛇王膏药铺,禅城区,同济,4.0,体验单人套餐,1,112
云顶天境,禅城区,季华园,4.3,养生足浴单人套餐,58,111
金铂锦酒店沐足,禅城区,张槎,4.1,实力沐足单人套餐,59,106
玉玄宫中医非药物疗法养生馆（卫国路店）,禅城区,同济,5.0,磁能肩颈拨筋单人套餐,68,79
铉圆中医理疗中心,禅城区,九鼎国际,4.7,肩、颈理疗单人套餐,58,78
艾丽汇美容养生馆,禅城区,石湾,4.9,单人皇牌超值美容套餐4选2,88,70
步步高沐足阁,禅城区,同济,3.9,超值体验－步步高足疗单人套餐,79,68
金裕城沐足水疗,禅城区,张槎,4.3,单人指压沐足1次,78,56
锦园推拿,禅城区,东方广场,4.7,泰式推拿单人套餐,54,57
专业修脚坊,禅城区,东方广场,5.0,单人足疗套餐,25,55
足艺,禅城区,九鼎国际,4.3,养生足疗套餐,58,55
红灯笼沐足,禅城区,祖庙,3.6,单人单钟沐足,55,53
正能量养生馆,禅城区,九鼎国际,5.0,肩颈舒压单人套餐,98,49
颐尊水疗,禅城区,祖庙,5.0,单人精油套系,398,45
德福养生馆,禅城区,季华六路/湖景路,5.0,明星之选——精油整体调理90分钟单人套餐,158,39
阿华盲人按摩,禅城区,季华园,5.0,经络拔毒单人套餐,80,38
静缘养生会所,禅城区,朝安地铁站,4.9,单人淋巴静排,218,36
苗医乳腺研究院,禅城区,同济,4.6,单人体验抢购,1,2
南粤香菲美容养生会所,禅城区,季华六路/湖景路,3.5,bobo胸部乳腺秘籍疏通单人套餐,58,2
忠健盲人按摩中心,禅城区,文华公园,3.5,单人中式精油推拿1小时,75,0
兰桂芳休闲中心,南海区,狮山,4.2,经典沐足套餐,58,146
骨康堂中医理疗养生馆,南海区,鸿大广场,5.0,中式整骨推拿（赠送拨火罐）,58,142
御足城休闲中心,南海区,鸿大广场,3.4,单人全天实力沐足,63,140
壹拾捌沐足（丹灶金沙店）,南海区,南海区,4.6,单人金沙店格格沐足,69,137
金庭大酒店沐足,南海区,宝盈广场,4.3,单人休闲沐足,75,132
金叶泉休闲会所,南海区,南海区,3.5,单人沐足,46,112
脊医馆养脊会所（南海万达广场店）,南海区,万达广场/金融城,5.0,单人肩颈疏通调理套餐,138,105
大唐汗蒸美容养生会所（芳艺城）,南海区,狮山,5.0,十二经络全身排-毒,188,102
林氏扶芫专业推拿（千灯湖院）,南海区,千灯湖/保利水城,5.0,单人拔罐1次,28,91
祈福仙湖酒店（沐足中心）,南海区,丹灶,4.0,单人舒缓减压套餐,138,90
一号汗蒸,南海区,狮山,5.0,单人肩颈疏通,68,86
至宝堂养生馆,南海区,松岗,5.0,单人拔罐,25,86
大医传承中医养生连锁机构（罗村店）,南海区,罗村,4.3,单人艾灸1次,18,84
状元养生汇,南海区,罗村,4.7,单人纳米汗蒸,28,74
蓝月湾沐足,南海区,鸿大广场,4.3,单人实力沐足（19:00-02:00适用）,59,65
御康堂养生中心（罗村店）,南海区,罗村,4.7,单人肩颈护理套餐,88,63
康泰盲人推拿,南海区,南海万科广场,5.0,大师足疗单人套餐,30,60
瑶家按摩养生馆,南海区,南海区,4.4,单人拔罐,19.9,58
苗益康养生会所,南海区,狮山,5.0,背部推油+艾灸刮+调气血+灸敷,169,58
光正酒店沐足,南海区,南海区,4.4,贵宾沐足,69,49
惠康健盲人按摩,南海区,罗村,5.0,单人刮痧、拔罐2选1,32,47
安然纳米养生馆（乐信豪庭店）,南海区,罗村,4.7,超值推荐－养生汗蒸单人体验套餐,8.8,47
清芳养生堂,南海区,罗村,4.7,单人汗蒸,28,44
江氏推拿馆,南海区,紫金城,4.4,单人拔罐,28,44
养生推拿（黄岐嘉州花园店）,南海区,南海区,5.0,单人推拿,59.9,44
妙手经络养生馆,南海区,鸿大广场,3.8,单人经络调理套餐,138,41
承逸沐足,南海区,南海区,3.9,单人活力沐足,95,38
御康理疗养生连锁,南海区,里水,5.0,单人精油推背 (送刮痧或拔罐),68,39
凝晖汗蒸养生馆,南海区,里水,5.0,单人推拿1次,68,35
粉黛闺密养胸生活馆,南海区,万达广场/金融城,5.0,单人爱胸体验套餐,98,30
中华中医馆,南海区,千灯湖/保利水城,4.4,单人肩颈调理,98,29
安然纳米汗蒸馆（金沙店）,南海区,南海区,5.0,单人拔火罐,28,26
恒逸商务酒店（沐足部）,南海区,狮山,3.9,单人浪漫之约推拿,198,22
善瑞整脊养生馆,南海区,鸿大广场,4.9,单人碧波庭面部护理,20,12
康泰美容推拿养生馆,南海区,中海环宇城,4.4,单人拔经疏通净排套餐,128,10
康道中医经络养生馆,南海区,官窑,4.5,单人背部经络疏通,98,9
天佑养生汇,南海区,狮山,4.1,单人总统沐足,103,7
安然纳米汗蒸馆（丹灶店）,南海区,丹灶,5.0,单人肩颈护理,98,6
亲邻健康旗舰店,南海区,天安数码城,3.9,背部经络推拿,178,3
碧水滋康休闲中心,南海区,平洲,3.6,单人香薰推拿,127,2
丽肤堂汗蒸美容养生会所,南海区,南海区,5.0,宫廷暖宫单人套餐,98,2
正宗乐康盲人推拿,南海区,越秀广场,4.3,单人拔罐（30分钟）,30,2
心足沐足,南海区,天安数码城,3.9,特价沐足,60,4
靖堂坊三生一体养生馆,南海区,城市广场/新天地,4.4,局部不适证调理,88,2
亦居养生馆,南海区,壹品广场,3.5,单人推拿套餐,100,1
龚氏瑶医堂,南海区,鸿大广场,3.0,单人扶芫艾灸,88,1
尚汇沐足城（陈村店）,顺德区,陈村,4.7,单人养生足疗,70,17
吕师中医推拿（金河岸分店）,顺德区,乐从,4.6,单人颈椎调理,88,17
八圣之道养治圣殿（景奥馆店）,顺德区,乐从,5.0,单人肩颈推拿,69.9,15
中康盲人健康按摩,顺德区,北滘,5.0,单人经络推油,88,13
森林雅舍香薰SPA生活馆,顺德区,大良,4.3,单人三伏艾灸套餐,19.9,12
艾灸,顺德区,乐从,4.3,艾灸调理套餐,98,9
谢锡亮艾灸美容养生会所（新桂店）,顺德区,大良,4.3,单人艾灸+瑶浴养生套餐,128,9
素康盲人中医按摩,顺德区,勒流,4.5,单人保健套餐,88,5
德宁养生,顺德区,大良,3.5,单人肩颈护理套餐,98,3
一鸣堂养生（万邦店）,顺德区,大良,5.0,单人松筋调脊套餐,398,1
安然纳米汗蒸馆（花地湾店）,顺德区,陈村,5.0,单人玫瑰精油推背,80,1
落凤轩休闲会所,顺德区,大良,3.5,单人养生,118,1
庆德堂养生中心,大沥,大沥,5.0,单人推拿,128,4735
和顺元养生馆（大沥店）,大沥,新都会,5.0,单人保健养生套餐,88,825
在盈养身休闲会所,大沥,大沥,3.4,单人养生沐足,78,441
郑孟专业修脚店,大沥,新都会,5.0,单人牛奶泡脚+按背+修脚+精油按脚,29.99,158
枫琴湾国际会所,大沥,大沥,5.0,单人K歌沐足,88,153
