商家,区域,商圈,星级,服务,价格,销量
享乐一足,江宁区,江宁区,5.0,单人足疗+按摩+采耳套餐,128,648
艾沐堂艾灸足疗按摩SPA生活馆（利源中路店）,江宁区,东山镇,5.0,单人艾草足浴+推拿+艾灸足底保健套餐,139,623
庸中堂中医推拿经络养生,江宁区,将军大道沿线,5.0,单人推拿+膜贴+刮痧/群罐2选1,78,617
大脚板足部保健中心,江宁区,东山镇,5.0,单人保健按摩足疗套餐1次,89.9,595
御足轩,江宁区,胜太路沿线,5.0,单人全身精油SPA,198,542
子午流注推拿针灸馆,江宁区,东山镇,4.8,单人脊椎正骨矫正+推拿+拔罐套餐,78,498
龙腾盲人推拿中心,江宁区,东山镇,5.0,60分钟全身放松推拿+拔罐 盲人按摩 中式传统 单人次,68,475
手爱盲人推拿足疗保健中心（江宁金山路店）,江宁区,东山镇,5.0,单人推拿/足疗2选1+热敷全天套餐,76,477
锦和足道养生会所,江宁区,金轮新都汇/欧尚,4.3,单人心灵养生SPA,359,466
水源汇沐足养生馆,江宁区,东山镇,5.0,水源汇养生足疗,59,457
通脉盲人推拿足疗（桃园路1店）,江宁区,东山镇,5.0,单人中式推拿+足疗+拔罐+修脚套餐  全年无休,100,451
通脉盲人推拿足疗精油SPA养生馆（北沿路2店）,江宁区,东山镇,5.0,单人中式推拿+足疗+拔罐+修脚套餐  全年无休,100,451
通脉盲人推拿足疗（江宁万达3店）,江宁区,东山镇,5.0,单人中式推拿+足疗+拔罐+修脚套餐  全年无休,100,451
Malaysia泰皇玺泰式按摩SPA,江宁区,江宁金鹰/1912,5.0,单人泰式精油spa1次60分钟,188,434
10号足浴馆,江宁区,东山镇,5.0,单人藏式养生足浴,118,404
益然盲人推拿养生（文靖路）,江宁区,东山镇,5.0,单人盲人全身推拿＋拔罐,65,369
爱生盲人推拿,江宁区,东山镇,5.0,单人推拿套餐,68,363
乐福足道,江宁区,东山镇,3.5,单人乐福足浴一次（限时抢购）,59,363
乐福足道,江宁区,东山镇,5.0,单人乐福足浴一次（限时抢购）,59,363
醉青衣主题SPA汗蒸馆,江宁区,江宁区,5.0,八卦悬灸+单人（局部）中式推拿套餐,198,9
安然纳米汗蒸（东新南路店）,江宁区,东山镇,5.0,单人VIP包间汗蒸/肩颈调理2选1,58,6
狮子山盲人推拿,江宁区,江宁区,3.5,单人全身推拿,56,6
月亮轩养生馆,江宁区,江宁区,3.5,半山半水spa,300,6
皇嘉足浴保健会所,江宁区,江宁区,3.0,单人泰式按摩1次,93,6
萍生足道,江宁区,同曦商业圈,3.0,单人中华足道,58,6
水仙花足浴,江宁区,江宁区,3.5,单人足浴套餐,68,3
林源足道,江宁区,东山镇,3.5,单人足疗1次,48,2
瑞美亚国际美容中心,江宁区,东山镇,3.5,TBS背部理疗套餐,138,2
满足感足疗保健,江宁区,江宁区,3.8,单人泰式足疗套餐,158,1
感恩盲人推拿,江宁区,东山镇,3.5,单人足疗1次,59.9,1
辉煌足道,江宁区,东山镇,4.1,代金券,0.9,1
鑫豪足部保健中心,江宁区,江宁区,3.0,单人保养足疗一次,70,0
佳丽足道,江宁区,东山镇,3.5,单人精油开背套餐,116,0
涵曦体验馆,江宁区,东山镇,4.2,单人V脸体验套餐,29.9,0
艾梦养生馆,江宁区,禄口机场,3.5,单人精油推背1次,49,0
华江益康盲人推拿,鼓楼区,山西路/湖南路,5.0,单人推拿1次,57.8,679
谈指足道（虎踞路店）,鼓楼区,鼓楼区,4.3,单人足疗推拿全套套餐1次,78,644
