商家,区域,商圈,星级,服务,价格,销量
金牌按摩养生堂（医科大店）,青秀区,双拥路,4.1,单人足疗/按摩套餐,49.9,345
金牌按摩养生堂（琅西店）,青秀区,琅西,4.1,单人足疗/按摩套餐,49.9,345
金牌按摩养生堂（双拥路店）,青秀区,双拥路,4.6,单人足疗/按摩套餐,49.9,345
百玺足道养生馆,青秀区,凤岭北,5.0,单人足疗按摩,68,343
家富富侨（琅东仙葫店）,青秀区,仙葫,5.0,金品足疗套餐（晚上单人）,98,333
足盛堂推拿按摩,青秀区,青秀区,5.0,单人精油推背+拨罐/经络刮痧套餐,78,286
罗拉国际养生馆,青秀区,民族大道,4.0,肩颈护理套餐,68,279
名人养生堂（东葛华城商厦店）,青秀区,青秀区,4.0,名人天堂浴/80分钟,228,276
国艺康养生会所,青秀区,仙葫,5.0,尊享保健（单人）,178,277
东方扬华养生馆,青秀区,东葛望园,5.0,经络拔罐（单人）,29.9,250
家富富侨健康会所（东葛店）,青秀区,青秀区,4.6,养生足浴1次,128.99,231
方行来按摩保健（思贤路店）,青秀区,青秀区,5.0,单人全身中式推拿,40,223
颐真中医整脊养生馆,青秀区,万象城,5.0,草本足疗+精油（单人）,60,217
复元经络中医养生,青秀区,凤岭北,5.0,全身中式推拿保健,88,194
凡舍养生馆,青秀区,东盟商务区,5.0,经络养生（单人）,110,188
沐养阁,青秀区,国贸中心,5.0,草本熏蒸足道／刮痧／拔罐三选一套餐,18.8,180
铭丹养生保健休闲会所（跨世纪大酒店店）,青秀区,民族大道,5.0,精华-推油（单人）,198,166
大山足道,青秀区,凤岭北,5.0,大山足道（单人）,78,165
天都保健,青秀区,青秀区,5.0,单人中式足疗1次,58,160
南湖养生馆,青秀区,南湖公园,5.0,古方足按+足底拔罐（单人）,49,158
企典养生馆（东葛路店）,青秀区,青秀区,4.0,美式推油（单人）,225,38
慧东保健按摩馆,青秀区,琅西,5.0,刮痧/祛湿拔罐/调理热敷/三选一,29,36
瀚·养生小筑,青秀区,青秀区,5.0,瀚·走罐/刮痧,38,33
诺伯曼运动会馆美容部（永凯店）,青秀区,青秀区,4.7,代金券,6.8,30
好功夫修脚堂（新竹店）,青秀区,新竹路,4.6,单人刮痧拔罐2选1,25,31
家富富侨（总店）,青秀区,茶花园路,4.1,南宁家富富侨芳香养生,188,28
健行养生会所,青秀区,双拥路,4.5,草本泡脚/灯疗调理/熏足  三选一,9.9,25
温莎养生会所,青秀区,东葛望园,4.3,单人大背部火（疗）,68,23
御足康养生馆,青秀区,仙葫,4.8,单人特价足浴,50,23
灸至堂,青秀区,青秀区,4.1,刮痧/拔罐（单人）,18.8,22
贵足养生馆,青秀区,凤岭北,4.0,精油开背加刮痧或拔罐（单人）,128,19
暖元养生馆,青秀区,青秀区,4.9,泡脚+肩颈护理（单人）,58,19
淳会所,青秀区,民族大道,4.9,沙棘全身排湿排寒净排,19.9,18
栢洋保健养生馆,青秀区,青秀区,4.2,单人经络推油【送汗蒸】,118,17
妙善缘心,青秀区,柳沙半岛,4.4,舒缓经络推油 精油推背（1人行）,138,16
钰瑤圆健养生馆,青秀区,青秀区,5.0,艾灸调理,28,13
来生缘养生会所,青秀区,仙葫,3.8,总统浴,288,0
花崎印象,青秀区,国贸中心,4.7,肩颈腰背健康调理,128,0
华清堂中医养生馆,青秀区,东盟商务区,4.6,港式推油+汗蒸,298,0
安然纳米汗蒸按摩馆（钻石年代店）,青秀区,青秀区,5.0,冰点无痛消毛,88,0
盛博盲人按摩,兴宁区,兴宁区,5.0,单人按摩足疗二选一,46.8,2212
乐福养生馆,兴宁区,朝阳广场,5.0,单人经络刮痧或火罐,19.8,1498
来生缘养生会所,兴宁区,兴宁区,5.0,精油开背（单人）,99,642
千家峒瑶医保健养生,兴宁区,兴宁区,5.0,瑶医全身推拿,69,467
天湖休闲会所（舒丽保健中心）,兴宁区,火车站,5.0,娇口之哨（单人）,368,343
苏门医派按摩馆,兴宁区,兴宁区,5.0,精油扶正调理（单人）,85,340
朗月养生会所（凤凰宾馆店）,兴宁区,火车站,5.0,单人港式油压,98,270
玉宝泉休闲养生（公园店）,兴宁区,人民公园,4.8,全身推油（单人）,118,270
祥康盲人按摩（长岗分店）,兴宁区,兴宁区,5.0,刮痧，拔罐，推油（3选1）,39.8,269
碧波庭美容养生馆（裕丰店）,兴宁区,朝阳广场,5.0,背部/肩颈疏通,28,191
虎邱保健养生会所,兴宁区,兴宁区,5.0,单人宫室牛奶浴,268,109
金源阁养生堂（朝阳总店）,兴宁区,兴宁区,4.6,沐足（单人）,59.9,85
鑫鑫纳米汗蒸养生馆（裕丰店）,兴宁区,兴宁区,5.0,单人精油开背+汗蒸,68.8,81
金水湾养生会所（火车站店）,兴宁区,兴宁区,4.4,单人SPA,338,56
紫阁养生会馆,兴宁区,火车站,4.3,桶浴推油,138,51
源韵阁,兴宁区,兴宁区,4.2,中医推拿,45,34
五行养生屋,兴宁区,兴宁区,4.7,肩颈胸部卵巢三选一加送茶麸洗头,68,29
好功夫（同和华彩店）,兴宁区,兴宁区,4.5,单人刮痧拔罐2选1,25,24
梦江南休闲养生会所,兴宁区,兴宁区,3.5,泡浴+全身推油（单人）,168,18
正坤养生堂,兴宁区,兴宁区,3.8,脸部艾灸腹部艾灸调理,68,13
馨鸿美容美体养生馆,兴宁区,水街,4.6,卵巢温疗养生调理+汗蒸,159,0
颐·会所,西乡塘区,明秀路,4.7,刮痧／拔罐,19.9,30
好功夫修脚堂（鲁班店）,西乡塘区,鲁班路,4.1,单人刮痧/拔罐2选1,25,26
好功夫（人民路店）,西乡塘区,西乡塘区,4.4,拔罐或刮痧,25,24
