商家,区域,商圈,星级,服务,价格,销量
巴渝风足道,东湖区,东湖区,5.0,精油足疗保健,79,6996
浅深.足浴spa指压,东湖区,八一广场/省府,5.0,单人按摩套餐,290,5650
杨家将养生足道（叠山路店）,东湖区,叠山路,5.0,单人  姜疗足道    套餐,108,2585
七星商务酒店（足疗按摩）,东湖区,八一广场/省府,5.0,足疗全套,78,2296
巴渝风足道,东湖区,八一广场/省府,5.0,单人影院足道,129,745
扶元中医推拿,东湖区,青山路沿线,5.0,单人精油开背/经络推拿2选1,69,700
方强馆按摩足疗,东湖区,八一广场/省府,5.0,足浴按摩二选一,55,551
康健盲人按摩,东湖区,叠山路,4.6,中式推拿套餐,49.9,356
水雲都养生会所,东湖区,东湖区,5.0,单人尊享按摩套餐,268,336
豪庭足浴按摩会所,东湖区,叠山路,5.0,单人韩式指压高端按摩套餐,298,296
嘉泰盲人按摩（三经路店）,东湖区,东湖区,5.0,中式推拿+草本热敷,39.9,212
北京同仁堂,东湖区,叠山路,5.0,背部砭石刮痧+拔罐单,68,211
七星官邸·足浴SPA指压,东湖区,八一广场/省府,5.0,七星推拿,128,194
真逸堂（南京西路店）,东湖区,八一广场/省府,4.4,单人A套餐/B套餐2选1,78,150
天力足浴休闲会所,东湖区,东湖区,4.8,单人普通足浴,68,134
申元方天足浴城,东湖区,叠山路,3.9,尊享养生套系（单人）,158,116
一指禅推拿馆,东湖区,东湖区,5.0,单人推拿/足浴2选1套餐,49,116
江中推拿艾灸馆,东湖区,东湖区,4.8,单人拔罐一次,20,112
姜疗瑜珈推拿馆,东湖区,叠山路,4.8,单人推拿,78,89
正和堂艾灸养生,东湖区,八一广场/省府,4.8,单人芬香精油放松套餐,48,73
医健盲人按摩院（怡园总店）,青山湖区,联泰香域,5.0,单人护理项目2选1,48,8066
医健盲人按摩院（凤凰分店）,青山湖区,凤凰家园,5.0,单人护理项目2选1,48,8066
医健盲人按摩院（金融大街店）,青山湖区,红谷世纪,5.0,单人护理项目2选1,48,8066
圣天元盲人健康推拿馆（红谷滩分店）,青山湖区,名门世家,5.0,单人专业推拿/专业足疗2选1,49.8,4335
皇家君悦养生会所,青山湖区,名门世家,5.0,单人古典足浴,68,4334
格调足浴按摩SPA养生会所（梦时代店）,青山湖区,北京东路,4.9,单人按摩1次,280,4098
君道泉足浴养生SPA,青山湖区,上海路,5.0,单人精品足道,108,3157
大汉御足（高新店）,青山湖区,北京东路,5.0,单人尊品足道,116,3134
天之道足浴（总店）,青山湖区,秋水广场,5.0,尊品单人足浴,178,2683
秦宫足浴按摩会所,青山湖区,世茂广场,4.6,单人按摩1次,290,2668
闲疗堂中医理疗馆（世茂天城店）,青山湖区,世茂广场,5.0,基础推拿+刮痧+拔罐套餐,22,2646
天泽缘足道千年店,青山湖区,北京东路,4.9,单人足疗套餐,72,2555
金海湾足疗会所,青山湖区,京东大道,5.0,单人养生按摩套餐,268,1713
富鼎浅水湾足道,青山湖区,万达广场,5.0,单人标准足浴,69,1546
圣康盲人按摩（下罗店）,青山湖区,下罗,5.0,单人两小时盲人推拿套餐,89.9,1518
鑫源盲人按摩,青山湖区,北京东路,5.0,单人中式足疗或中式按摩2选1,54.9,1506
杨家将足道（红谷滩店）,青山湖区,红谷世纪,4.8,单人姜疗足道,118,1242
扬州专业修脚,青山湖区,红谷凯旋,5.0,单人修脚护理套餐,26.8,1040
君悦凯旋养生会所,青山湖区,红谷凯旋,5.0,单人泰式按摩套餐,138,946
牛牛盲人按摩,青山湖区,红谷世纪,5.0,单人火罐全套,62,945
足鼎王养生足浴（红谷滩精品店）,青山湖区,联发天虹,5.0,单人古法足道,118,840
家富富侨,青山湖区,南昌大学,5.0,标准单人足浴套餐,60,569
蒸情御足（顺外路店）,青山湖区,上海路,4.2,单人踩运足灸,50,505
万水千山足道养生会所（北京东路店）,青山湖区,北京东路,3.6,单人万水尊品足道1次,108,499
足鼎王养生足浴（北京东路店）,青山湖区,北京东路,5.0,单人  能·量 足浴  套餐（全面升级）,148,487
浪琴湾足浴会所,青山湖区,北京东路,3.7,单人经典泰式按摩,88,469
扶阳养生馆,青山湖区,南昌大学,4.2,单人扶阳养生套餐,48,448
贵足足浴（上海南路店）,青山湖区,上海路,4.4,足浴按摩,88,442
祖慈肩颈（凯旋店）,青山湖区,红谷凯旋,4.2,单人祖慈肩颈六法护理,99,430
祖慈肩颈（万达店）,青山湖区,万达广场,4.6,单人祖慈肩颈六法护理,99,430
静康盲人按摩,青山湖区,京东大道,4.8,单人推拿1次（60分钟）,48.8,349
