商家,区域,商圈,星级,服务,价格,销量
洪庄SPA美肤庄园（吕厝店）,思明区,松柏,3.8,休闲护理套餐,59,925
洪庄SPA美肤庄园（前埔店）,思明区,加州商业广场,3.8,休闲护理套餐,59,925
润足坊足浴（莲花旗舰店）,思明区,松柏,5.0,单人润足小钟＋净桑套餐,128,909
贵足缘足浴（中山路步行街店）,思明区,中山路/轮渡,5.0,单人特惠按摩足浴套餐,68,843
大脚丫文创养生（原羽东亭）,思明区,文灶/火车站,4.4,单人艾足浴,108,829
金瀚淋养生馆,思明区,火车站,4.8,单人至煌尊养生SPA套餐,268,820
世纪阳光（禾祥店）,思明区,思明区,5.0,单人太极油压(大) + 托玛琳汗蒸+自助餐,301,762
德颐堂推拿艾灸馆（故宫店）,思明区,思明区,4.8,单人资深推拿+磁石热敷,108,760
德颐堂推拿艾灸馆（滨北店）,思明区,滨北,4.8,单人资深推拿+磁石热敷,108,760
五行堂足疗推拿,思明区,加州商业广场,5.0,舒适足浴单人套餐,59,707
尚足坊足浴（中山路步行街）,思明区,中山路/轮渡,5.0,单人养生足浴套餐,68,693
精品足道足浴店（中山路步行街店）,思明区,中山路/轮渡,5.0,单人特惠足浴按摩,68,557
春和延足浴休闲会所,思明区,莲花,4.0,单人芳香奢享套餐,268,482
贵足足浴（中山路步行街店）,思明区,中山路/轮渡,5.0,单人精品足浴套餐,108,456
鑫金海岸盲人按摩,思明区,莲花,5.0,单人舒心套餐,63,405
荒漠甘泉盲人推拿,思明区,思北路口,5.0,单人专业推拿,66,394
明发园社区美容养生馆,思明区,前埔,5.0,单人艾灸、刮痧、拔罐套餐,38,384
人生富足（中山路步行街店）,思明区,中山路/轮渡,5.0,单人鱼疗套餐,19.9,362
鑫足缘,思明区,明发商业广场,5.0,单人足疗套餐,58,339
艾立健经络养生,思明区,加州商业广场,5.0,拔罐/刮痧,28,310
众恩中医艾灸馆（金榜店）,思明区,文灶/火车站,5.0,单人综合套餐,128,276
如生足浴健康养生会所（金榜店）,思明区,罗宾森广场,5.0,单人经络油压,229,262
亚健康调理,思明区,加州商业广场,5.0,单人特色全身经络调理套餐,128,259
舒康汗蒸时代,思明区,明发商业广场,5.0,单人汗蒸推拿套餐,168,244
时代脚吧,思明区,思明区,4.6,经典足浴套餐,48,234
山水足浴,思明区,思明区,4.8,经典足浴套餐,58,232
鑫淼房汗蒸馆,思明区,火车站,5.0,单人汗蒸,29.9,218
明心堂养生文化中心,思明区,前埔,4.0,单人明心开背/推拿套餐,269,178
安然纳米汗蒸养生馆（东浦店）,思明区,火车站,5.0,体验单人汗蒸,19.9,165
祖慈肩颈（前埔店）,思明区,前埔,4.0,单人祖慈六法调理服务套餐,198,156
祖慈肩颈（卧龙店）,思明区,莲前西路,3.5,单人祖慈六法调理服务套餐,198,156
祖慈肩颈（会展店）,思明区,会展中心,3.0,单人祖慈六法调理服务套餐,198,156
祖慈肩颈（二市店）,思明区,思明区,3.5,单人祖慈六法调理服务套餐,198,156
伊人坊spa,思明区,新景中心,4.9,单人拔罐+艾灸,38,153
幽兰意境专业男士女子SPA,思明区,前埔,4.4,单人般若养生SPA,338,152
鹭江宾馆商务休闲会所,思明区,中山路/轮渡,4.8,单人足疗1次,89,153
好心情上门服务按摩理疗中心,思明区,罗宾森广场,4.2,单人spa套餐,198,41
百泰推拿,思明区,卧龙晓城,4.4,单人拔罐,20,38
丽颜塘上門舒压理疗中心（莲坂店）,思明区,卧龙晓城,4.7,丽颜塘SPA,258,35
丽颜塘上門舒压理疗中心（中山路店）,思明区,思明区,4.6,丽颜塘SPA,258,35
丽颜塘上門舒压理疗中心（松柏店）,思明区,体育中心,3.5,丽颜塘SPA,258,35
五悦SPA护理理疗中心（轮渡店）,思明区,思明区,4.7,代金券,9.9,32
禅一味中医养生馆,思明区,中山路/轮渡,5.0,禅式舒身推拿+拔罐套餐,68,31
小雅上门护理理疗中心（莲坂店）,思明区,莲坂国贸,4.0,单人spa套餐,218,30
小雅上门护理理疗中心,思明区,瑞景商业广场,4.6,单人spa套餐,218,30
小雅上门护理理疗中心（鸿昇大厦店）,思明区,思北路口,4.0,单人spa套餐,218,30
古城东路足浴店,思明区,思明区,4.2,单人经典足浴套餐,48,29
康瑞堂养生馆,思明区,南湖公园,4.8,中式推拿,68,28
鲲达保健,思明区,思明区,4.0,鲲达保健,37,27
卓玛上门服务舒压理疗中心（莲坂店）,思明区,明发商业广场,4.2,单人尊享spa护理,218,28
卓玛上门服务舒压理疗中心（滨北店）,思明区,滨北,4.0,单人尊享spa护理,218,28
卓玛上门服务舒压理疗中心（思北店）,思明区,中山路/轮渡,4.2,单人尊享spa护理,218,28
达摩养生,思明区,加州商业广场,3.5,单人全身经络调理＋颈椎达摩手法调理套餐,98,6
厦门一素一梵spa美学香舍,思明区,明发商业广场,3.5,单人日式活力再生指法1次,169,7
脉道养生堂,思明区,思明区,3.5,背部推拿套餐,69.9,6
颐聚轩中医养生,思明区,新景中心,4.1,单人艾灸调理套餐,58,5
