商家,区域,商圈,星级,服务,价格,销量
良子足浴（安高店）,蜀山区,华润五彩城,5.0,单人足疗套餐,88,3837
念奴娇养生SPA会所,蜀山区,蜀山区,5.0,单人念奴印象养生一次,168,2938
良子足浴（国购广场店）,蜀山区,国购广场,5.0,经典足浴单人套餐,99,2733
良子足浴（琥珀山庄一店）,蜀山区,蜀山区,5.0,经典足浴单人套餐,99,2733
良子足浴（高新区天波路店）,蜀山区,大铺头,5.0,单人养生套餐1次,108,2608
迎客松盲人推拿康复中心,蜀山区,蜀山区,5.0,单人推拿足浴2选1,65,2344
圣达养生馆,蜀山区,大铺头,5.0,单人三生有幸套餐,168,2264
魔尔时光养生馆,蜀山区,蜀山区,5.0,单人指压套餐,168,2066
良子足浴（亚坤大厦店）,蜀山区,蜀山区,5.0,单人初级足疗,76,1996
沅明源养生会所,蜀山区,清溪路大润发,4.8,单人经典指压spa套餐,158,1977
舞指仙境足浴指压（紫荆广场店）,蜀山区,凤凰城,5.0,舞指单人SPA套餐,268,1886
星辰盲人推拿,蜀山区,大铺头,4.7,单人推拿足浴二选一套餐,52,1762
学子推拿,蜀山区,三里庵,5.0,单人推拿套餐,50,1409
港岛音乐SPA会所,蜀山区,蜀山区,4.8,单人经典养生套餐,138,1376
领尚会养生会所,蜀山区,蜀山区,5.0,单人精品足道套餐,98,1337
金座水汇养生会所,蜀山区,青阳路,5.0,单人经典养生SPA套餐,168,1325
古尊spa会所,蜀山区,蜀山区,5.0,古尊指压,139,1229
龙品足浴会所,蜀山区,凤凰城,5.0,单人经典spa套餐,168,1093
云端养生堂,蜀山区,蜀山区,5.0,单人精品足道1次,138,1021
安然养生馆,蜀山区,蜀山区,4.8,单人养生套餐,198,1014
金鼎养生SPA,蜀山区,蜀山区,5.0,单人古典spa套餐,188,942
尊享养生SPA,蜀山区,蜀山区,5.0,单人尊享套餐,168,925
安然纳米汗蒸（三里庵店）,蜀山区,三里庵,5.0,单人汗蒸体验,13.9,851
金陵春梦足道养生尊享会所,蜀山区,蜀山区,5.0,单人尊享足道体验套餐（免费住宿过夜）,98,801
丰艾堂艾灸养生会馆（大溪地店）,蜀山区,1912街区,4.3,单人中式局部推拿拔罐调理套餐,88,758
丰艾堂艾灸养生会馆（港澳广场店）,蜀山区,蜀山区,4.3,单人中式局部推拿拔罐调理套餐,88,758
丰艾堂艾灸养生会馆（港汇广场店）,蜀山区,蜀山区,5.0,单人中式局部推拿拔罐调理套餐,88,758
丰艾堂艾灸养生会馆（国际花都店）,蜀山区,蜀山区,4.3,单人中式局部推拿拔罐调理套餐,88,758
融和堂影院式养生足道,蜀山区,大铺头,5.0,单人融术足道套餐,69,778
宋一刀扬州修脚（史河路店）,蜀山区,凤凰城,5.0,单人修脚修灰指甲套餐,48.8,746
吉原养生休闲会所,蜀山区,大铺头,5.0,单人经典养生套餐,168,739
兰馨阁养生足浴会所,蜀山区,蜀山区,4.3,单人养生足浴套餐,109,723
龙都养生会所,蜀山区,大铺头,5.0,单人养生套餐,138,706
龙庭御典足浴会所,蜀山区,青阳路,5.0,单人沐足,78,691
尚泉男子SPA会所,蜀山区,清溪路大润发,4.9,尚泉经典养生套餐,168,688
铜鹊台养生会所,蜀山区,摩尔广场,5.0,单人铜雀云海经典SPA套餐,168,660
左岸养生spa（黄山路店）,蜀山区,蜀山区,5.0,单人经典净身之旅SPA一次,299,647
心之语盲人推拿足浴,蜀山区,清溪路大润发,5.0,单人推拿+拔罐套餐,45,637
康元推拿中心,蜀山区,三里庵,4.3,单人中式推拿套餐,55,605
