商家,区域,商圈,星级,服务,价格,销量
华医国技养生会所,赛罕区,长乐宫,3.7,华医国技足道养生套餐,88,889
品味足道,赛罕区,长乐宫,4.2,足疗按摩套餐,78,857
泽宁修脚足疗按摩（桥靠店）,赛罕区,赛罕区,5.0,单人足疗按摩套餐,36.8,833
泰福盲人按摩,赛罕区,金隅时代城,5.0,泰福盲人按摩足疗套餐,58,755
益寿康按摩院,赛罕区,长乐宫,4.6,单人套餐,68,593
优优修脚,赛罕区,内大,5.0,修脚足部护理套餐1次,29.8,498
小杨盲人按摩,赛罕区,长乐宫,5.0,单人套餐,55,445
名家国技养生馆,赛罕区,桥华,4.3,单人足疗套餐,68,435
华都君悦足道养生SPA会所,赛罕区,桥华,4.9,单人养生足道套餐,108,375
博善堂盲人按摩,赛罕区,赛罕区,5.0,按摩足疗AB2选1,59.8,344
杏林一家盲人按摩,赛罕区,嘉茂,4.1,按摩足疗刮痧精油4选1,69,336
内蒙古呼和浩特艾灸经络养生（兴安南路店）,赛罕区,桥华,4.1,艾灸养生馆48元（A/B/C）套餐三选一,48,336
艾灸养生馆,赛罕区,桥华,4.4,艾灸养生馆48元（A/B/C）套餐三选一,48,336
逸天云璟,赛罕区,长乐宫,5.0,单人沐足套餐,98,276
香儿足道养生会所,赛罕区,赛罕区,5.0,足部养生套餐,128,266
德荟堂全息经络无痛刮痧（学府花园店）,赛罕区,师大,4.6,拔罐套餐2选1,38,257
百岁堂艾灸养生堂,赛罕区,乌兰察布东街,4.6,艾灸体验1次,64,245
欧s足道,赛罕区,发展小区,4.0,欧S专业足疗1次,58,222
祥普足疗,赛罕区,长乐宫,4.0,祥普足疗套餐,68,215
蒸艾康汗蒸艾灸,赛罕区,师大,5.0,单人汗蒸养生7选2套餐,49,172
东升温灸汗蒸养生馆,赛罕区,赛罕区,5.0,艾灸养生套餐,39,146
碧涛阁足疗店,赛罕区,赛罕区,5.0,单人足疗套餐下午时段,48,120
和煦轩推拿按摩中心,赛罕区,赛罕区,5.0,单人刮痧拔罐2选1,25,99
康友盲人按摩,赛罕区,金隅时代城,4.1,足疗保健套餐,85,95
德荟堂康健理疗会所,赛罕区,嘉茂,4.4,【德荟堂康健理疗会所】拔罐套餐2选1,38,94
活力健康管理,赛罕区,长乐宫,4.7,健康养生调理推广中心-百全毫米波,0.9,91
克丽缇娜（摩尔城奈伦国际店）,赛罕区,摩尔城,4.4,单人精致护理,98,76
鑫悦足道,赛罕区,赛罕区,5.0,单人拔罐+刮痧,19.9,72
1+1经络spa养生会所,赛罕区,赛罕区,4.3,单人全身经络油压,148,68
dds经络养生,赛罕区,内大,5.0,经络疏通,9.9,66
元康盲人按摩,赛罕区,赛罕区,4.9,足疗套餐,75,66
千年瑶浴养生会所,赛罕区,赛罕区,4.1,养生足疗,68,57
伊若尔安然纳米汗蒸养生馆,赛罕区,赛罕区,4.2,单人汗蒸一次,19.8,53
富贵益足经络养生馆,赛罕区,桥华,4.0,富贵益足养生足道,88,43
翠海足道宾馆,赛罕区,摩尔城,3.9,保健套餐,58,42
寻觅足道,赛罕区,赛罕区,4.0,双人情侣私享套餐,186,42
