商家,区域,商圈,星级,服务,价格,销量
晓巷养生会馆,南岗区,哈尔滨西站,5.0,单人现代养生套餐,139,275
刘刘盲人按摩（红旗大街店）,南岗区,国际会展中心,5.0,单人保健调理1次,70,246
冠盈养生堂,南岗区,芦家街/宣化街,5.0,单人背部刮痧走罐套餐,25.9,210
馨雨美容减肥塑型会馆（哈西悦城店）,南岗区,哈尔滨西站,5.0,单人拔罐瘦身套餐,1,208
大森林酵素浴养生馆,南岗区,文昌街,4.1,单人酵素养生浴,38,203
足益堂专业修脚,南岗区,国际会展中心,5.0,单人修脚套餐,19.9,203
若石足道,南岗区,省政府/龙塔,4.3,单人足道套餐,58,194
路易香浓按摩养生会馆,南岗区,凯德广场,5.0,单人艾灸套餐,19.9,188
若世堂推拿店,南岗区,哈尔滨西站,5.0,单人肩颈调理推拿,38.9,175
健足斋,南岗区,花园街,5.0,单人修脚套餐,25,169
益康足浴养生馆,南岗区,和兴路沿线,5.0,单人足疗减压调理套餐,39.8,151
储金柜足浴,南岗区,哈尔滨西站,5.0,单人养生足道,99,143
李大夫中式推拿,南岗区,和兴路沿线,5.0,单人无痛刮痧拔罐套餐,24.9,139
滨朋盲人按摩院,南岗区,和兴路沿线,5.0,单人全身推拿+火罐套餐,55,136
忠义传统按摩院,南岗区,和兴路沿线,5.0,单人养生足疗套餐,35.8,128
臧氏推拿按摩,南岗区,果戈里/革新街,5.0,保健足底套餐,89,123
润足堂保健按摩（华山北路店）,南岗区,芦家街/宣化街,4.9,单人养生足疗,48,114
心赏阳光盲人推拿,南岗区,教化广场,5.0,单人中式推拿,38,112
御尚堂养生会馆,南岗区,国际会展中心,4.8,单人中式经络调理1次,98,109
健足斋,南岗区,文昌街,5.0,单人扬州修脚1次,20,107
牛氏盲人按摩,南岗区,国际会展中心,3.0,全身推拿套餐,40,0
筋骨推拿调理中心,南岗区,和兴路沿线,3.5,单人魔罐纤体套餐15次,358,0
清松养生按摩会馆,南岗区,南岗区,3.5,单人经络疏通1次,29.9,0
陈胜按摩店,南岗区,南岗区,3.5,体控体验,40,0
竹健康体中心,道里区,群力地区,5.0,单人局部推拿套餐,32,251
东明盲人按摩会馆（群力店）,道里区,关东古巷,5.0,单人部位调理套餐,35,232
铭池轩养生馆,道里区,群力地区,5.0,单人御足,68,222
仁康中式按摩馆,道里区,群力地区,5.0,单人特惠养生套餐,29.9,197
三道馆,道里区,爱建社区,5.0,单人太极足心道,105,152
