商家,区域,商圈,星级,服务,价格,销量
若石足道全国连锁养生会馆,中山区,三八广场,5.0,若石足道70分钟（单人）,88,117
慈益推拿按摩院,中山区,中山广场/延安路,4.8,9.9拔罐,9.9,115
瑞合堂艾灸养生馆,中山区,天津街,5.0,单人手工悬灸套餐,38,100
太乙中医经络养生,中山区,二七广场,4.8,单人养生套餐7选2,58,99
泰福养生会馆,中山区,三八广场,5.0,单人泰式精油SPA,138,88
元和经络养生馆,中山区,友好广场,5.0,单人局部调理+筋膜松解背部/拔罐,68,78
美林足道,中山区,民主广场,4.1,单人保健+足底1次,128,68
天人一养生会馆,中山区,友好广场,4.6,单人足道1次,58,61
玫瑰养生会所,中山区,二七广场,5.0,单人中式按摩+足疗按摩套餐,128,55
阳光盲人推拿诊所（一德街店）,中山区,中山广场/延安路,4.1,单人经络疏通,88,45
龙井足道影院式养生会馆,中山区,二七广场,5.0,单人龙井经典,160,44
伍艾康女士艾灸养生,中山区,友好广场,5.0,单人全身经络疏通,39,40
苏乡门第足道养生会馆,中山区,港湾广场,3.9,单人芦荟足道,59,37
大拇指经络推拿2部,中山区,中山区,4.4,单人颈肩腰腿经典五选一套餐,118,36
栖雲足道,中山区,桃源,4.0,栖雲足道,59,36
融鑫足道（二七店）,中山区,二七广场,4.5,单人融鑫足道功夫肩颈,69,30
张继少华太极推拿（独家创新技术）,中山区,解放路沿线,5.0,太极推拿+竹密刮痧+艾灸涌泉 套餐1次,188,29
永治号中医按摩院,中山区,中山广场/延安路,5.0,经络刮痧+艾灸60分钟调理,39,28
圆和养生会馆,中山区,港湾广场,4.6,无痛刮痧,9.9,28
太和经络,中山区,老虎滩,4.3,拔罐,20,25
扬州修脚,中山区,中山区,4.1,泡脚修脚,46,7
大国道中医推拿按摩,中山区,二七广场,5.0,单人经络走罐+拔罐+背部淋巴调理套餐,98,7
克丽缇娜美容养生会馆（名秀店）,中山区,桃源,3.9,单人美容养生套餐,49.9,7
名宝养生会所（中山友嘉购物店）,中山区,桃源,4.6,单人养生套餐：（7+1组合套餐 内含8项）,76,7
诗诺美容养生SPA会馆（二七店）,中山区,二七广场,3.5,单人 诗诺特色护理套餐,168,3
诗诺美容养生SPA会馆（三八广场店）,中山区,三八广场,3.0,单人 诗诺特色护理套餐,168,3
子升堂盲人按摩,中山区,桃源,4.3,单人局部套餐,60,3
宇轩经络推拿,中山区,中山区,4.0,刮痧加拔罐,40,3
日本指压健康公馆,中山区,胜利广场/青泥洼桥,4.0,日本指压,89,2
青和健康灸疗理疗按摩养生会馆,中山区,老虎滩,4.0,单人腰椎部热灸,69,2
耀康SPA按摩养生工作室（友好广场店）,中山区,友好广场,5.0,单人正宗足疗松腿套餐,98,2
强手堂中式推拿按摩,中山区,友好广场,4.0,经络调理推拿+古法辩证施灸,38,2
日本指压（新玛特总店）,中山区,胜利广场/青泥洼桥,4.3,店长推荐眼部经络调理,79,2
颖泉中医按摩,中山区,解放路沿线,4.2,单人中式推拿整脊,128,2
日本指压,中山区,三八广场,4.0,中式推拿+刮痧（单人）,39,2
养骨堂按摩养生会馆,中山区,友好广场,4.1,经络调理推拿+古法辩证施灸,38,2
兴隆棋牌室,中山区,桃源,5.0,8小时棋牌套餐,70,0
意中人,中山区,二七广场,4.0,单人藏灸寒湿调理5选1,198,0
脊柱梳理（二七广场店）,中山区,二七广场,3.5,单人调理套餐,45,0
东景堂按摩养生馆,中山区,中山区,3.0,单人拔罐体验一次,10,0
红泰阳养生SPA水疗,中山区,人民路,4.2,水嫩清透补水护理（60分钟）,190,0
康美阁按摩养生会馆,中山区,二七广场,3.5,单人眉形设计修整,6.66,0
良友盲人按摩院,中山区,人民路,3.7,单人推经络+拔罐+刮痧1次,158,0
自愈密码小儿推拿,中山区,中山广场/延安路,4.1,葫芦灸,40,0
Ms Rong私人工作室,中山区,胜利广场/青泥洼桥,4.0,精油开背,98,0
孙三拨专注拨筋按摩（知心园店）,沙河口区,沙河口区,5.0,单人专攻颈肩腰腿痛,89,42
祖传推拿正骨,沙河口区,西安路沿线,4.9,经络刮痧拔罐走罐刺血,19.9,38
万和祥茶楼,沙河口区,和平广场,4.6,单人陶板还元浴1次,149,35
阳光盲人推拿院（星海人家店）,沙河口区,沙河口区,3.5,单人经络疏通,88,30
古法经络养生工作室,沙河口区,罗斯福购物中心,5.0,单人拔罐/刮痧,20,29
玛丽艳养生馆（福佳新天地店）,沙河口区,福佳新天地,4.6,体形雕塑身材管家套餐,88,26
素和手经络养生馆（西岗区店）,沙河口区,五一广场,4.8,单人腰部保养,168,24
玛丽艳养生馆,沙河口区,罗斯福购物中心,4.8,8选1,39.7,21
泰谷按摩养生堂,沙河口区,星海公园,4.7,传统中式全身专业推拿60分钟,88,20
迪岸spa男士养生会所,沙河口区,西安路沿线,4.4,单人放松减压套餐,118,20
和平养生会所,沙河口区,和平广场,4.5,单人刮痧+拔罐1次,39,20
德缘堂传统中医馆,沙河口区,星海公园,4.6,单人古方调理十选一,48,19
碧欧缇美容院,沙河口区,沙河口区,4.0,单人酵素浴背部调理套餐,99,18
汉方天沐足道馆,沙河口区,沙河口区,4.5,单人香薰精油套餐,248,18
仁康经络养生馆,沙河口区,罗斯福购物中心,5.0,单人传统艾绒手持艾灸（60分钟）,99,16
丰婷养生按摩馆,沙河口区,沙河口区,4.9,单人背部经络疏通+淋巴净排套餐,79,14
莎道缘养生中心（福佳店）,沙河口区,福佳新天地,4.0,肩颈调理,10,14
蘭帝养生会馆,沙河口区,西安路沿线,3.5,养生套餐3选1,38,13
纳兰美容养生馆,沙河口区,沙河口区,4.1,单人精油开背,29,13
妙德堂,沙河口区,会展中心,4.0,单人足道,139,12
尚清按摩苑,沙河口区,五一广场,4.6,局部推拿,39,10
醉芙人美容生活会馆,沙河口区,黑石礁,3.7,肩颈护理,19,9
香古.瑶养生,沙河口区,沙河口区,3.5,单人香古.瑶泡浴3次,100,7
医颜堂专业祛痘（大连总店）,沙河口区,软件园/数码广场,4.4,单人古方专业排痘3次,98,5
和新足疗、修脚,沙河口区,沙河口区,4.7,修脚,26.9,5
脊近完美脊椎调理养生工作室,沙河口区,沙河口区,3.5,美式整脊 脊椎矫正（40分钟）,138,4
双润经络创意生活馆,沙河口区,沙河口区,4.0,【限量】单人肝胆调理/脾胃调理（60分钟）,89,3
易名元中医古法养生,沙河口区,西安路沿线,4.3,单人背部经络疏通＋刮痧,49,3
易名元心理咨询,沙河口区,西安路沿线,5.0,头疗＋悬灸套餐,19.9,3
玛丽艳娜（福佳二店）,沙河口区,福佳新天地,4.0,单人芦荟精华面部拨筋+肩颈减压护理,38,3
玄元易医,沙河口区,和平广场,4.0,单人普通调理,98,3
梦姿青养生馆（玛丽艳娜）,沙河口区,马栏子,4.5,单人芦荟精华面部拨筋+肩颈减压护理,38,3
静雨·盲人按摩养生会所,沙河口区,星海湾/星海广场,4.1,单人足疗套餐,65,3
健鑫养生馆,沙河口区,黄河路沿线,4.5,单人 健鑫养生馆,98,2
群星盲人按摩,沙河口区,沙河口区,4.6,单人刺血拔罐,100,2
御美苑美容院,沙河口区,沙河口区,4.1,专业祛痘套餐,10.8,2
聚福养生堂,沙河口区,和平广场,4.2,单人背部净排1次,39,2
小伟盲人中医推拿按摩,沙河口区,沙河口区,5.0,单人小儿推拿,40,2
罗氏按摩,沙河口区,黑石礁,4.0,单人颈肩腰腿调理套餐,58,2
得益堂养生会馆,沙河口区,五一广场,3.5,单人经络刮痧1次,58.8,1
四海源美塑养生会馆,沙河口区,沙河口区,3.5,单人健康瘦身套餐,68,1
姿皇美体养生会馆,沙河口区,西安路沿线,4.2,单人养生套餐,69,1
呱呱家政,沙河口区,沙河口区,4.5,新居开荒保洁,450,1
蓝花语岸减肥瘦身会所【星海店】,沙河口区,和平广场,5.0,单人卵巢保养1次,68,1
天乙养生会馆,沙河口区,西安路沿线,4.3,单人拔罐,10,0
安甲堂修脚,沙河口区,沙河口区,4.7,单人灰甲处置,190,0
杨杰经络减肥,沙河口区,沙河口区,3.5,经络拔罐月套餐,100,0
圣慧经络养生馆,沙河口区,太原街沿线,3.5,单人热疗泥灸,38,0
紫嫣专业祛痘美容养生会馆,沙河口区,福佳新天地,3.5,痘肌护理,29.9,0
花纤树私人调理养生会所,沙河口区,沙河口区,3.5,单人传统艾灸隔姜灸,39,0
安康盲人按摩推拿工作室,沙河口区,沙河口区,4.6,单人养生缓解疲劳套餐（115分钟）,149,0
和平推拿按摩会所,沙河口区,和平广场,3.5,火罐足疗套餐,49,0
沙河口区赵氏按摩院,沙河口区,沙河口区,3.5,单人贵宾卡,4000,0
蓝花语岸减肥瘦身会所（【西安路店】）,沙河口区,黄河路沿线,4.5,单人胸部保养1次,58,0
朋朋修脚（新起屯店）,西岗区,西岗区,5.0,单人足部护理套餐,33.9,15634
朋朋修脚（胜利路店）,西岗区,西岗区,4.5,单人足部护理套餐,33.9,15634
朋朋修脚（鞍山路店）,西岗区,北京街,4.8,单人足部护理套餐,33.9,15634
朋朋修脚（唐山街店）,西岗区,西岗区,4.5,单人足部护理套餐,33.9,15634
朋朋修脚（香工街店）,西岗区,西岗区,4.8,单人足部护理套餐,33.9,15634
正清和中医推拿（高尔基路一店）,西岗区,西岗区,5.0,单人足底足疗+推拿按摩放松保健超级套餐,109,3726
金槐花韩式松骨,西岗区,西岗区,4.8,单人韩式松骨套餐,119,2086
贾三刀修脚,西岗区,八一路沿线,4.8,单人修刮脚1次,33,834
尚德国手传统推拿养生会馆（奥林匹克店）,西岗区,奥林匹克广场,5.0,单人国手传统全身推拿养生,89,699
复元经络,西岗区,人民广场/新开路,5.0,单人全身经络疏通套餐,118,619
鸥迪足道（八一路店）,西岗区,八一路沿线,5.0,单人鸥迪护理,99,331
阿福修脚足道按摩（八一路）,西岗区,八一路沿线,4.7,单人足疗套餐,38.8,266
健益祥中医艾灸推拿,西岗区,人民广场/新开路,5.0,单人半身经络疏通+艾灸+火罐/刮痧,89,176
爱之源美容养生会所,西岗区,西岗区,4.7,单人全身经络,138,67
普云五行艾灸堂,西岗区,北京街,5.0,单人特价拔罐,9.9,63
艾香阁艾灸养生,西岗区,西岗区,5.0,单人疲劳舒缓调理,49,58
诚信按摩,西岗区,西岗区,4.6,单人全身推拿60分钟一次,39.9,57
易彤美容院,西岗区,北京街,5.0,拔罐一次，放松身心，选择易彤,11.9,45
荣郝推拿,西岗区,西岗区,5.0,拔罐或刮痧,19,34
唯美度Spa美容养生,西岗区,西岗区,5.0,单人经络排-毒,28,29
佰福仟祥脊椎养生馆（辛寨子店）,甘井子区,甘井子区,5.0,单人养生中式九五之尊足道,38,454
康澜美容养生会所二部（康澜二部）,甘井子区,华南广场,5.0,单人养生套餐3选1,49,424
中正古方经络按摩,甘井子区,凌水镇/理工大学,5.0,单人传统火罐1次,19.9,389
惠友按摩会馆,甘井子区,万达广场,5.0,单人经典套餐二选一,68.8,371
华康按摩养生馆,甘井子区,甘井子区,4.5,养生套餐,58,344
鹿野经络养生苑,甘井子区,凌水镇/理工大学,5.0,单人拔罐,9.9,344
双吉红盲人按摩,甘井子区,甘井子区,4.8,单人局部推拿1次,49,250
七天养伸,甘井子区,甘井子区,4.1,单人【刮痧、拔罐】二选一,29.9,217
崔明维中医儿科诊所,甘井子区,甘井子区,4.5,小儿推拿,50,191
觉脉健康养生会馆,甘井子区,华南广场,4.8,单人觉脉经络推拿,55,187
晟艺修脚,甘井子区,甘井子区,5.0,单人泡脚+修脚+刮脚+足部护理,19.9,185
泰和养生会馆,甘井子区,甘井子区,5.0,单人砭石脾胃热疗+泰式洗头SPA,139,168
