商家,区域,商圈,星级,服务,价格,销量
九河足道休闲会馆,滨海新区,塘沽城区,5.0,单人高级足疗1次,108,6871
憶水阁足道养生会馆,滨海新区,大港城区,5.0,单人憶水阁足疗保健套餐（90分钟）,109,5948
足春堂,滨海新区,经济开发区,5.0,单人经典足疗套餐,118,4331
良子健身（学校大街店）,滨海新区,外滩/金街,5.0,单人优质足疗1次,98,4143
汇江南,滨海新区,汉沽城区,5.0,单人特级技师养生足道,138,3920
清水莲温泉洗浴,滨海新区,大港城区,5.0,门票+足疗+搓澡+搓盐+搓奶套餐,89,3183
良子足道,滨海新区,塘沽城区,5.0,单人良子足道足疗套餐,108,2649
莉馨丰温泉洗浴城,滨海新区,经济开发区,5.0,单人洗浴足疗套餐,69.9,2142
汉唐贵族足道,滨海新区,滨海新区,5.0,单人经典养生足疗1次,138,2030
樱花良子（二店）,滨海新区,经济开发区,5.0,单人足疗保健优惠套餐,118,1473
榕泽足道会馆,滨海新区,经济开发区,5.0,单人养生足道1次,238,1453
老大的幸福足道会馆（新港店）,滨海新区,新港,5.0,单人特级足疗套餐,148,1167
御道足疗养生馆,滨海新区,经济开发区,5.0,单人御道高级足疗套餐,168,1145
荷花雨足道会所,滨海新区,经济开发区,5.0,单人荷花雨足道会所足疗套餐,98,1000
沐清泉足浴城,滨海新区,塘沽城区,5.0,单人经典套餐,98,886
宏康盲人按摩,滨海新区,经济开发区,4.7,足疗 +盐袋热敷,68,880
至善足道&水和浴场,滨海新区,新港,4.9,单人足疗洗浴套餐,128,788
小古林娱乐休闲会馆,滨海新区,大港城区,4.7,单人保健按摩+足疗+洗浴套餐,128,723
菩提足道会馆,滨海新区,经济开发区,5.0,单人菩提1次,158,722
好运堂足道,滨海新区,大港城区,5.0,单人足疗按摩,88,647
康步足道,滨海新区,经济开发区,3.6,单人康步足道SPA全身经络护理1次 翔实路,128,147
芦荟养发护肤中心（晓镇家园店）,滨海新区,塘沽工农村,4.0,头部特护,19,143
芦荟养发护肤中心（贻成尚北店）,滨海新区,塘沽工农村,4.6,头部特护,19,143
伊曼spa养生会馆,滨海新区,经济开发区,5.0,单人SPA尊享套餐,298,143
芦荟养发护肤中心（融科心贻湾店）,滨海新区,塘沽工农村,4.0,头部特护,19,143
芦荟养发护肤中心（碧海鸿庭店）,滨海新区,外滩/金街,4.2,头部特护,19,143
芦荟养发（隆盛花园店）,滨海新区,塘沽城区,4.2,头部特护,19,143
芦荟养发护肤中心（新新家园店）,滨海新区,塘沽工农村,4.1,头部特护,19,143
众来康推拿中心,滨海新区,滨海新区,5.0,单人足疗按摩套餐,158,137
金汉松骨,滨海新区,汉沽城区,5.0,单人金汉松骨足疗+按摩套餐,119,122
禧灸堂艾灸健康馆,滨海新区,经济开发区,4.4,单人养生套餐,128,122
禧灸堂艾灸养生馆,滨海新区,新港,5.0,单人养生套餐,128,122
颈肩腰腿康复中心（塘沽九幼店）,滨海新区,滨海新区,4.2,单人颈肩腰腿调理套餐,68,120
阳阳足道养生会馆（塘沽和平路店）,滨海新区,外滩/金街,5.0,阳阳单人经典足疗,68,113
港都足疗城,滨海新区,塘沽城区,4.0,单人足疗套餐套餐,58,110
