商家,区域,商圈,星级,服务,价格,销量
艺语堂陶艺工作室,迎泽区,柳巷商业区,5.0,钱包DIY（意大利牛皮）,298,0
源源足疗,小店区,平阳路,5.0,草本足疗套餐,58,1010
足步天下,小店区,体育路,4.1,单项足疗,138,993
佰优时代,小店区,南内环街,5.0,单人佰优足浴,128,911
家富富侨（天美店）,小店区,长治路,5.0,足疗套餐,138,720
無極皇宫臻尊spa（维多利亚店）,小店区,学府街,5.0,单人贵妃养生,468,670
無極皇宫臻尊spa（康宁宫店）,小店区,康宁街,5.0,单人贵妃养生,468,670
郑远元专业修脚（体育路店）,小店区,体育路,4.5,单人草本堂足疗套餐,28,657
足宇轩养生一刀苏修脚,小店区,长风街,5.0,单人精修套餐,29.9,467
如佳汉芳足浴,小店区,建设南路,5.0,汉芳spa,258,463
御璇王朝,小店区,真武路,5.0,精品足疗,68,419
御指王朝（平阳路店）,小店区,小马,5.0,单人养生套餐,168,301
秦古莲足疗养生会所（亲贤北街店）,小店区,长治路,5.0,秦古莲足疗套餐,159,300
天然艾灸养生会所,小店区,平阳路,4.8,单人单部位艾灸,19.9,286
81盲人按摩,小店区,长风街,5.0,单人拔罐,21,207
暮色主题养生会所,小店区,建设南路,5.0,足疗王室套餐1份,488,177
脚先生修脚会所,小店区,小店区,4.8,单人精修,39.9,164
李氏修脚足疗,小店区,南中环街,5.0,单人草本泡脚+修脚+足疗套餐,39.9,142
居清阁养生馆,小店区,长风街,5.0,单人刮痧拔罐艾灸面部补水4选2,8.8,123
鼎城国际养生会所（平阳路店）,小店区,平阳路,4.8,单人芳香SPA,298,99
御轩王朝,小店区,长治路,5.0,单人精品足浴,138,92
张涛盲人按摩,小店区,长风街,4.9,单人小儿推拿,30,0
孔氏三合一足疗,小店区,南中环街,3.5,汗蒸三合一,180,0
小闫盲人按摩（一部学府店）,小店区,学府街,4.4,单人按摩+足疗,93,0
足道先生健康养生SPA会所,小店区,长风街,4.0,单人五行足浴,88,0
艺华园,小店区,真武路,4.0,双人盐池黑泥御足大套,316,0
