商家,区域,商圈,星级,服务,价格,销量
良富足浴,海曙区,月湖盛园,5.0,单人标准足浴套餐,94.9,15648
朋朋修脚（环城西路店）,海曙区,海曙区,4.3,单人足部护理套餐,33.9,15634
朋朋修脚（青林湾店）,海曙区,青林湾,4.0,单人足部护理套餐,33.9,15634
朋朋修脚（大沙泥街店）,海曙区,海曙区,4.8,单人足部护理套餐,33.9,15634
华府月红1992,海曙区,海曙区,5.0,单人港式按摩套餐,88,10721
皇朝养生会馆（海曙店）,海曙区,鼓楼,5.0,单人足浴1次,99,2024
润脉堂盲人推拿会所,海曙区,鼓楼,5.0,单人健康养生护理套餐,67,1801
碧塔海养生会馆（宁波一店）,海曙区,环城西路南段,5.0,【碧塔海推荐】单人养生SPA套餐90分钟,198,1471
逸轩足浴,海曙区,城隍庙,5.0,单人精品足浴,118,1316
静池健康足疗,海曙区,环城西路南段,5.0,单人中式足疗1次,72,1239
圣梦美容美体生活馆,海曙区,海曙区,5.0,单人泰式推拿套餐,62,891
瑶玉会,海曙区,南塘老街,4.0,单人足浴1次,119,813
中经堂（宁波店）,海曙区,月湖盛园,5.0,单人颈肩调理（推拿／按摩／艾灸／拔罐）套餐,228,637
大学生足浴（法院巷店）,海曙区,鼓楼,5.0,单人超值足疗按摩套餐,88,578
富侨足浴,海曙区,环城西路南段,5.0,单人富桥标准足浴套餐,89,490
天御古典足道（铭悦广场店）,海曙区,环城西路南段,5.0,单人足浴套餐,99,479
谢式一鼎灸（海曙汇金店）,海曙区,和义大道,4.5,谢式一鼎灸备孕产后艾灸调理,98,433
精气神经络推拿,海曙区,海曙区,5.0,单人刮痧／拔罐2选1,25,359
山水足浴,海曙区,西门口,4.0,单人足浴1次,88,356
仁艾堂艾灸养生,海曙区,青林湾,5.0,单人拔罐/刮痧二选一1次,39,331
Blue个人形象护理中心,海曙区,环城西路南段,4.5,单人女士艾灸疏通1次,58,0
御皇府清御堂会所,江东区,江东区,5.0,单人足疗套餐,108,515
御皇府养生会馆,江东区,彩虹广场,5.0,单人足疗套餐,108,515
御海湾国际休闲会所,江东区,高新区,4.9,单人K歌沐足套餐,138,455
谢式一鼎灸（江东高新店）,江东区,高新区,4.9,谢式一鼎灸备孕产后艾灸调理,98,433
董敏園悬灸,江东区,国际会展中心,4.0,单人背部经络推拿＋肩颈艾灸1次,88,364
逸心阁足浴会所,江东区,儿童公园,5.0,单人足浴套餐1次,72,346
真元堂中医理疗馆,江东区,兴宁路,5.0,单人刮痧拔罐二选一,38,345
百花国际水会,江东区,体育中心,5.0,单人足浴套餐,68,342
紫雨庭足浴,江东区,彩虹广场,4.9,单人足浴,98,335
金马盲人推拿,江东区,世纪东方广场,4.6,单人推拿1次,66,332
巧手足道推拿休闲养身馆,江东区,高新区,5.0,单人拔火罐1次,25,325
良子足浴（桑田路店）,江东区,世纪东方广场,4.7,单人足浴1次,130,304
百宁浴场,江东区,世纪东方广场,4.9,单人休闲套餐,49,296
云蔓庭spa会所,江东区,世纪东方广场,5.0,单人精油开背养生SPA套餐,188,299
7号公馆,江东区,世纪东方广场,5.0,单人7号公馆养生套餐,350,278
豪门国际水会,江东区,彩虹广场,4.9,行易堂足疗套餐,90,248
固元堂（固元分院）,江东区,世纪东方广场,4.8,单人推拿一次,151.2,214
东欣spa会所,江东区,世纪东方广场,5.0,单人养生保健SPA套餐,188,198
巴厘海养生SPA会所,江东区,世纪东方广场,5.0,单人养生SPA套餐,368,197
伯爵spa会所,江东区,彩虹广场,4.6,单人精油开背养生SPA套餐,198,190
金手指推拿,江东区,体育中心,3.0,单人走罐1次,40,0
开元大酒店足浴中心,江东区,儿童公园,5.0,单人中式按摩1次,198,0
香水宜人足浴,江东区,兴宁时代广场,3.5,单人高端养生spa1次,318,0
新河木香保健按摩服务部,江东区,儿童公园,3.5,单人拔罐1次,25,0
禧灸堂,江东区,彩虹广场,5.0,单人刮痧+拔罐2选1,68,0
蘭香阁休闲养生会所,鄞州区,鄞州区,5.0,单人蘭香阁养生spa套餐,168,1670
御足堂足道SPA会所（盛世天城店）,鄞州区,鄞州区,5.0,单人精品足浴（艾盐热敷套餐）,78,1592
儒之堂,鄞州区,鄞州区,5.0,单人绿色草本套餐,98,1469
浙海养生馆,鄞州区,联丰路沿线,5.0,单人草本足浴/精油足浴二选一1次,98,1457
紫金汇足浴spa会所,鄞州区,联盛广场,5.0,单人足浴1次,88,1384
春夏秋冬足疗养生会所,鄞州区,鄞州区,5.0,单人一式足疗套餐1次,98,1100
Bali IndonesIan SPA,鄞州区,鄞州万达广场,5.0,神奇之旅,318,904
金生水起足道,鄞州区,鄞州区,5.0,足浴1次,98,725
见心堂盲人推拿,鄞州区,南部商务区,5.0,单人见心堂推拿套餐,65,599
金玉轩SPA会所,鄞州区,鄞州区,5.0,单人尊享养生SPA,198,588
伯豪华府足浴会所,鄞州区,集士港,5.0,单人经典足浴一次,78,573
尊御堂按摩保健馆,鄞州区,联盛广场,5.0,单人高级足疗1次,118,569
凯鑫足浴会所,鄞州区,联丰路沿线,5.0,单人足浴1次,58,490
皇朝养生会馆（鄞州店）,鄞州区,鄞州万达广场,5.0,单人足浴套餐1次,99,484
道元足浴会馆,鄞州区,鄞州万达广场,4.6,单人足疗一次,88,471
金钻汇spa足浴养生会所,鄞州区,利时百货,4.0,单人精品足浴1次,88,460
私博汇spa会所,鄞州区,鄞州区,5.0,单人私博汇养生套餐,388,453
谢式一鼎灸（鄞州印象城店）,鄞州区,印象城,4.6,谢式一鼎灸备孕产后艾灸调理,98,433
蓝湾沐足,鄞州区,鄞奉路沿线,4.4,单人经典沐足套餐,68,432
浩源足浴spa,鄞州区,鄞州区,4.5,单人中式足浴1份,78,409
山外山足浴养生会所,鄞州区,姜山,5.0,足疗套餐,78,407
正阳艾灸养生中心,鄞州区,鄞州区,4.4,单人调理套餐,68,401
天瑜足浴,鄞州区,集士港,4.0,单人足浴套餐,58,384
小佳璧钰,鄞州区,利时百货,4.9,单人精品SPA一次,138,348
玖思亿,鄞州区,鄞州区,4.2,单人刮痧或拔罐1次,18,346
万豪足浴,鄞州区,鄞州区,3.7,中式足疗1次,88,341
金足阁,鄞州区,环球城,5.0,单人精品足浴1次,85,307
仙踪林国医馆,鄞州区,利时百货,5.0,单人全套中式五行拔罐（养生火罐）,58,302
大汉松骨足疗保健会所,鄞州区,舟宿渡,4.9,单人大汉套餐1次,168,296
印度油疗,鄞州区,环球城,5.0,单人养生保健1次,360,246
港丰足浴会所,鄞州区,鄞州区,5.0,单人泰式足浴,108,242
印度油疗（鄞州店）（20328074）,鄞州区,鄞州区,4.0,单人印巴神怡1次,278,226
固元堂（扶元分院）,鄞州区,鄞州万达广场,4.6,单人推拿一次,151.2,214
为民保健推拿馆,鄞州区,利时百货,4.7,单人推拿1次,65,195
曼谷之恋SPA养生会馆,鄞州区,南部商务区,4.4,单人尊享SPA,358,189
润SPA·水舞涧水疗养生会所（南苑环球店）,鄞州区,鄞州区,4.9,【商务特选】VIP单人Spa护理套餐,668,180
聚宁轩足浴,鄞州区,鄞州区,4.8,单人牛奶足浴1次,65,176
舒心保健按摩,鄞州区,印象城,4.9,单人推拿1次,65,177
锦御轩足浴店,鄞州区,鄞州万达广场,4.0,单人足浴一次,88,175
御足康休闲养身会所,鄞州区,鄞州区,3.7,单人全身按摩足疗套餐,68,167
058spa足浴养生会所,鄞州区,利时百货,4.0,058单人足浴,98,17
鑫手指足道,鄞州区,鄞州区,4.0,单人高端足浴1次,88,16
元泰SPA,鄞州区,鄞州区,4.4,单人足浴1次,70,13
芳丁养生会馆,鄞州区,利时百货,4.1,古典足道,68,12
BBC 美胸汇俱乐部（南部商务区店）,鄞州区,南部商务区,3.8,单人艾灸调理1次,68,12
蓝灵儿养生会所,鄞州区,鄞州区,5.0,单人精油开背1次,168,13
圣颜世家*素肌修颜,鄞州区,联盛广场,4.6,单人痘肌护理套餐,9.9,11
蓝灵儿养生会所,鄞州区,印象城,4.5,单人精油开背1次,168,13
蓝灵儿养生馆,鄞州区,舟宿渡,4.8,单人精油开背1次,168,13
理想休闲会所,鄞州区,联盛广场,4.3,单人高端养生spa,398,11
中健慧和健康管家,鄞州区,鄞州区,4.1,单人腰/腿调理（送艾灸+药熏）,228,8
汉方医中医养生馆,鄞州区,鄞州区,4.0,单人五行五脏灸特价套餐（背部+穴位灸）一次,98,8
经点盲人按摩,鄞州区,联丰路沿线,4.4,专业足道,75,7
高氏推拿,鄞州区,鄞州区,4.0,单人推拿 一次,65,7
蒙泽堂颈肩腰腿养护馆（鄞州店）,鄞州区,利时百货,3.5,单人颈肩腰腿养护套餐,118,5
御足堂经络养生会馆,鄞州区,鄞州区,4.6,单人舒心芳香SPA,228,5
聚美足浴,鄞州区,利时百货,3.5,拔罐,28,0
梦之缘足浴,鄞州区,鄞州区,3.5,单人足浴套餐,128,0
鼎轩足浴,鄞州区,鄞州区,3.4,尊享一式养生套餐,88,0
颐尊水疗（万达索菲特店）,鄞州区,鄞州万达广场,4.2,单人美容美体套餐1次,880,0
花芊指spa,江北区,江北区,4.3,单人精品足浴,88,2
世龙世家手足健康护理连锁（北仑区东河路店）,北仑区,北仑行政中心,4.6,泡脚足浴+修脚护理单人套餐,9.9,26971
泊琻庭足浴会所,北仑区,北仑区,5.0,单人心悦足浴1次,108,20224
沐雨湾足浴会所,北仑区,曼哈顿广场,5.0,单人洗浴套餐,28,12928
玫瑰缘,北仑区,宝山路,5.0,单人套餐2选1,75,11404
煌龙足道,北仑区,曼哈顿广场,5.0,标准单人足浴1次,78,10269
红韵轩足浴,北仑区,邮电大楼,5.0,单人经典足浴,59,6439
碧塔海养生会馆,北仑区,高潮村,5.0,单人精油开背套餐1份,178,5893
益元堂（富邦店）,北仑区,富邦广场,5.0,单人益元足疗套餐,130,2752
足域地带（北仑店）,北仑区,嵩山路,3.6,单人特色足浴套餐,90,1615
金玉堂足浴,北仑区,北仑行政中心,5.0,单人金玉满堂足疗1次,128,1278
御品轩足浴,北仑区,宝山路,5.0,单人御品足浴套餐,75,914
弘一堂推拿馆,北仑区,邮电大楼,5.0,正骨推拿,88,776
欧芝尚,北仑区,嵩山路,5.0,单人精品足道套餐,98,622
足彩人生大浴场,北仑区,嵩山路,4.9,单人洗浴足疗套餐A,106,494
尊御堂足浴（四明山路店）,北仑区,绍成小学商圈,5.0,单人足浴1次,58,465
太乙推拿,北仑区,高潮村,4.8,单人推拿+拔罐或刮痧2选1套餐,80,391
乾宫会所spa足疗,北仑区,曼哈顿广场,5.0,单人SPA套餐,358,304
红香阁足浴休闲会所,北仑区,邮电大楼,4.6,单人泰式按摩+精油开背1次,128,230
印度油疗（北仑店）,北仑区,高潮村,4.5,单人印巴神怡1次,278,226
印度油疗（阿育吠陀·梵醫館）,北仑区,嵩山路,3.8,单人（印度）天竺奇迹套餐,418,172
火华足浴,余姚市,新建北路,4.9,单人火华足浴套餐,78,9413
风雅足浴休闲会所,余姚市,泗门,4.5,单人足浴套餐,70,3872
九易堂古典足道（中山北路店）,余姚市,余姚,5.0,单人足浴1次,95,2766
碧爽足浴（文山路店）,余姚市,文山路,5.0,单人碧爽足浴一次,99,2174
康健华推拿,余姚市,胜山路,5.0,单人推拿套餐,64.9,1349
康兴刮痧艾灸理疗馆,余姚市,泗门,5.0,单人刮痧/拔罐/推拿/头疗（任选2项）套餐,88,337
通用足浴养生馆,余姚市,新建北路,5.0,单人按摩套餐,159,99
余姚市小王推拿店,余姚市,余姚,4.7,单人全身推拿1次,68,45
金海足浴养生会所,余姚市,余姚,3.8,单人经典足浴套餐,78,22
刘氏推拿,余姚市,富达广场,5.0,单人刮痧加拔罐,68,12
紫尊格足浴（1店）,慈溪市,古塘街道,5.0,单人足浴套餐,70,38422
七重天足道（孙塘北路店）,慈溪市,古塘街道,5.0,单人足浴1次,89,31735
七重天足道（孙塘南路店）,慈溪市,孙塘街道,5.0,单人保健足疗1次,90,25801
巴渝风足道,慈溪市,观海卫,5.0,巴渝风单人足浴1次,68,25568
脉动足道会所,慈溪市,上林坊,5.0,单人养生足道套餐,68,24428
清海足道会所,慈溪市,宗汉街道,5.0,单人足浴1次,76,18836
紫尊格足浴（2店）,慈溪市,古塘街道,5.0,单人足浴套餐,59,15392
碧塔海养生会馆（新城大道店）,慈溪市,新城大道,5.0,单人全天时间段精油开背养生SPA套餐,198,8342
碧塔海养生会馆,慈溪市,孙塘街道,5.0,单人全天时间段精油开背养生SPA套餐,198,8342
四季汇,慈溪市,慈溪,5.0,单人精品养生,188,7492
尚足阁,慈溪市,杭州湾新区,5.0,单人足道1次,98,6615
千之怡足浴会所,慈溪市,古塘街道,5.0,千之怡足浴会所足浴双人行套餐,169,6330
罗马假日足浴养生会所,慈溪市,浒山街道,5.0,单人保健养生SPA1次,178,5048
昀城足道馆,慈溪市,孙塘街道,5.0,单人足疗1次,70,4883
洛阳刘氏推拿,慈溪市,孙塘街道,5.0,单人刘氏推拿1次,59,2937
新水沐年华,慈溪市,宗汉街道,5.0,单人足浴1次,79.99,2148
