商家,区域,商圈,星级,服务,价格,销量
赛江南（芳草街店）,武侯区,玉林/芳草街,5.0,步步高单人浴足,99,38639
赛江南（龙腾中路店）,武侯区,龙腾路,5.0,步步高单人浴足,99,38639
赛江南（浆洗街店）,武侯区,耍都,5.0,步步高单人浴足,99,38639
赛江南（双楠店）,武侯区,外双楠,5.0,步步高单人浴足,99,38639
世龙世家手足健康连锁（武侯区双楠店）,武侯区,大石路,5.0,泡脚足浴+修脚护理单人套餐,9.9,26970
世龙世家手足健康连锁（簇桥镇龙井西街店）,武侯区,簇桥,4.6,泡脚足浴+修脚护理单人套餐,9.9,26970
静逸堂功夫肩颈（簇桥金履店）,武侯区,簇桥,5.0,单人功夫肩颈一次,88,17002
静逸堂功夫肩颈（中华名园店）,武侯区,外双楠,5.0,单人功夫肩颈一次,88,17002
静逸堂功夫肩颈（燃灯寺北街店）,武侯区,大石路,4.1,单人功夫肩颈一次,88,17002
序颜·功夫肩颈,武侯区,簇桥,4.0,单人功夫肩颈一次,88,17002
静逸堂功夫肩颈（西城丽雅店）,武侯区,机投,3.0,单人功夫肩颈一次,88,17002
静逸堂功夫肩颈（合一天使人间）,武侯区,武侯区,3.5,单人功夫肩颈一次,88,17002
静逸堂功夫肩颈丽都会所,武侯区,高棚大道,3.5,单人功夫肩颈一次,88,17002
静逸堂功夫肩颈（亚太广场）,武侯区,科华北路,3.5,单人功夫肩颈一次,88,17002
静逸堂功夫肩颈（董家湾北街店）,武侯区,红牌楼,3.5,单人功夫肩颈一次,88,17002
静逸堂功夫肩颈体验馆（养怡阁芳草街店）,武侯区,玉林/芳草街,4.1,单人功夫肩颈一次,88,17002
静逸堂功夫肩颈（竞秀美店）,武侯区,火车南站,4.2,单人功夫肩颈一次,88,17002
静逸堂功夫肩颈（维米斯）,武侯区,伊藤/世豪广场,4.1,单人功夫肩颈一次,88,17002
静逸堂功夫肩颈（悦尔美容店）,武侯区,伊藤/世豪广场,5.0,单人功夫肩颈一次,88,17002
静逸堂功夫肩颈（天香星语店）,武侯区,五大花园,4.4,单人功夫肩颈一次,88,17002
静逸堂功夫肩颈体验馆（皇仕名媛金雁路店）,武侯区,五大花园,4.7,单人功夫肩颈一次,88,17002
静逸堂功夫肩颈（皇仕名媛）,武侯区,龙腾路,4.8,单人功夫肩颈一次,88,17002
静逸堂功夫肩颈（武侯区安娜店）,武侯区,武侯区,4.3,单人功夫肩颈一次,88,17002
谷中百合（武侯逸都路店）,武侯区,外双楠,3.5,单人功夫肩颈一次,88,17002
静逸堂功夫肩颈（靓丽坊店）,武侯区,科华路王府井,4.0,单人功夫肩颈一次,88,17002
静逸堂功夫肩颈（郭家桥北街店）,武侯区,磨子桥,3.5,单人功夫肩颈一次,88,17002
常乐足道（大悦城店）,武侯区,外双楠,5.0,常规调养60分钟套餐,119,16145
常乐足道（金楠天街店）,武侯区,龙湖金楠天街,5.0,常规调养60分钟套餐,119,16145
常乐足道（苏宁广场店）,武侯区,火车南站,5.0,常规调养60分钟套餐,119,16145
常乐足道（in99银泰中心店）,武侯区,武侯区,4.0,常规调养60分钟套餐,119,16145
常乐足道（来福士店）,武侯区,省体育馆,5.0,常规调养60分钟套餐,119,16145
常乐足道（世豪店）,武侯区,伊藤/世豪广场,5.0,常规调养60分钟套餐,119,16145
常乐足道（天府凯德店）,武侯区,火车南站,5.0,常规调养60分钟套餐,119,16145
常乐足道（银泰城店）,武侯区,银泰城,5.0,常规调养60分钟套餐,119,16145
常乐足道（航空路店）,武侯区,航空路,5.0,常规调养60分钟套餐,119,16145
常乐足道（奥克斯店）,武侯区,武侯区,5.0,常规调养60分钟套餐,119,16145
常乐足道（红牌楼店）,武侯区,红牌楼,5.0,常规调养60分钟套餐,119,16145
金足印象3D影院式浴足（玉林店）,武侯区,玉林/芳草街,5.0,足下生辉单人套餐,89.9,15459
金足印象3D影院式浴足（双楠店）,武侯区,外双楠,5.0,足下生辉单人套餐,89.9,15459
沐林泉3D影院式足艺养生会馆,武侯区,科华路王府井,5.0,单人贵宾浴足,108,12276
梦回南国,武侯区,红瓦寺,5.0,单人南国踏浪1次,78,10164
蓉城阳光推拿馆（广福桥正街店）,武侯区,高升桥,5.0,单人全身寻经推拿,52,6094
