商家,区域,商圈,星级,服务,价格,销量
新纪元大酒店康体工坊,五华区,南屏片区,4.2,新纪元大酒店康体工坊足部护理1次 东风西路,68,1097
唯美诗特SPA会馆,五华区,丰宁小区,4.1,单人中式精油套餐,79,813
久泰足道,五华区,高新区,5.0,单人养生足疗,48,556
大栖地足疗,五华区,小西门,5.0,单人经典足疗,88,457
足生缘,五华区,和谐世纪,5.0,单人姜汁足疗,59,427
王府浴足,五华区,南屏片区,5.0,单人大厅王府足道,98,415
纪美足浴,五华区,五华区,5.0,足疗+全身按摩,78,395
足御天下,五华区,北教场,5.0,全息足御,158,376
愿景富足,五华区,小西门,5.0,富足特价沐足（白天场）,59.9,330
兄弟盲人推拿会所,五华区,五华区,5.0,局部推拿,30,313
新甲专业修脚（灰指甲康复基地）,五华区,圆通山,5.0,新甲单人专业修脚套餐,40,281
醒椎颈腰椎推拿5S养护（美璟新城店）,五华区,美璟新城,5.0,醒椎推拿体验,58,277
重庆富侨保健（富侨足道）,五华区,黄土坡,4.5,单人富贵足浴,88,252
君享浴足,五华区,月牙潭,5.0,单人全身按摩+足底+姜敷,108,240
量颜美容养生会所,五华区,南屏片区,5.0,御尚足疗,68,215
善古经络调养机构,五华区,五华区,4.8,单人颈肩调理,118,176
81度盲人推拿足浴养生会馆,五华区,北教场,5.0,单人全身按摩套餐,49,161
甲博士灰指甲（白云路店）,五华区,五华区,4.1,单人修脚甲床护理套餐,9.9,149
梦馨纳米汗蒸养生馆,五华区,高新区,5.0,单人汗蒸＋艾灸,38,0
领御富侨,盘龙区,滨江俊园,5.0,单人VIP足疗套餐,124,25393
大印足（北京路会馆）,盘龙区,金江小区,5.0,古典御方热疗一位,128,18298
阳光足浴,盘龙区,凤凰新村,5.0,单人阳光全息足道1次,115,12747
徐氏推拿（人民东路店）,盘龙区,盘龙区,5.0,徐氏推拿单人足疗套餐,75,6664
泉隆足疗客栈,盘龙区,云锡花园,5.0,泉隆单人足浴,108,5653
手道堂养生馆（云南映象店）,盘龙区,云南印象,5.0,单人手道堂全息经络刮痧（肩颈）,98,4047
手道堂养生馆（北辰财富中心店）,盘龙区,北辰财富中心,5.0,单人手道堂全息经络刮痧（肩颈）,98,4047
手道堂养生馆（金星店）,盘龙区,金星小区,5.0,单人手道堂全息经络刮痧（肩颈）,98,4047
手道堂养生馆（滨江俊园店）,盘龙区,滨江俊园,5.0,单人手道堂全息经络刮痧（肩颈）,98,4047
手道堂养生馆（星雅俊园店）,盘龙区,凤凰新村,5.0,单人手道堂全息经络刮痧（肩颈）,98,4047
手道堂养生馆（佳园小区店）,盘龙区,白龙新区,5.0,单人手道堂全息经络刮痧（肩颈）,98,4047
手道堂养生馆（金实店）,盘龙区,金实小区,5.0,单人手道堂全息经络刮痧（肩颈）,98,4047
圣爱中医养生中心（摩玛店）,盘龙区,桃源广场,5.0,圣爱肩颈调理 60分钟,68,4033
圣爱中医养生中心（北市店）,盘龙区,金江小区,5.0,圣爱肩颈调理 60分钟,68,4033
东翰足疗养生会所（北京路好世界店）,盘龙区,江东花城,5.0,单人养生足疗,108,3883
皇廷足步天下足道养生会所,盘龙区,滨江俊园,5.0,单人足浴1次,98,3414
贵足道金海湾足疗城,盘龙区,北辰财富中心,4.8,单人贵宾足浴（白天场）,99,3128
云天足疗（滨江店）,盘龙区,滨江俊园,4.8,单人足疗套餐,78,3062
富侨足道养生会所,盘龙区,盘龙区,4.9,单人VIP足疗,128,2757
本草记（凤凰新村店）,盘龙区,凤凰新村,5.0,单人汉方姜王益坤足疗,89,2546
韩都汗蒸养生馆（金江店）,盘龙区,金江小区,5.0,韩都养生汗蒸+精油开背 建议1人使用,99,50
伊莉莎养生馆,盘龙区,同德昆明广场,5.0,单人肩周调理一次（加拔罐）,88,49
尚品足道养生SPA,盘龙区,盘龙区,5.0,基础spa,239,49
迦南SPA,盘龙区,滨江俊园,5.0,单人经典油压SPA＋淋浴,228,36
魅之指专业女子SPA,盘龙区,欣都龙城,5.0,单人全身十四经络套餐,98,33
康源堂盲人推拿（映象店）,盘龙区,云南印象,5.0,全身保健推拿,50,35
御玺堂养生会所,盘龙区,滨江俊园,4.0,单人肩颈护理／推拿,78,31
沁月养生spa,盘龙区,世博园,4.9,单人沁月SPA,288,31
菡拉格养生馆,盘龙区,同德昆明广场,5.0,艾灸拔罐/刮痧二选一,9.9,30
摩卡养生,盘龙区,同德昆明广场,5.0,单人摩卡专属SPA＋淋浴＋泡澡,398,29
雪曼莉莎纤体SPA养生馆（金色家园店）,盘龙区,北辰财富中心,5.0,单人全身瘦身套餐3次体验,98,24
沐足养护调理中心,盘龙区,桃源广场,5.0,单人拔罐、刮痧二选一,19.9,23
曦春堂,盘龙区,新迎小区,5.0,全息自体还原养护,69.9,23
韩式纳米汗蒸（同德店）,盘龙区,同德昆明广场,5.0,精油推背,68,23
汗蒸社区生活馆（康悦店）,盘龙区,白龙寺,4.6,单人面部排螨,28,23
宏旺健康管理中心,盘龙区,江东花城,4.5,背部走罐+温经散寒艾灸/祛湿散寒罐,54,21
利丰休闲足浴,盘龙区,金泉小区,4.0,单人养生足浴,48,18
仙莉莎养生馆（金江云苑店）,盘龙区,金江小区,4.7,单人背部调理＋拔罐,49.9,16
久黎盲人按摩所,盘龙区,金江小区,5.0,小儿推拿,48,16
千寻墨问禅意温泉SPA,盘龙区,世博园,4.0,纯植物芳香SPA,480,12
阿弥塔瓦,盘龙区,金江小区,4.6,单人精油开背套餐,68,7
心手合一推拿,盘龙区,江东花城,4.0,单人足疗,60,6
蒸灸健康管理,盘龙区,金江小区,3.9,面部美容泥精致护理 建议1人使用,68,6
明凡汗蒸足道养生馆,盘龙区,金星小区,4.8,养生足疗单人套餐（白天场）,68,4
永生盲人按摩,盘龙区,新迎小区,4.5,单人推油,110,3
汇享汗蒸美容减肥养生馆（实力北岸店）,盘龙区,同德昆明广场,4.8,单人汗蒸+肩颈护理+脑部减压,68,1
小哈尼足疗,西山区,西山区,4.8,单人养生足疗,49,1176
美康足浴,西山区,广福中华美食城,5.0,单人美康足浴,68,1049
葆康盲人按摩（西山区店）,西山区,云纺,5.0,全身推拿/足疗套餐,69,1015
禄达足浴,西山区,西山区,4.6,单人皇式足浴 （全天）,108,554
甲福专业修脚坊,西山区,金马碧鸡坊片区,5.0,肩颈按摩+足疗+修脚,32,454
长青足疗养生馆,西山区,西山区,5.0,单人长青养生足疗,88,398
老干温泉,西山区,西山区,3.8,老干温泉洗浴+桑拿,18,296
迦南足疗会所,西山区,西山区,3.6,单人四季养生足疗一次白天场,68,256
善宁堂经络养生,西山区,西山区,5.0,单人肩颈疏通,49,199
皇鼎雅尚spa,西山区,大观楼,5.0,健康养生足疗单人套餐,138,196
纳澜泰-spa(爱琴海购物公园店),西山区,红星爱琴海购物公园,4.9,纳澜SPA含泡浴,238,174
甲博士灰指甲（西山区店）,西山区,西山区政府,4.3,单人修脚甲床护理套餐,9.9,149
甲博士灰指甲（滇池店）,西山区,南亚第一城,4.1,单人修脚甲床护理套餐,9.9,149
爱仁发宝社区养生连锁（盛高分店）,西山区,西山区,4.1,单人刮痧／艾灸／拔罐（3选1）,29.9,143
爱仁发宝养生会所（中央丽城总店）,西山区,西山区,4.4,单人刮痧／艾灸／拔罐（3选1）,29.9,143
爱仁发宝社区养生连锁（湖畔之梦店）,西山区,西山区,4.7,单人刮痧／艾灸／拔罐（3选1）,29.9,143
爱仁发宝养生会所（南亚店）,西山区,南亚第一城,5.0,单人刮痧／艾灸／拔罐（3选1）,29.9,143
木梓生命之旅抗衰老健康管理中心,西山区,公园1903,5.0,12经络气血通,398,105
汗蒸社区生活馆（艾丽缘店）,西山区,西山区,4.5,汗蒸+单人自助艾灸,98,0
大桶水足疗（世纪城店）,官渡区,世纪城,5.0,快乐足道心满意足单人套餐,138,26267
大印足（世纪城会馆）,官渡区,世纪城,5.0,古典御方热疗一位,128,18298
大脚板养生足道,官渡区,关上,5.0,贵宾养生足浴1次,88,16628
玉足堂足浴城,官渡区,世纪城,5.0,单人康乐足道套餐,132,11357
大唐足道（关上店）,官渡区,关上,5.0,单人影院式专业养生足疗,79.9,9389
重庆富侨足疗总店,官渡区,关上,4.8,单人足浴套餐,95,9126
东翰足疗养生会所（新亚洲体育城店）,官渡区,新亚洲体育城,5.0,单人养生足疗套餐,108,8149
御都足疗,官渡区,新亚洲体育城,5.0,若石健康法,106,6993
徐氏推拿（金源购物中心店）,官渡区,世纪城,5.0,徐氏推拿单人足疗套餐,75,6664
翡翠时光水疗足疗会所,官渡区,昆明站,4.6,单人净桑1次,68,6005
熏满浴足（华洋店）,官渡区,官渡区,5.0,足疗按摩,98,5630
熏满浴足（永丰园店）,官渡区,高原明珠,4.8,足疗按摩,98,5630
熏满浴足（珥季路店）,官渡区,官渡区,4.9,足疗按摩,98,5630
熏满浴足（金源店）,官渡区,官渡区,4.5,足疗按摩,98,5630
道弘养生馆,官渡区,新螺蛳湾,5.0,单人太师足道,88,5551
爱尚至尊足浴店,官渡区,官南大道,4.8,单人清逸仙子,238,5515
爱尚汇足疗SPA会所,官渡区,官南大道,5.0,单人清逸仙子,238,5515
何日君足疗（昆明站店）,官渡区,昆明站,4.9,何日君单人足疗,100,4892
重庆富侨昆明养生会所,官渡区,官渡区,5.0,单人富侨足疗套餐,98,4775
品尚休闲足浴,官渡区,经开区,5.0,阳光足浴（新）,88,4252
骐源养身会所（骐源养身会所）,官渡区,官南大道,4.4,神奇腚部提升套餐,399,180
