商家,区域,商圈,星级,服务,价格,销量
姗娜娜足浴（文一西路店）,西湖区,文一路沿线,5.0,单人经典足浴套餐（赠送汗蒸+洗浴）,79.9,27741
静逸堂功夫肩颈（灯彩街店）,西湖区,三墩镇,4.6,单人功夫肩颈一次,88,17002
儒之堂足道理疗会所（转塘店）,西湖区,美院象山,5.0,单人足浴套餐,145,16285
旭康盲人推拿按摩（竞舟路店）,西湖区,文三路沿线,5.0,单人推拿按摩 足疗保健二选一 手法专业、尊贵享受,73.9,12648
良子足浴（百合花店）,西湖区,西湖区,4.9,单人精油足底按摩套餐,98,9712
良子足浴（文华店）,西湖区,文二路沿线,5.0,单人精油足底按摩套餐,98,9712
海纳百川-知足中医养生馆,西湖区,教工路/学院路,5.0,知足养生足疗单人套餐,128,9663
太乙盲人推拿按摩（蒋村花园店）,西湖区,文二路沿线,5.0,单人全身专业经络保健推拿,69.8,9121
太乙盲人推拿按摩（西溪花园店）,西湖区,文二路沿线,5.0,单人全身专业经络保健推拿,69.8,9121
太乙盲人推拿按摩（西溪华府店）,西湖区,文一路沿线,5.0,单人全身专业经络保健推拿,69.8,9121
太乙盲人推拿按摩（星洲花园店）,西湖区,古墩路沿线,5.0,单人全身专业经络保健推拿,69.8,9121
御轩堂足道休闲会所,西湖区,教工路/学院路,5.0,单人御轩足疗,128,8008
大足神农（求是店）,西湖区,西湖北线/黄龙,5.0,单人神农专业足道（80分钟）,139,7468
大足神农（恒励店）,西湖区,西湖北线/黄龙,5.0,单人神农专业足道（80分钟）,139,7468
贵足世家足道养生专家（文三店）,西湖区,文三路沿线,5.0,“四维”足疗单人套餐,139,6768
足本纪（杭州旗舰店）,西湖区,文三路沿线,5.0,单人养生一式体验套餐,149,6665
芬芳四季养生会所（教工店）,西湖区,教工路/学院路,5.0,原生态足浴单人套餐,108,6458
丽晶足浴（文一西路店）,西湖区,文一路沿线,5.0,单人足浴3选1＋足底走罐,69,5870
丽晶足道（西溪分店）,西湖区,龙井,4.7,单人足浴3选1＋足底走罐,69,5870
姚氏按摩（文二西路店）,西湖区,文二路沿线,3.9,单人专业脊柱调理套餐,60,5403
超逸足吧,西湖区,古墩路沿线,5.0,超逸单人养生足疗,99,1081
崇本堂（三墩店）,西湖区,西湖区,4.5,单人颈肩腰腿推拿套餐,88,1062
立松盲人推拿（保俶店）,西湖区,西湖北线/黄龙,5.0,单人盲人推拿+拔罐+温灸套餐,105,982
沐忆养生SPA（Moe SPA）,西湖区,文三路沿线,4.2,单人沐●SPA一次,269,915
足居堂足道馆,西湖区,文一路沿线,5.0,单人足居堂足疗套餐,78,777
俞帝足浴馆,西湖区,文三路沿线,5.0,单人原生态足疗,98,761
泰国Health Land SPA·海诗兰,西湖区,文二路沿线,5.0,单人泰式芳香精油SPA护理90分钟,298,665
脊立健康（西溪诚品店）,西湖区,文一路沿线,5.0,单人肩颈疏通调理,99,610
脊立健康（高技街店）,西湖区,文一路沿线,5.0,单人肩颈疏通调理,99,610
和源汇假日养生（西溪天堂店）,西湖区,西溪,5.0,和源汇经络养足单人套餐,198,529
方易足浴棋牌（西溪店）,西湖区,文一路沿线,5.0,方易经典足浴,138,531
源木堂足道馆,西湖区,西湖区,5.0,单人鲜榨老姜套餐,138,471
西湖壹鼎国际SPA会所（益乐店）,西湖区,文二路沿线,5.0,单人精油SPA套餐,228,437
一指禅盲人推拿按摩（城西银泰店）,西湖区,古墩路沿线,5.0,单人草本泡脚1次,86,389
沁尚SPA养身会所,西湖区,古墩路沿线,5.0,单人凌丽养生套餐1次,368,392
水淄缘养生会所,西湖区,美院象山,5.0,尊享豪华SPA套餐,428,326
上古天真堂经络推拿,西湖区,西湖区,5.0,古法肩颈腰背经络推拿,88,322
善水之语●健康生活馆,西湖区,文三路沿线,5.0,单人经络按摩+头部疏经套餐,109,325
和轩沐之馆,西湖区,小和山,5.0,单人原生态沐足一次（80分钟）,118,318
天滋兰养生spa,西湖区,文一路沿线,5.0,单人尊享养生spa,358,318
良子足浴（浙江宾馆店）,西湖区,杨公堤,4.4,单人足部精油护理套餐,98,307
花港海航酒店足浴,西湖区,杨公堤,3.9,单人足部精油护理套餐,98,307
六通宾馆足浴馆,西湖区,杨公堤,3.5,单人足部精油护理套餐,98,307
良子足浴（教工路店）,西湖区,西湖北线/黄龙,3.8,单人足疗套餐,88,306
天音阁足浴,西湖区,文一路沿线,5.0,单人养生SPA,348,300
豪园唐轩（黄龙店）,西湖区,西湖北线/黄龙,5.0,单人香薰足疗套餐,168,288
御鼎轩足浴SPA养生,西湖区,文二路沿线,5.0,单人芳香SPA,368,268
曼林养生会所,西湖区,古墩路沿线,5.0,单人精致SPA套餐,368,256
千兰足浴,西湖区,古墩路沿线,5.0,养生套餐,358,235
轩逸养生馆,西湖区,古墩路沿线,4.4,单人舒缓精油SPA套餐,198,226
身心源盲人推拿（天目山路丽晶店）,西湖区,西湖北线/黄龙,4.6,单人中式推拿（全身推拿）1份,70,226
康贵足咖（三墩店）,西湖区,三墩镇,4.9,单人专业足道套餐,108,216
豪园唐轩（益乐店）,西湖区,文二路沿线,4.8,单人唐轩四玄足浴,145,210
灸久堂艾灸养生馆（文二西路店）,西湖区,古墩路沿线,4.5,单人益气安神灸(100分钟),288,198
从正堂健康理疗连锁,西湖区,三墩镇,5.0,单人中式推拿＋热敷1次,70,194
