商家,区域,商圈,星级,服务,价格,销量
大唐沐足（光谷广场店）,洪山区,光谷/鲁巷,5.0,大唐初级沐足,69.9,63270
大唐沐足（关山店）,洪山区,光谷/鲁巷,5.0,大唐初级沐足,69.9,63270
大唐沐足（卓刀泉店）,洪山区,石碑岭/街道口,5.0,大唐初级沐足,69.9,63270
大唐沐足（卓豹店）,洪山区,虎泉/关西,5.0,大唐初级沐足,69.9,63270
世龙世家手足健康连锁（友谊大道店）,洪山区,洪山区,3.5,泡脚足浴+修脚护理单人套餐,9.9,26970
竹道养生馆（光谷店）,洪山区,光谷/鲁巷,5.0,单人健康推拿/70分钟宫廷足浴,99.9,23496
大唐沐足（石牌岭店）,洪山区,石碑岭/街道口,5.0,单人高级沐足套餐1次,89.9,15122
臻品足道（杨家湾店）,洪山区,虎泉/关西,5.0,单人臻品足浴套餐,119.9,13236
凤玺足浴·泰来摩指SPA养生（钢都友谊大道店）,洪山区,洪山区,4.8,单人婉式静心SPA养生套餐,288,13083
凤熙阳光港派足浴指压SPA（光谷店）,洪山区,光谷/鲁巷,5.0,单人婉式静心SPA养生套餐,288,13083
臻品足道（光谷天地店）,洪山区,光谷天地,5.0,单人臻品足疗套餐,119.9,9769
重庆富侨（南湖店）,洪山区,南湖花园,4.7,单人休闲足疗套餐,75,8674
征舒服盲人按摩（光谷旗舰店）,洪山区,光谷/鲁巷,5.0,单人盲人推拿套餐,64.9,8295
征舒服盲人按摩（光谷创业街店）,洪山区,光谷/鲁巷,5.0,单人盲人推拿套餐,64.9,8295
征舒服盲人按摩（关山总店）,洪山区,光谷/鲁巷,4.5,单人盲人推拿套餐,64.9,8295
征舒服盲人按摩（阳光在线店）,洪山区,光谷/鲁巷,4.8,单人盲人推拿套餐,64.9,8295
征舒服盲人按摩（恒安路店）,洪山区,南湖花园,5.0,单人盲人推拿套餐,64.9,8295
征舒服盲人按摩（南湖店）,洪山区,南湖花园,5.0,单人盲人推拿套餐,64.9,8295
