商家,区域,商圈,星级,服务,价格,销量
世龙世家手足健康护理连锁（和平区河北街店）,和平区,沙山,3.5,泡脚足浴+修脚护理单人套餐,9.9,26971
朋朋修脚（三经街店）,和平区,南市/马路湾,4.1,单人足部护理套餐,33.9,15634
朋朋修脚（文化路店）,和平区,五里河/南湖公园,5.0,单人足部护理套餐,33.9,15634
朋朋修脚（南五旗舰店）,和平区,和平区,4.6,单人足部护理套餐,33.9,15634
朋朋修脚（热闹路店）,和平区,彩电塔,4.6,单人足部护理套餐,33.9,15634
朋朋修脚（中山广场店）,和平区,中山广场,5.0,单人足部护理套餐,33.9,15634
朋朋修脚（长白店）,和平区,长白地区,5.0,单人足部护理套餐,33.9,15634
靓亮足疗城（文体路店）,和平区,五里河/南湖公园,5.0,单人天下吴双按摩套餐,119,7880
良子足道（格林店）,和平区,长白地区,5.0,良子足疗套餐,59,6522
千惠足道（三好街店）,和平区,三好街,5.0,单人千惠足道1次,59,6355
大赏足道（长白店）,和平区,长白地区,5.0,单人悦享背部油压套餐,139,5184
良子足道会馆（城中店）,和平区,南市/马路湾,5.0,单人良子足道套餐,65,4063
鸥迪足道（长白店）,和平区,长白地区,5.0,单人经典套餐,119,2929
康道养生馆,和平区,南市/马路湾,5.0,康道单人休闲放松套餐,99,1818
盛京大脚丫（三经街店）,和平区,南市/马路湾,4.6,单人刮痧/拔罐2选1,9.9,1505
盛京大脚丫修脚（和平店）,和平区,新华广场,5.0,单人修脚1次,29,1433
戏龙阁浴足会馆,和平区,南市/马路湾,4.7,洗浴门票+搓澡,40,1130
素问清阁（和平店）,和平区,五里河/南湖公园,5.0,单人颈椎/肩周/腰椎/膝关节调理套餐,68,868
千荷汇养生足道会馆,和平区,彩电塔,5.0,单人加量升级尊享套餐,138,816
毛毛足疗会馆,和平区,南市/马路湾,5.0,保健足疗养生套餐,108,718
水木雅阁盲人按摩（旗舰店）,和平区,长白地区,5.0,单人中式健体,50,702
玉蟾足疗（和平店）,和平区,新华广场,4.8,单人玉蟾艾灸足疗,99,510
原生态足道馆,和平区,西塔/北市场,4.0,单人原生态玉石足道,59,455
王氏颈椎腰椎康复保健,和平区,长白地区,5.0,单人颈部按摩,62,398
聚源堂中医推拿,和平区,新华广场,5.0,五行拔罐,19.9,311
中医推拿工作室（中医推拿）,和平区,三好街,4.5,单人推拿1次,69,306
康福中式推拿室（万达店）,和平区,万达广场,5.0,单人肩颈调理+腰椎调理,59,306
康福中式推拿室（兴隆一百店）,和平区,太原北街,4.4,单人肩颈调理+腰椎调理,59,306
北派修脚健康会所（和平北大街店）,和平区,八一公园,5.0,北派修脚1次,35,209
和美足道养生会馆,和平区,南市/马路湾,5.0,单人和美中套套餐,129,181
良一足道（三好街汇景店）,和平区,五里河/南湖公园,5.0,单人良一足道套餐,49,162
舒心盲人按摩,和平区,新华广场,4.7,单人拔罐+刮痧套餐,29,151
杨氏祖传推拿正骨（杨艺古法推拿馆）,和平区,八一公园,3.7,颈椎调理,39.8,148
杨艺古法推拿馆,和平区,八一公园,5.0,颈椎调理,39.8,148
和静园（文艺路店）,和平区,南市/马路湾,5.0,单人和静足道,109,143
YiNa美容 · 半永久 · 脱毛 · 美甲美睫,和平区,万达广场,5.0,单人拔罐护理/瘦身体验套餐,28,141
鸥迪足道（沈河区示范店）,和平区,彩电塔,5.0,单人鸥迪油压+刮痧／局部护理,189,135
鸥迪足道（和平区三好店）,和平区,三好街,5.0,单人鸥迪油压+刮痧／局部护理,189,135
鸥迪足道（和平区西塔店）,和平区,西塔/北市场,5.0,单人鸥迪油压+刮痧／局部护理,189,135
益博中医馆,和平区,沙山,4.4,单人颈肩调理1次,50,5
可心美甲,和平区,长白地区,4.1,拔罐或刮痧,8.8,3
聚足堂修脚,和平区,南市/马路湾,3.9,单人专业足道1次,34.8,3
沈阳香格里拉大酒店CHI水疗,和平区,彩电塔,4.5,单人水漾润泽面部护理,388,2
鹤朴堂中医推拿养生馆,和平区,长白地区,4.0,单人古法艾灸套餐,88,2
沈阳君悦酒店清水疗中心,和平区,彩电塔,3.6,单人身体护肤套餐,898,2
赵菲美容美体养生会馆,和平区,三好街,4.8,肩颈调理+肩部艾灸,69,1
唐人按摩馆,和平区,南市/马路湾,4.1,单人刮痧+走罐+拔罐1次,50,1
悦宁榕私人spa养生馆,和平区,太原北街,4.6,复原生气SPA套餐,398,0
萱和减肥抗衰会所（五里河店）,和平区,三好街,3.8,五行养生走罐/刮痧拔罐2选1,30,0
朋朋修脚（大南街店）,沈河区,文艺路/文化路,5.0,单人足部护理套餐,33.9,15634
京都足道（大西直营店）,沈河区,奉天街沿线,5.0,单人草本足道,69,5209
鸥迪足道（南塔店）,沈河区,南塔,5.0,单人精品养生全套套餐,179,4544
良の子足道（沈河店）,沈河区,北站/市府,5.0,单人良子足底按摩套餐,59,3394
良之子足道,沈河区,北站/市府,5.0,单人足疗套餐,69,2983
女乔足道会馆,沈河区,文艺路/文化路,5.0,单人养生足疗套餐,69,2942
盛京德医堂（八纬路店）,沈河区,沈河区,5.0,单人刮痧/拔罐2选1,19.9,1895
鸥迪足道（黎明店）,沈河区,小河沿,5.0,单人鸥迪足道套餐,59,1795
垂香楼,沈河区,北站/市府,4.7,单人足疗1次,68,1365
鸥迪足道（保利花园店）,沈河区,文艺路/文化路,5.0,单人鸥迪松肩＋足底＋锤道＋松腿＋松背,59,772
鸥迪足道（北中街店）,沈河区,中街/故宫,5.0,单人鸥迪足道套餐,59,595
绿针堂经络调理,沈河区,十一纬路,5.0,单人颈椎调理,58,585
温凯盲人中医按摩,沈河区,十一纬路,5.0,单人推拿调理颈肩腰套餐,48,578
盛京大脚丫修脚（南塔店）,沈河区,南塔,4.9,单人精油开背+刮痧/拔罐2选1,59,518
地德中式艾灸推拿馆,沈河区,北站/市府,4.4,单人艾灸调理,36,516
足益升修脚足道,沈河区,中街/故宫,4.6,单人脚部护理1次,27.9,459
盛京大脚丫修脚（怀远门店）,沈河区,怀远门,4.8,泡脚+修脚+去死皮+足疗=45分钟,30,416
鸥迪足道（方家栏店）,沈河区,沈河区,5.0,单人洗浴＋红酒搓/苹果醋搓+足道,99,321
水木雅阁盲人按摩（小西店）,沈河区,奉天街沿线,5.0,单人老式全身按摩/老式足疗1次（1小时）,55,301
利群按摩馆,沈河区,北站/市府,4.5,拔罐/刮痧 二选一,9.9,3
莎莎美容养生会馆,沈河区,北站/市府,3.0,单人足疗+背部经络疏通护理+面部护理套餐,58,2
小张盲人按摩,沈河区,长青街,4.2,单人刮痧走罐1次,25,2
十里桃林按摩推拿调理中心（北站店）,沈河区,北站/市府,4.7,单人足道一次,59,0
元一养生（大南店）,沈河区,文艺路/文化路,3.5,单人奇石经络开穴+推拿+祛风除湿包,59,0
盛京大脚丫修脚（铁西乐购店）,铁西区,保工街,5.0,单人刮痧/拔罐二选一,14.9,798
添添福盲人按摩馆,铁西区,艳粉,4.7,单人全身按摩或者足疗+松腿,44.88,668
丰秀佳人,铁西区,云峰街,5.0,背部拔罐,9.9,570
正道健康管理服务中心,铁西区,铁西区,5.0,单人拔罐1次,12.8,558
媛缘堂养生馆,铁西区,北二西路,4.2,单人特价刮痧+拔罐套餐,19,474
盛京大脚丫修脚,铁西区,铁西区,4.5,泡脚+修脚+去死皮+足疗=45分钟,30,416
泰古养生会馆,铁西区,北二西路,5.0,泰古【泡个澡】单人豪华spa套餐,268,332
鸥迪足道（花千树店）,铁西区,重工街,5.0,鸥迪足道,59,321
博趣足道,铁西区,北二西路,5.0,单人足道＋刮痧／拔罐2选1套餐,69,315
玉蟾足底保健中心,铁西区,滑翔小区,5.0,单人经典足疗,59,303
足益升修脚足道养生馆,铁西区,云峰街,5.0,单人修脚,1,277
坤城盲人按摩（北三路店）,铁西区,北二西路,5.0,单人拔罐套餐,24.8,277
御络源健康调理按摩中心,铁西区,沈辽路万达,4.8,单人颈肩/腰椎体控调理1次,69,268
鸥迪良予足道会馆,铁西区,铁西区,5.0,单人足道+小腿油压,69,235
姚亮盲人按摩,铁西区,重工街,5.0,单人特惠拔罐套餐,10,214
永光盲人按摩,铁西区,艳粉,4.7,单人拔罐,15.9,185
大悦足道spa,铁西区,北二西路,5.0,单人悦享沐足,149,185
足益升修脚足道（云峰街店）,铁西区,云峰北街,5.0,单人修脚足疗套餐任选一,27.9,171
英子修脚店,铁西区,工人文化宫,4.9,精品足部护理套餐,29.9,168
海之湾养生会馆,铁西区,沈阳站西广场,4.9,单人全身植物精油推拿,118,165
足益升修脚足道（贵和街店）,铁西区,星摩尔,5.0,单人修脚,19.9,160
大唐养生足道（旗舰店）,铁西区,沈阳站西广场,5.0,大唐经典,138,164
养神阁按摩院,铁西区,兴工北街,4.8,精油开背+刮痧+拔罐,29.9,124
馨悦美容养生会所（铁西店）,铁西区,云峰街,5.0,单人肩颈拔罐20分钟,9,112
鸥迪足道（铁西店）,铁西区,兴工北街,5.0,单人足道套餐,69,110
袁氏足道,铁西区,铁西广场,4.2,足疗套餐,49.9,108
瑞泰spa养生会馆（北一路万达菩提湾店）,铁西区,北一路万达,4.8,单人全身按摩/全身SPA2选1,398,107
志强盲人按摩连锁机构（小北一路店）,铁西区,铁西区,4.9,单人特色足疗1次,49.9,91
尚手推拿,铁西区,云峰街,4.6,单人拔罐+刮痧一次,49.8,85
美瘦科技艾灸养生馆（启工街店）,铁西区,兴隆大都汇,5.0,单人刮痧,9.9,75
鸿运中医按摩,铁西区,兴隆大都汇,4.6,单人拔罐,9.9,74
鸥迪足道（香江店）,铁西区,铁西区,4.1,单人鸥迪疗敷（90分钟）,148,68
鸥迪足道（金地店）,铁西区,北二西路,4.4,单人鸥迪疗敷（90分钟）,148,68
欧良足道,铁西区,兴工南街,5.0,单人欧良养生足道（60分钟）,69,67
汉御足道,铁西区,云峰北街,4.5,单人超值汉御足道套餐（60分钟）,50,63
鑫德堂足道养生会馆,铁西区,沈辽路万达,5.0,单人经典足疗50分钟,39,63
鑫鑫源足疗会馆,铁西区,沈阳工业大学,4.4,单人养生套餐,109,62
金禄中医按摩经筋推拿工作室,铁西区,铁西区,4.9,单人特色推拿套餐,49,60
致健康按摩养生坊,铁西区,云峰北街,4.9,单人拔罐,9.9,44
中医推拿按摩,铁西区,滑翔小区,5.0,单人局部拔罐/刮痧/走罐3选1,9.9,35
尚林美容养生馆,铁西区,沈辽路万达,4.3,尚林美容养生馆,9.9,36
保工盛京大脚丫修脚,铁西区,保工街,5.0,修脚套餐,30,34
奇手堂按摩,铁西区,铁西广场,5.0,单人拔罐调理,13.9,27
宝岩美容（铁西店）,铁西区,云峰街,5.0,背部三椎/腿部六经/腹部保养 3选2套餐,38,24
中粹养生堂,铁西区,云峰北街,5.0,单人辨证手工艾灸套餐,78,23
春和林美容按摩院,铁西区,兴工南街,4.4,单人局部刮痧+拔罐1次,9.9,23
张氏民间古方排寒,铁西区,铁西区,4.6,单人古方排寒＋颈椎调理＋刮痧＋拔罐,29.9,22
会友轩足道,铁西区,铁西区,4.0,单人会友轩足道（50分钟）,49,22
伊圣源按摩会所,铁西区,铁西区,5.0,单人足道套餐,58,21
久祥盲人按摩,铁西区,铁西区,4.9,单人足疗+全身二选一,69.9,21
康顺盲人按摩院,铁西区,兴工北街,5.0,单人拔罐1次,25,19
恒康盲人推拿,铁西区,兴工南街,5.0,单人全身保健1次,59,18
中平中医门诊部,铁西区,铁西区,3.7,腰背推拿调理+刮痧+火罐,88,16
静雅轩足疗,铁西区,重工街,4.7,【霸道总裁】单人豪华SPA套餐（90分钟）,498,17
富康盲人按摩,铁西区,兴隆大都汇,4.5,单人特惠拔罐,9.9,13
利康原健康养护,铁西区,沈阳工业大学,4.3,单人肩颈调理＋拔罐／腰部调理＋拔罐2选一,48.8,13
福足堂健足会馆（兴顺店）,铁西区,保工街,5.0,【兴顺店专享】福足经典套,89,13
静水轩养生会馆,铁西区,沈辽路万达,4.4,179元精油全身SPA套餐,179,11
壹康盲人按摩,铁西区,沈阳站西广场,4.9,穴位拔罐,15,8
芬芳心荷专业减肥（沈阳分部）,铁西区,云峰街,3.5,芬芳背部经络疏理,19.9,7
益健盲人康复按摩院,铁西区,重工街,5.0,单人足道1小时套餐,40,6
自然之宝养生会所,铁西区,铁西区,3.0,背部指压+头疗一次,29,5
毛一休按摩馆,铁西区,兴隆大都汇,3.5,单人足道+按背,59,5
12壹养生足道会馆,铁西区,云峰街,3.9,精品足道套餐,59,5
婷宣美容经络养生馆,铁西区,工人文化宫,4.7,单人背部推油 1次,39,4
阳光小屋按摩养生馆,铁西区,铁西广场,4.6,单人推拿1次,40,4
Let微美人纹绣工作室（减肥美甲店）,铁西区,保工街,4.6,单人300瘦身法,300,1
福足堂健足会馆,铁西区,重工街,5.0,福足SPA套餐,238,1
馨然美容养生会馆,铁西区,铁西区,3.5,精品护理套餐,68,1
张氏推拿,铁西区,保工街,3.5,单人颈椎+肩部 推拿1次,59,1
123瘦身养生会馆,铁西区,滑翔小区,3.9,158元紫竹刺络药罐,158,0
正康大脚丫修脚堂,铁西区,保工街,3.5,单人修脚套餐,28,0
福音中医,铁西区,北二西路,4.0,单人专业瘦身调理1次,85,0
李心净中医按摩,大东区,东中街,5.0,单人肩颈调理1次,39.9,333
济世盲人按摩院,大东区,大东区,4.7,单人全天中式按摩/足疗/精油开背3选1,59,306
碧玉宫,大东区,东站,4.2,单人洗浴+搓澡+足疗,78,276
龙凤发健康推拿中心,大东区,大东广场,5.0,单人刮痧+拔罐1次,23.5,241
鑫亮足修脚（沈阳总店）,大东区,大东广场,5.0,【专业护足】单人六位一体修脚护足套餐,16.9,235
谢大脚修脚（大华店）,大东区,大东广场,5.0,单人精修＋足疗九位一体尊享套餐,25,211
鸥迪足道（大东区尚品店）,大东区,大东广场,5.0,单人鸥迪足道＋背部油压,119,215
博康天天好中医推拿,大东区,东中街,4.4,单人火罐+刮痧,19.9,177
城中绿洲SPA,大东区,东中街,5.0,单人香薰spa,168,149
鸥迪足道（金地铂悦店）,大东区,东北大马路,5.0,单人鸥迪油压+刮痧／局部护理,189,135
鸥迪足道（大东区新华壹品店）,大东区,东站,5.0,单人鸥迪油压+刮痧／局部护理,189,135
佳美养生会馆,大东区,东中街,5.0,单人颈肩/腰部/腹部调理三选一,39,129
你好漂亮养生馆,大东区,东中街,5.0,单人精油开背套餐,59,120
浩康龙盲人按摩院,大东区,九一八纪念馆,5.0,单人专业全身推拿/足疗+松腿二选一1次,59,114
舒馨盲人按摩院,大东区,大东区,4.4,单人足疗/全身按摩2选1套餐,40,106
悦足堂修脚,大东区,东中街,5.0,单人草本泡脚+修脚+去死皮+足疗,25,91
无极古法养生馆,大东区,大东区,4.8,古法拔罐,9.9,49
福美源足道养生会馆,大东区,东中街,5.0,单人足道品质套餐,59,46
普云五行艾灸堂（大东店）,大东区,吉祥市场,4.7,单人刮痧＋拔罐,39,39
怡心阁足疗按摩养生会所,大东区,东中街,5.0,单人精油推背1次,49,38
江南一号半永久皮肤管理中心,大东区,东中街,5.0,单人轻氧眉,1980,0
润姿风娇美容中心,大东区,东站,4.1,单人高端美体护理套餐,149,0
和气中医康复工作室,大东区,东中街,3.5,砭石鲜姜艾灸（无烟）90分钟,49.9,0
朋朋修脚（北行店）,皇姑区,皇姑区,5.0,单人足部护理套餐,33.9,15634
朋朋修脚（塔湾店）,皇姑区,塔湾,5.0,单人足部护理套餐,33.9,15634
朋朋修脚（鸭绿江街店）,皇姑区,陵东,3.5,单人足部护理套餐,33.9,15634
千水缘养生馆,皇姑区,皇姑区,5.0,单人足道全身保健套餐,69,10853
靓亮足疗城（皇姑店）,皇姑区,北行,5.0,单人天下吴双按摩套餐,119,7880
鸥迪足道（塔湾欣城店）,皇姑区,塔湾,5.0,单人足底按摩+背部油压+头部按摩套餐,149,7750
千叶良子足道（中海店）,皇姑区,塔湾,5.0,单人良予足道套餐,59,7366
千惠足道（陵东店）,皇姑区,北陵,5.0,单人千惠足道1次,55,6530
鸥迪足道（维华大润发店）,皇姑区,小白楼,5.0,单人鸥迪足道套餐,59,4183
江户足道,皇姑区,皇姑区,5.0,单人足道套餐,59,1763
盛京大脚丫修脚（珠江街店）,皇姑区,小白楼,4.8,单人刮痧/拔罐2选1,9.9,1505
亚洲推拿,皇姑区,北行,5.0,单人全身调理,35,1144
鸥迪良子足道会馆（昆山店）,皇姑区,皇姑区,4.8,全套疗敷A/B套餐到店2选1,99,1007
瑞足汇足道养生会馆,皇姑区,北行,5.0,单人足道套餐,59,709
生源足道,皇姑区,鸭绿江街,5.0,单人生源足道全身保养套餐1次,89,675
