商家,区域,商圈,星级,服务,价格,销量
大自然会所（八一酒店内）,丰泽区,美食街,5.0,单人中式推拿/足道2选1,95,33239
悦之道,丰泽区,中骏世界城,5.0,单人经典足道/中式推拿2选1,108,7702
合家欢养生馆（泉州店）,丰泽区,东海大街/师范学院,5.0,中式推拿套系,100,6976
新概念养生会所,丰泽区,泉州客运中心周边,5.0,单人五行经典足疗,119,6023
新天地沐足城,丰泽区,侨乡体育馆/东湖,5.0,单人养生套餐3选1,139,5113
舒芙呦（六灌路店）,丰泽区,六灌路,4.9,单人优指套餐,248,4047
鑫源水疗,丰泽区,永辉/现代家居广场,4.7,单人净桑+自助餐（餐厅重装升级）,78,3516
大自然会所（星光国际店）,丰泽区,星光不夜城及周边,5.0,单人中式推拿/足道,99,3472
皇廷商务酒店舒指天尊会所,丰泽区,泉州客运中心周边,5.0,单人尊品高端指压套餐,398,2918
滨海大酒店167足浴,丰泽区,泉州客运中心周边,5.0,单人推拿60分钟,98,2494
大自然会所（泉秀店）,丰泽区,永辉/现代家居广场,4.9,单人中式推拿/足道2选1,98,2382
老地方健康养生会所,丰泽区,侨乡体育馆/东湖,4.9,单人推拿套餐,88,2282
乐享驿站（泉州店）,丰泽区,侨乡体育馆/东湖,5.0,单人静心1次（周年新客特惠）,169,2150
水之恋spa养生,丰泽区,领SHOW天地,5.0,单人SPA套餐,268,2057
魔指印象港派足浴指压,丰泽区,宝洲路,5.0,单人印象指压(新茶品鉴),138,1966
玫丽仙境（新车站店）,丰泽区,大洋百货周边,5.0,单人按摩1次,398,1959
云璟汇港派足浴指压,丰泽区,永辉/现代家居广场,5.0,单人云璟足浴1次,99,1946
水沐堂养生馆（温陵店）,丰泽区,大洋百货周边,5.0,单人尊享休闲套餐,278,1382
至尊天境休闲会所,丰泽区,丰泽区,4.8,名仕指压单人1次,318,1238
十年中医推拿老店,丰泽区,六灌路,5.0,单人拔罐套餐,15,1158
旺角足浴推拿,丰泽区,六灌路,4.2,单人全身精油按摩,90,17
家人有约理疗,丰泽区,浦西万达广场,4.6,精油开背,169,9
梦之都港派指压（泉秀梦之缘店）,丰泽区,泉州客运中心周边,3.0,单人都市指压套餐,368,6
赵氏盲人推拿店,丰泽区,丰泽区,3.5,单次推拿+拔罐,79.8,2
世新养生馆,鲤城区,鲤城区,5.0,单人健康推拿/宫廷足按姜泥热敷2选1,109,45361
名门养生会所,鲤城区,浮桥,4.9,单人中式推拿/养生足按2选1,105,6788
西湖缘泉水疗（缘泉美食水疗酒店）,鲤城区,西湖公园周边,5.0,单人中式推拿套餐,139,6601
圣淘沙休闲养生会所,鲤城区,浮桥,5.0,单人汉方足浴/中式推拿2选1,88,6176
云顶仙境,鲤城区,涂门街,5.0,单人优指套餐,278,4242
乐享驿站（江南店）,鲤城区,鲤城区,5.0,单人静心spa1次,168,2752
东南半岛酒店足浴,鲤城区,浮桥,4.7,单人足浴/推拿2选1,108,1631
来春足浴城（浮桥店）,鲤城区,浮桥,4.8,单人木桶浴1次,128,1156
来春沐足城（城北店）,鲤城区,西湖公园周边,4.8,单人木桶浴1次,128,1156
泰康经络推拿,鲤城区,九一路/文化宫,5.0,单人拔罐、刮痧、灯疗套餐,39.9,694
妙指天尊（江南店）,鲤城区,浮桥,4.0,单人妙指油推套餐,218,554
嫚城国际养生会所,鲤城区,浮桥,4.8,单人嫚城指压套餐（开业特惠）,138,355
乐享天尊（泉州浮桥店）,鲤城区,浮桥,3.7,单人风婧指压套餐,358,333
王宫足浴城,鲤城区,浮桥,3.9,单人足浴1次,59,235
瑶池养生馆,鲤城区,西街,4.7,单人精品水沐养生套餐,268,214
达康盲人经络穴位按摩中心,鲤城区,涂门街,5.0,单人颈肩、腰腿推拿送拔罐或疏通经络油二选一,78,214
魔纤指尊享会（西湖恒达店）,鲤城区,西湖公园周边,4.7,单人尊品指压套餐,338,198
梦巴黎国际养生会所,鲤城区,鲤城区,5.0,单人舒缓SPA套餐（6月16开业）,128,136
指醉金迷港派指压,鲤城区,西湖公园周边,4.7,单人泡泡浴套餐1次,188,118
玫丽仙境（清濛店）,晋江市,清濛开发区,3.9,单人梦焕指压1次,132,133
康泰推拿,晋江市,阳光广场,4.9,单人全身精油推拿套餐1次,86,102
随叫随到spa养生中心,晋江市,晋江,4.6,单人致尊SPA1次,198,49
随叫随到spa养生中心（晋江阳光店）,晋江市,阳光广场,4.5,单人致尊SPA1次,198,49
金芙蓉休闲会所,晋江市,清濛开发区,3.0,单人悠悠风清套餐,328,33
徐氏盲人推拿,晋江市,泉安中路,3.0,理疗,18,10
苗苗经络养生会所,晋江市,晋江,3.5,单人肩颈护理,68,8
涵美养生馆,晋江市,宝龙城市广场,5.0,单人内在养生负压器,108,3
良子足浴,南安市,南安市区,5.0,单人足疗按摩/保健推拿2选1,80,3187
雲海公馆（水头店）,南安市,南安水头镇,3.7,单人雲海足浴,88,1320
7星官邸港派足浴,南安市,南安市区,4.9,单人凤邸足道1次,158,426
嘉仁公馆养生足浴城,南安市,霞美镇,5.0,单人嘉仁公馆足浴/推拿套餐,88,306
重庆富鑫足浴（南安店）,南安市,南安市区,5.0,单人致尊足浴1次,88,177
渡月养生奢享会（水头店）,南安市,南安水头镇,5.0,单次天韵养生spa套餐,398,119
爽按康足浴推拿,安溪县,北石光德,3.0,泡脚推拿,68,35
