商家,区域,商圈,星级,服务,价格,销量
老大的幸福健康足疗,历下区,千佛山公园,5.0,老大的幸福单人套餐,118,9715
富侨足道（解放路店）,历下区,解放路,5.0,经典足道,108,5149
宏伟推拿中心（诚基中心店）,历下区,解放路,5.0,单人足疗保健套餐,51,5137
扬州好功夫足疗推拿（窑头路店）,历下区,窑头路,4.6,单人经典足疗套餐,49,3381
泰享寿足疗推拿中心（七店）,历下区,高新会展中心,5.0,单人经典足疗套餐,49,3381
明月潇湘足道会所,历下区,高新会展中心,5.0,单人经典足疗套餐,88,3361
锦程纳米汗蒸推拿减肥中心,历下区,高新会展中心,5.0,安然纳米汗蒸（今日特价）,13.8,2659
奥体四季泉城（四季泉城酒店）,历下区,奥体中心,5.0,单人休闲套餐,188,2496
良子（解放东路店）,历下区,解放东路,5.0,单人良子特级头疗套餐,106,2475
良子（文化东路店）,历下区,文化东/西路,5.0,单人良子特级头疗套餐,106,2475
富侨足道（历山路店）,历下区,文化东/西路,5.0,经典足道,108,2153
海木养生（解放路店）,历下区,解放路,5.0,单人海木天然养生（黄金场）,149,2081
海木养生（赛博店）,历下区,解放路,5.0,单人海木天然养生（黄金场）,149,2081
妙手推拿（赛博店）,历下区,解放路,5.0,单人项目5选1,54.9,2051
益民推拿足疗中心,历下区,燕山地区,4.6,单人益民推拿套餐五选一,60,1813
倾城养生馆,历下区,齐鲁软件园,5.0,韩式松骨单人套餐,189,1575
润养斋汗蒸养生,历下区,高新万达广场,5.0,单人汗蒸体验一次,13.8,1470
富侨足道（二环东路店）,历下区,山大南/北路,5.0,单人足疗洗浴套餐,78,1026
康宣堂推拿中心（山师东路店）,历下区,山师东路,5.0,单人足疗养生套餐,73,1007
颐和堂保健中心（棋盘街店）,历下区,文化东/西路,5.0,单人保健套餐3选1,69,910
乐享驿站（世茂店）,历下区,解放路,5.0,单人宫廷足道,138,846
乐勤推拿足疗（高新牛旺分店）,历下区,历下区,5.0,单人全身推拿一小时套餐,49.9,838
妙手推拿（高新店）,历下区,高新会展中心,5.0,单人保健套餐3选2,84.6,752
山东大厦东方益spa华夏良子旗舰店,历下区,玉函银座,5.0,足部全息白天场单人套餐,138,644
高手推拿中心,历下区,历下区,5.0,单人全身推拿一次,59,587
老大的幸福健康足疗（华兴大厦店）,历下区,文化东/西路,5.0,老大的幸福单人套餐,118,589
尚足行天下（浆水泉店）,历下区,燕山地区,5.0,尚通宝单人养生套餐,139,547
医盛堂修脚足疗推拿（泉城路店）,历下区,大明湖,5.0,泡脚修脚单人套餐,21.9,495
医盛堂修脚足疗推拿（甸柳片区文东店）,历下区,文化东/西路,5.0,泡脚修脚单人套餐,21.9,495
博杏霖中医门诊部,历下区,解放路,5.0,杏霖传统推拿+艾灸,60,497
家和堂传统推拿理疗,历下区,窑头路,4.5,单人推拿调理套餐4选1,48.8,481
龙足保健（二环东路店）,历下区,山大南/北路,5.0,单人龙足足道1次,108,466
龙足保健（历山路店）,历下区,山大南/北路,5.0,单人龙足足道1次,108,466
康韵堂康复推拿中心,历下区,高新会展中心,5.0,单人拔罐,9.9,456
平安堂中医推拿（吉祥店）,历下区,解放路,4.1,局部推拿套餐,28,435
平安堂（友谊店）,历下区,窑头路,4.2,局部推拿套餐,28,435
永久健康连锁推拿足疗（一店）,历下区,山师东路,4.9,单人套餐,39,431
永久健康推拿足疗中心（二店）,历下区,解放路,5.0,单人套餐,39,431
灸中灸艾灸养生中心,历下区,燕山地区,4.3,养生套餐,79,360
宏伟推拿中心（和平路店）,历下区,山师东路,4.6,单人推拿/足疗/刮痧拔罐/修脚4选1,56,345
九零推拿,历下区,大明湖,4.9,单人拔罐1次,14.9,342
敏康推拿工作室,历下区,文化东/西路,5.0,单人全身推拿1次,45,313
宏伟推拿中心（解放路总店）,历下区,解放路,5.0,全身推拿+足疗+刮痧拔罐,199,292
泉盈足浴,历下区,大明湖,4.1,单人经典足疗套餐,58,281
颐清堂国际美容养生连锁机构（泉城路店）,历下区,恒隆广场,5.0,单人颐清堂身体调理套餐一次+刮痧/拔罐,38.6,276
合顺堂推拿,历下区,历下区,5.0,全身推拿/足疗,50,251
丁豪经络养生,历下区,历下区,4.8,足疗/推拿 2选1,99,236
老姜盲人推拿,历下区,历下区,5.0,单人推拿套餐,49,229
扬州脚艺,历下区,解放东路,5.0,修脚单人套餐,19.9,230
李氏正骨推拿,历下区,山大南/北路,5.0,单人刮痧/拔罐一次,9.9,214
乐享驿站（燕子山店）,历下区,燕山地区,4.6,宫廷足浴,138,205
国医筋骨堂,历下区,高新会展中心,4.9,单人拔罐刮痧,29.9,206
郑远元专业修脚房（高新区店）,历下区,高新会展中心,5.0,单人经典修脚足疗套餐,28.8,207
郑远元专业修脚房（和平路店）,历下区,解放路,4.4,单人经典修脚足疗套餐,28.8,207
郑远元专业修脚房（窑头路店）,历下区,窑头路,5.0,单人经典修脚足疗套餐,28.8,207
金元堂推拿,历下区,窑头路,4.3,全身推拿套餐,59,190
志山推拿,历下区,趵突泉,5.0,肩颈按摩+足疗套餐,48,179
好足道推拿足疗,历下区,大明湖,5.0,单人全身推拿套餐,49,144
扬州好劲道足疗推拿,历下区,历下区,5.0,中式足疗套餐,69.9,141
真功夫足疗推拿,历下区,佛山街,4.5,单人足疗套餐,50,52
润元推拿,历下区,历下区,5.0,单人经络推拿,49,51
兰桂坊足浴中心,历下区,解放路,4.2,单人尊贵按摩SPA,328,51
圣康盲人推拿保健中心,历下区,解放路,4.2,单人足疗/推拿套餐,50,45
慈艾堂艾灸会所（山师东路店）,历下区,山师东路,5.0,拔罐刮痧任选一,19.9,43
