商家,区域,商圈,星级,服务,价格,销量
香港之春（北京大厦店）,龙华区,国贸大道,5.0,单人港式沐足1次,69.9,62608
香港之春（国贸店）,龙华区,美源商业广场,5.0,单人港式沐足1次,69.9,62608
香港之春（南沙店）,龙华区,南沙路,5.0,单人港式沐足1次,69.9,62608
新天足（世贸店）,龙华区,金贸西路沿线,5.0,单人足疗1次,69.9,61936
新天足（龙华路）,龙华区,龙华区,5.0,单人足疗1次,69.9,61936
富侨足浴,龙华区,京华城,5.0,单人经典足浴1次,88,27883
大文静养生堂（东沙分店）,龙华区,南沙路,5.0,文静养生足疗单人套组一,79,23695
珈和源养生会馆（世贸店）,龙华区,金贸西路沿线,5.0,单人百草足浴一次,79,20613
珈和源养生会馆（国贸店）,龙华区,玉沙路,5.0,单人百草足浴一次,79,20613
安然纳米汗蒸养生馆（悠生海华民声店）,龙华区,海口湾,4.1,单人养生汗蒸1次,26.8,18437
安然纳米汗蒸养生馆（现代花园店）,龙华区,南沙路,4.8,单人养生汗蒸1次,26.8,18437
安然纳米汗蒸养生馆（金海广场店）,龙华区,金龙路,4.8,单人养生汗蒸1次,26.8,18437
安然纳米汗蒸养生馆（滨涯店）,龙华区,金盘,5.0,单人养生汗蒸1次,26.8,18437
安然纳米汗蒸（昌茂时代天骄店）,龙华区,龙昆南路,5.0,单人养生汗蒸1次,26.8,18437
德福专业推拿养生馆（京华城店）,龙华区,京华城,5.0,单人专业正骨推拿1次,68,7009
珈和源养生会馆,龙华区,南沙路,5.0,单人百草足浴1次,80,4459
指尚传奇养生会所（海垦店）,龙华区,金盘,5.0,单人指尚足疗1次,118,3990
世纪缘养生会馆（金宇路店）,龙华区,金宇路,5.0,单人特惠茗品足疗套餐,79,3862
大唐美容养生会馆（解放西精品店）,龙华区,解放西/泰龙城,5.0,单人足疗放松按摩/专业肩颈调理/面部护理/头部拨筋【4选1】,49,3273
家富富侨健康会所（龙昆南旗舰店）,龙华区,龙昆南路,5.0,单人经典御足,108,3169
一指堂河南专业推拿,龙华区,龙华区,5.0,单人推拿刮痧拔罐套餐1份,59.8,2389
精诚专业颈腰椎推拿保健,龙华区,龙华区,5.0,单人专业颈或腰推拿体验1次,68,1985
喜悦温泉水会,龙华区,金山广场,5.0,单人净桑+搓背套餐1份,118,1929
刘氏华艺堂,龙华区,南站/南海大道,5.0,刮痧拔罐艾灸,28,1932
河南人专业推拿（金龙路店）,龙华区,金龙路,5.0,单人全身推拿套餐,68,1848
御都国际（国贸店）,龙华区,国贸大道,4.8,单人御都国际指压（原278指压限时抢购138）,188,1593
足道原理养生会馆,龙华区,金山广场,5.0,单人特惠足疗1次,68,1579
新标榜,龙华区,京华城,5.0,单人爽身背疗1次,108,1179
玉莲池足道养生会所,龙华区,坡博村,4.7,单人情感御指（精品指压）,188,1167
仙指圣堂港派足浴指压（国贸店）,龙华区,金龙路,5.0,单人足健1次,108,1131
郑远元专业修脚房（南沙店）,龙华区,南沙路,5.0,单人经济型修脚套餐,27,1126
郑远元专业修脚房（龙华二横路店）,龙华区,龙华区,3.9,单人经济型修脚套餐,27,1126
指尚传奇养生会所（海秀店）,龙华区,海秀中路,5.0,单人指尚足疗1次,108,1123
金水桶足浴城,龙华区,龙华区,5.0,单人金水桶足疗1次,34.9,1102
珈和源养生会馆（龙华店）,龙华区,龙华区,5.0,单人珈和源定制足疗1次,108,1030
春天宫港派另类指压养生会所,龙华区,海德路,5.0,精品指压,138,916
万国足浴养生会馆,龙华区,万国大都会,4.8,单人精品足疗套餐,78,835
