商家,区域,商圈,星级,服务,价格,销量
御珍堂减肥瘦身养生馆（西美五洲店）,长安区,谈固,3.8,御珍堂经络调理套餐（八选三）,98,490
御珍堂中医针灸减肥（美博城店）,长安区,长安区,4.0,御珍堂经络调理套餐（八选三）,98,490
御珍堂中医养生减肥连锁机构（建华百货店）,长安区,建华百货,3.7,御珍堂经络调理套餐（八选三）,98,490
小高盲人按摩,长安区,长安区,5.0,刮痧拔罐2选1,9.9,462
御生堂中医按摩（槐中路店）,长安区,方北,5.0,姜粉足疗套餐,59.9,451
照慧养生馆,长安区,建华百货,5.0,单人拔罐1次,9.9,318
寇氏专业减肥,长安区,东胜广场,3.5,单人全身健康调理,1,270
寇氏专业减肥（丰收路店）,长安区,长安区,3.8,单人全身健康调理,1,270
中基按摩,长安区,省四院中基礼域,5.0,单人单次肩颈推拿体验卡,9.9,266
富康盲人按摩工作室,长安区,长安区,5.0,全身保健,48,265
永康盲人按摩（建华大街店）,长安区,建华百货,4.8,全身保健,48,265
舒络园按摩足疗养生,长安区,盛世长安,4.5,单人中式按摩,48,214
古道经络馆,长安区,建华百货,5.0,单人刮痧/拔罐/走罐3选1+肩背放松,8.8,198
兰旨养生,长安区,运河桥客运站,5.0,单人拔罐一次,9.9,173
玉强龙足养生（裕华店）,长安区,方北,3.5,单人四宝养生(预防稳固),268,148
玉强龙足养生（博雅店）,长安区,长安区,4.4,单人四宝养生(预防稳固),268,148
玉强龙足养生（谈固店）,长安区,长安区,3.5,单人四宝养生(预防稳固),268,148
钰锈美容瘦身养生馆,长安区,盛世长安,4.3,单人拔罐刮痧,1,145
缘艾堂艾灸养生馆,长安区,东胜广场,5.0,妇科调理灸,98,140
三源贯通中式养生机构（体育大街店）,长安区,先天下,5.0,单人疏肩护颈清脑调理,88,138
金港足道（辉煌足道）,长安区,长安区,5.0,足疗套餐,98,138
漫生活纳米汗蒸养生馆,长安区,东胜广场,5.0,单人肩颈按摩+足疗,40,128
康泽天下养生会馆,长安区,方北,4.4,局部经络刮痧,18,121
蓝宝石养生会所,长安区,方北,5.0,单人欧式spa套餐,398,121
艾上艾艾灸养生堂,长安区,谈固,4.2,局部调理＋艾灸,29,110
南派修脚,长安区,长安区,4.1,单人精品修脚,38,96
康玖亚健康调理中心,长安区,东胜广场,5.0,单人肩颈宝,29.9,64
顺康盲人按摩,长安区,盛世长安,4.6,拔罐/走罐/刮痧3选1,9.9,61
脊柱梳理（中基礼域店）,长安区,省四院中基礼域,4.0,有氧被动运动梳理放松脊柱,49.8,57
存乐堂健康驿馆,长安区,北国东尚,5.0,单人养生足疗1次,48,56
