商家,区域,商圈,星级,服务,价格,销量
水立方CEO会所,鼓楼区,五一广场/古田路,4.8,单人中式推拿/足浴2选1,138,17550
源生堂中医经络推拿,鼓楼区,东街口/三坊七巷,5.0,单人经络精油推背+刮痧/火罐套餐,108,17437
风采足浴,鼓楼区,鼓楼区,5.0,单人足按/推拿2选1套餐,125,15676
万佳汇健康会所,鼓楼区,金牛山/洪山桥,5.0,单人养身保健套餐,128,10256
香城健康会所,鼓楼区,铜盘路/软件园,5.0,泰式中推/香式足疗2选1 夜场套餐,109,10050
天星园高尚休闲会所,鼓楼区,鼓楼区,4.8,单人精油开背1次,138,9095
乐天泉足浴水疗会所,鼓楼区,五一广场/古田路,5.0,单人足浴/推拿2选1套餐,138,7512
康丽园休闲会所,鼓楼区,省立/旗汛口,5.0,中式推拿,109,7207
壹品足道（华福店）,鼓楼区,五一广场/古田路,5.0,单人足疗优享套餐,128,4601
鑫金鑫养生休闲会所（杨桥中路店）,鼓楼区,左海/西湖公园,5.0,鑫金鑫休闲养生会所推拿/足浴2选1,119,3182
鑫金鑫养生休闲会所（梅海园店）,鼓楼区,左海/西湖公园,4.8,鑫金鑫休闲养生会所推拿/足浴2选1,119,3182
康靓园足浴城（宏利店）,鼓楼区,五四路,4.8,单人康氏推拿套餐,148,2794
魔指仙境（五一路店）,鼓楼区,蒙古营,5.0,单人养生指压,258,2548
海悦会养生会所,鼓楼区,黎明/小柳市场,5.0,单人足疗/推拿2选1（全天通用）,118,2159
紫萱花文化主题养生会所,鼓楼区,省体/湖前,5.0,单人指压,258,2059
元和养生会所,鼓楼区,五四路,5.0,单人足按/推拿2选1+修脚,178,2028
abc休闲会所,鼓楼区,东街口/三坊七巷,4.2,ABC休闲会所单人韩式优指,219,1847
御尚阳光,鼓楼区,鼓楼区,5.0,单人花香养生,238,1685
泰自然（金龙店）,鼓楼区,温泉公园/福州广场,5.0,单人泰式精油套餐,169,1634
医健源推拿馆,鼓楼区,东街口/三坊七巷,5.0,单人全身推拿,69,1376
管氏金水桶休闲会所（乌山路店）,鼓楼区,乌山/冠亚广场,5.0,单人晚场足浴推拿2选1套餐,148,134
郑远元专业修脚房,鼓楼区,金牛山/洪山桥,4.0,郑远元单人舒克脚腾片,50,118
郑远元专业修脚连锁（西洪店）,鼓楼区,左海/西湖公园,4.6,郑远元单人舒克脚腾片,50,118
郑远元专业修脚房（杨桥西路店）,鼓楼区,金牛山/洪山桥,4.0,郑远元单人舒克脚腾片,50,118
郑远元专业修脚（大儒世家店）,鼓楼区,金牛山/洪山桥,3.9,郑远元单人舒克脚腾片,50,118
郑远元专业修脚（工业路店）,鼓楼区,乌山西路,4.4,郑远元单人舒克脚腾片,50,118
郑远元专业修脚房（西二环店）,鼓楼区,铜盘路/软件园,4.0,郑远元单人舒克脚腾片,50,118
台湾舒筋堂理疗馆,鼓楼区,省立/旗汛口,5.0,单人拔罐刮痧二选一,38,110
钦点养生足浴,鼓楼区,东街口/三坊七巷,4.2,钦点养生足浴,42,100
益生园中医经络推拿,鼓楼区,东街口/三坊七巷,5.0,单人精油推背+刮痧/火罐套餐,108,90
吴氏中医盲人推拿,鼓楼区,东街口/三坊七巷,4.0,单人经络穴位推拿+足浴,88,75
吴氏中医盲人推拿足浴中心,鼓楼区,省立/旗汛口,5.0,单人经络穴位推拿+足浴,88,75
郑远元专业修脚房（省府店）,鼓楼区,东街口/三坊七巷,4.7,单人艾草泡脚,54,74
鼓楼脊椎锤正疗法专业店,鼓楼区,鼓屏路/屏山公园,5.0,单人（拔罐·舒筋·艾灸）3选1,19.8,72
