商家,区域,商圈,星级,服务,价格,销量
朋朋修脚（东环家乐福店）,工业园区,娄葑镇,4.4,单人足部护理套餐,33.9,15634
苏沐堂足浴会所,工业园区,万科美好广场,5.0,单人 足浴/中式推拿 二选一,88,12584
富士康足浴休闲会所（乐活城店）,工业园区,邻瑞广场,5.0,单人足浴／按摩2选1,128,10543
富士康足浴休闲会所（翠园路店）,工业园区,圆融时代广场,5.0,单人足浴／按摩2选1,128,10543
富士康足浴休闲会所（苏绣路店）,工业园区,左岸商业街,5.0,单人足浴／按摩2选1,128,10543
富士康足浴休闲会所（天翔店）,工业园区,左岸商业街,5.0,单人足浴／按摩2选1,128,10543
吴韵宫坻养生会所（园区左岸店）,工业园区,左岸商业街,5.0,单人足浴套餐,72,4302
康福盲人推拿（胜浦店）,工业园区,胜浦,5.0,单人推拿或足浴2选1,65,2821
江南领秀桑拿SPA温泉,工业园区,娄葑镇,5.0,单人洗浴门票,25,2819
青松保健会馆（园区城邦店）,工业园区,李公堤,4.8,单人 青松足浴套餐 1次,88,2604
青松保健会馆（园区白领店）,工业园区,左岸商业街,4.0,单人 青松足浴套餐 1次,88,2604
牛氏盲人推拿按摩（荣域花园店）,工业园区,邻瑞广场,5.0,单人专业盲人推拿套餐,78,2267
北纬37°spa会所（湖东店）,工业园区,圆融时代广场,5.0,单人精油SPA放松套餐,168,1977
北纬37°spa会所（湖西店）,工业园区,左岸商业街,5.0,单人精油SPA放松套餐,168,1977
常康盲人推拿,工业园区,联丰广场,5.0,单人中式推拿,58,1954
水漾沐足,工业园区,娄葑镇,5.0,单人 足疗＋推拿套餐 1次,158,1723
世家推拿（益和堂）,工业园区,娄葑镇,5.0,单人养生推拿加平衡罐疗套餐,59,1699
大桶大足浴（星湖店）,工业园区,联丰广场,5.0,单人经络固元1次,238,1586
滋足堂养身会所,工业园区,娄葑镇,5.0,足浴套餐,108,1473
金足堂足浴,工业园区,唯亭,4.8,单人 拔罐／刮痧  1次,15,143
禅养生Zen massage,工业园区,白塘公园,5.0,单人高级师傅推拿,108,120
鼎族怡华足浴养生休闲会所,工业园区,博览中心,5.0,单人天元足道养生套餐,98,120
松谷足道,工业园区,左岸商业街,4.0,单人足浴套餐,88,114
阿苏吠陀保健会所,工业园区,玲珑湾,4.1,足疗、中式按摩（二选一）,78,101
康福养生会所,工业园区,邻瑞广场,4.0,单人温油spa,298,92
金典养生馆,工业园区,玲珑湾,4.8,单人油压套餐,333,89
钰凤轩足浴,工业园区,青剑湖跨塘,3.7,单人中式足浴,45,89
善正堂中医经络疗养馆（金益店）,工业园区,娄葑镇,4.9,单人 精品套餐 1次,35,76
善正堂经络推拿按摩（夏家桥店）,工业园区,万科美好广场,5.0,单人 精品套餐 1次,35,76
菩提会所（湖东旗舰店）,工业园区,圆融时代广场,5.0,单人 泰若悠然香薰spa 1次,448,75
易尔康盲人推拿,工业园区,万宝广场,4.1,全身推拿+拔罐 单人1次,69,69
奇境主题养生馆（苏州店）,工业园区,李公堤,4.8,暖身特调SPA120分钟套餐,598,65
和中堂足道（玲珑湾店）,工业园区,玲珑湾,4.2,单人精品足浴套餐,98,63
一生缘spa养生会所,工业园区,师惠坊,4.1,单人舒缓spa套餐,258,62
和中堂足道（天域二期店）,工业园区,星海国际广场,4.8,单人薰衣草精油足浴套餐,98,62
汉宫足道,工业园区,胜浦,3.7,单人汉宫套餐,108,62
手佳盲人按摩（（湖西店））,工业园区,印象城,5.0,经穴养生/普足+拔罐二选一,138,61
手佳盲人按摩（湖东店）,工业园区,邻瑞广场,4.7,经穴养生/普足+拔罐二选一,138,61
小蔡按摩工作室,工业园区,娄葑镇,5.0,单人经典足浴,59,53
福园推拿汗蒸馆（青剑湖分店）,工业园区,青剑湖跨塘,4.7,单人中式推拿+热敷,88,52
飘飘足浴,工业园区,联丰广场,3.4,单人水晶套餐,115,50
燕翔盲人按摩,工业园区,左岸商业街,5.0,（精油开背、单人推拿、中式足疗）3选1,68,53
