商家,区域,商圈,星级,服务,价格,销量
轻松推拿按摩养生馆,碑林区,怡丰城/西荷花园,5.0,单人全身推拿套餐,60,342
美洵spa养生会所,碑林区,太乙路,5.0,单人美洵养生,368,331
清水阁足道,碑林区,朱雀大街北段,3.6,清水阁68元足浴套餐,68,325
王芳中医经络养生馆,碑林区,李家村,5.0,单人拔罐+走罐套餐,28.8,307
华康推拿,碑林区,朱雀大街北段,3.5,脊柱推拿,49.9,287
子传信中医推拿养生馆（兴庆路店）,碑林区,互助路立交,5.0,传统拔罐,9.9,258
安然纳米汗蒸馆（鸡市拐店）,碑林区,东关正街,5.0,双人套餐,33,255
恒泰堂中医养生会馆,碑林区,南稍门,5.0,中式保健套餐,58,231
少林正骨堂（推拿按摩西工大店）,碑林区,西北大/西工大,4.9,少林养生套餐1（单人）,89,229
少林正骨堂（公园南路店）,碑林区,立丰国际,4.2,少林养生套餐1（单人）,89,229
灵芝堂养生推拿馆,碑林区,南稍门,4.7,单人中式拔罐刮痧,30,214
益正堂养生馆,碑林区,李家村,5.0,单人拔罐1次,9.9,209
西安金花南路圣惠堂中医按摩（圣惠堂正骨推拿按摩）,碑林区,立丰国际,5.0,背部拔罐,9.9,208
华瑞盲人推拿,碑林区,交大/理工大,5.0,局部经络调理,32.9,207
尚品沐足,碑林区,朱雀大街北段,4.1,单人按摩,368,162
卫锋经络调理,碑林区,交大/理工大,5.0,单人全身推拿,68,153
长城足浴养生会所,碑林区,李家村,3.6,精品按摩套餐,118,147
华辰社区足道,碑林区,和平门/建国门,4.7,单人韩式足道套餐,78,130
扬州一道专业修脚,碑林区,互助路立交,4.3,泡脚+修脚+足疗,26,117
康源推拿理疗店,碑林区,交大/理工大,5.0,单人局部推拿,45,114
沐羽足浴,碑林区,黄雁村,5.0,元气养生套餐,398,106
扬州修脚足浴,碑林区,南稍门,4.3,扬州会所修脚汗蒸方案,58,103
镜花水月养生会所,碑林区,互助路立交,4.3,单人精心足疗套餐,118,103
致玉痧道专业肩颈调理（交大二村店）,碑林区,碑林区,4.5,致玉痧道古法刮痧调理（单人）,88,99
致玉痧道专业肩颈调理（长春藤店）,碑林区,交大/理工大,5.0,致玉痧道古法刮痧调理（单人）,88,99
新唐足浴,碑林区,朱雀大街北段,4.0,单人浴足套餐,98,91
圣古方堂正骨理疗,碑林区,李家村,4.3,单人保健套餐,28,79
正康颈肩腰腿疼调理中心,碑林区,文艺路,4.8,单人颈椎调理面部提升体验套餐,39.9,78
康之源泉足道,碑林区,钟楼/鼓楼,4.9,单人足疗+全身保健按摩,119,77
秀康推拿理疗,碑林区,文艺路,5.0,单人全身推拿套餐,63,73
逸舒轩足道,碑林区,李家村,4.5,单人中式足浴,78,59
吉祥蓝天足浴店,碑林区,南大街,5.0,吉祥中式足浴套餐,158,59
康复盲人按摩店,碑林区,和平门/建国门,5.0,全身推拿+火罐套餐（单人）,60,57
权氏中医正骨推拿,碑林区,怡丰城/西荷花园,5.0,单人肩颈腰正骨推拿套餐,88,55
吉祥足浴,碑林区,李家村,4.3,吉祥足疗,88,49
灸益堂艾灸养生馆,碑林区,立丰国际,5.0,单人养生艾灸体验套餐（六选一）,12.8,48
御指天娇中国5店（东城皇冠店）,碑林区,立丰国际,5.0,足道,138,44
董敏园艾灸养生馆,碑林区,劳动南路,4.7,单人背部手法+艾灸+头疗,88,38
家富富侨足浴（李家村欣悦店）,碑林区,李家村,4.7,单人欣悦精油足浴,138,42
颐和堂专业艾灸养生馆（黄雁村）,碑林区,黄雁村,3.5,单人手工古方艾灸调理套餐,158,36
西安碑林现代医院中医针灸推拿科,碑林区,黄雁村,5.0,单人中式传统拔罐调理,19,34
御指天娇中国6店（昌润友谊店）,碑林区,黄雁村,5.0,专业SPA套餐,168,36
纤纤足疗,碑林区,南大街,3.0,98套餐,98,32
衡脊堂推拿艾灸养生馆,碑林区,怡丰城/西荷花园,5.0,拔罐或刮痧或走罐体验,9.9,30
康乐推拿养生馆,碑林区,南稍门,5.0,单人健康调理套餐,88,25
兴珍堂中医养生馆,碑林区,广济街,4.5,局部艾灸/拔罐2选1,9.9,24
康足堂扬州修脚,碑林区,碑林区,5.0,单人扬州修脚足疗套餐,35,22
郑远元专业修脚房,碑林区,南稍门,3.9,脚气散泡脚方案,38,20
郑远元专业修脚房,碑林区,李家村,4.0,脚气散泡脚方案,38,20
郑远元专业修脚（何家村店）,碑林区,黄雁村,4.1,脚气散泡脚方案,38,20
富足修脚推拿,碑林区,东关正街,3.5,单人足疗套餐1,36,18
君悦足逸,碑林区,钟楼/鼓楼,4.0,单人皇式养生足浴,78,16
合和居养生馆,碑林区,交大/理工大,4.2,单人养生美容套餐,88,15
善修阁专业推拿,碑林区,李家村,4.9,全身经络推拿60分钟,56,14
汤泉良子,碑林区,文艺路,4.7,单人浴资,28,14
泰古SPA会所,碑林区,南稍门,4.7,单人面部除螨深层护理,110,12
鱼乐无限鱼疗馆,碑林区,南稍门,3.7,单人鱼疗套餐,16.6,12
无声专业修脚,碑林区,文艺路,5.0,单人耳烛,48,12
正脊堂康复推拿理疗,碑林区,西北大/西工大,3.5,单人颈椎或腰椎推拿整脊复位,98,10
巴厘岛女子SPA按摩会所（24小时旗舰店）,碑林区,南稍门,4.5,经典巴厘岛女士spa单人全身油压,298,10
王氏经络专业推拿,碑林区,交大/理工大,3.5,单人颈肩腰推拿,52,4
爱尚巴厘岛女子spa按摩会所（南二环店）,碑林区,黄雁村,4.2,单人巴厘岛spa,398,4
王家成腰疼方,碑林区,朱雀大街北段,3.5,单人肩部调理套餐,58,4
雅风正和堂（西大街店）,碑林区,广济街,3.8,单人三选一保养套餐,68,2
鹿衔草养生馆,碑林区,怡丰城/西荷花园,4.3,藏式中式排寒+走拔罐+刮痧套餐,68,2
正元堂专业修脚,碑林区,东关正街,3.5,足疗按摩,35,1
惠康盲人按摩店,碑林区,东关正街,4.0,单人拔罐,9.9,1
薛乙乙正骨所,碑林区,交大/理工大,3.0,单人颈椎调理,199,1
御脊养生,碑林区,交大/理工大,3.5,单人脊柱调理+下肢循环,188,0
阿兰朵SPA养生休闲会所（曲江银座）,雁塔区,电视塔,5.0,单人阿兰朵香薰SPA,218,1296
指尚工坊,雁塔区,曲江新区,5.0,单人80分钟足道1次,138,1238
贾氏修脚足疗,雁塔区,电视塔,5.0,贾氏修脚足疗单人套餐,41,1181
悦和逸足坊,雁塔区,雁翔路,5.0,单人中式足浴,108,1087
家富富侨足浴（电子四路店）,雁塔区,电子城,5.0,单人古典泰式,198,1017
星辰盲人推拿足疗保健中心（小寨店）,雁塔区,小寨,5.0,单人全身推拿,78.8,782
朱国凡良子足浴,雁塔区,大雁塔,4.5,单人休闲足疗1次,148,774
逸指阳光（城南·朱雀店）,雁塔区,电视塔,5.0,单人逸阳养生套餐,189,741
家富富侨（长丰园店）,雁塔区,电视塔,5.0,单人足浴,98,701
泰荷男士SPA生活馆,雁塔区,曲江新区,5.0,泰荷spa,428,606
木易百年静心痧道中医养生馆（阳阳国际店）,雁塔区,朱雀大街南段,3.5,单人肩颈、背部刮痧调理超值套餐,68,552
木易百年清心痧道,雁塔区,小寨,4.9,单人肩颈、背部刮痧调理超值套餐,68,552
青松修脚按摩（小寨西路店）,雁塔区,小寨,5.0,单人足疗+肩颈腰背按摩,58,519
铭沁中医推拿养生馆,雁塔区,小寨,5.0,单人身体颈肩/腰腿2选1推拿按摩+火罐热敷调理套系,59,516
海韵之天养生足浴馆,雁塔区,电视塔,4.1,单人养生足疗,99,500
豪享来温德姆酒店身活馆,雁塔区,大雁塔,3.8,游泳健身单次通票单人,168,444
益舒盲人按摩,雁塔区,政法/师大,5.0,单人刮痧/拔罐1次,18,426
速康中医推拿按摩馆,雁塔区,电子城,4.7,速康颈椎护理,30,400
静心堂健康理疗足道,雁塔区,含光路南段,5.0,静心足疗,49,385
于素梅足部保健部,雁塔区,小寨,5.0,单人足浴套餐,88,374
怡康堂盲人按摩,雁塔区,政法/师大,5.0,拔罐单人套餐,9.8,25
古生堂,雁塔区,小寨,4.4,颐痧堂养生罐（单人）套餐,12,21
德瑞堂中医养生会馆,雁塔区,曲江新区,3.5,单人男性养生平衡套餐,198.8,21
郑远元专业修脚（金泰小学店）,雁塔区,电子城,3.8,脚气散泡脚方案,38,20
郑远元专业修脚房（杨家村店）,雁塔区,明德门,4.0,脚气散泡脚方案,38,20
郑远元专业修脚（西影路店）,雁塔区,雁翔路,4.0,脚气散泡脚方案,38,20
盛泉阁养生会所,雁塔区,南二环东段,4.0,中式养生足浴套餐,68,19
合和居养生馆（御城龙脉店）,雁塔区,南二环东段,4.7,单人拔罐体验,9.9,20
慷太推拿,雁塔区,电子城,3.9,套餐二,39,17
颐康推拿,雁塔区,明德门,5.0,特惠拔罐刮痧二选一,19.9,15
康正盲人按摩（小寨西路店）,雁塔区,朱雀大街南段,5.0,感恩亲情双人精品套餐,189,15
