商家,区域,商圈,星级,服务,价格,销量
御轩足道会馆（清和宜康分店）,云岩区,星力银海元隆广场,5.0,单人五行强腰足道,169,10866
九松堂,云岩区,小十字,5.0,单人九松堂推拿调理套餐,79,10204
星福桥保健足疗（北京路店）,云岩区,北京路,5.0,宫廷足疗,98,9364
若石连锁养生会馆,云岩区,喷水池,5.0,单人足疗（东方神韵反射域调理）,118,6179
良宸足道,云岩区,云岩广场,5.0,单人足浴套餐,78,3358
本草记,云岩区,北京路,5.0,单人汉方胚穴1次,122,2632
重庆富侨（山林店）,云岩区,威清路,4.7,单人足疗套餐,98,2316
御轩公馆,云岩区,友谊路,5.0,单人足疗套餐,118,2246
妙荷轩足道,云岩区,富水北路,5.0,单人妙荷经典,148,2168
星福桥足疗【宝山店】,云岩区,云岩区,5.0,单人养生足疗套餐,118,2008
刘小波盲人按摩理疗（陕西路店）,云岩区,陕西路,5.0,单人盲人按摩/足疗2选1（60分钟）,50,1361
良子足道健身,云岩区,喷水池,5.0,单人足浴套餐(加强新手法),138,1084
曼古御足,云岩区,小十字,5.0,单人曼古主题套餐,158,1015
足之源养生馆,云岩区,飞山街,5.0,单人足疗修脚套餐,48,997
良晨足道,云岩区,北京路,4.0,单人足浴套餐,108,876
富足足疗养生馆（陕西路店）,云岩区,陕西路,5.0,单人富足足疗套餐1次（60分钟）,48,862
黔康足底,云岩区,公园路,5.0,养生足疗套餐,55,813
贵州省盲人按摩院（贵州仁德推拿医院）,云岩区,盐务街,5.0,单人保健/足疗二选一,65,660
春意堂中医理疗馆,云岩区,中大国际购物中心,5.0,单人肩颈局部调理,49.9,617
金沐堂,云岩区,小十字,5.0,单人足疗艾灸,69,614
舒适轩推拿汇馆,云岩区,恒峰步行街,4.6,单人理筋通络套餐,66,577
韩蒸天下石疗养生馆（中大国际店）,云岩区,中大国际购物中心,5.0,单人足疗套餐,79.8,564
阿娜律养生馆,云岩区,喷水池,5.0,中华肩颈疏通+祛湿排寒温经泡脚套餐,98,539
韩蒸天下石疗养生馆（恒峰店）,云岩区,恒峰步行街,5.0,单人宫廷足疗/韩式推拿二选一,88,511
纯元堂康复理疗中心,云岩区,恒峰步行街,5.0,纯元堂调理套餐,168,461
贵康中医盲人按摩中心（贵康之家盲人按摩）,云岩区,云岩区,4.7,足疗 按摩2选1,55,302
重庆富侨（市北店）,云岩区,市北路,4.9,【白天场】单人草本足疗套餐,69,296
百汇堂足疗保健养生馆,云岩区,喷水池,5.0,单人全身经络按摩,68,293
治祥尚品按摩院,云岩区,云岩区,5.0,单人活络拔罐,86,275
正寿益中理疗养生中心,云岩区,云岩区,4.6,单人/颈椎/腰椎/肩周/关节调理【体验价真情回馈】,98,232
