商家,区域,商圈,星级,服务,价格,销量
重庆富侨足浴（北环店）,金水区,沙门/汽配,5.0,单人足浴套餐,98,13809
小朱推拿（国基路店）,金水区,普罗旺世/庙李,5.0,单人局部推拿,45,11980
华夏良子（郑州金水路店）,金水区,金水区省政府,5.0,代金券,75,11170
华夏良子（郑州纬四路店）,金水区,金水区省政府,5.0,代金券,75,11170
家富富侨（东区钻石店）,金水区,郑东新区CBD,5.0,单人足疗套餐,116,9930
儒之堂,金水区,郑东新区东建材,5.0,儒之堂足疗7选1,125,9233
皇宫仙指（未来路店）,金水区,曼哈顿广场,5.0,单人知足常乐套餐,139,9116
重庆富侨（纬五路店）,金水区,曼哈顿广场,5.0,单人经典足疗套餐,139,8276
家富富侨（金水万达店）,金水区,金水万达/蓝堡湾,5.0,单人富侨经典足道,149,8262
金水桶足疗（东风路店）,金水区,天旺广场,5.0,单人养生足浴套餐,88,6874
家富富侨,金水区,健康路/体育场,5.0,单人家富富侨草本浴足套餐,88,6676
重庆家富富侨足浴（玉凤路店）,金水区,曼哈顿广场,5.0,单人特级足浴,138,5064
彭世修脚（农科路店）,金水区,金水区,3.7,单人彭世经典足浴,63,4891
彭世修脚（渠东路店）,金水区,陈寨/张家村,4.8,单人彭世经典足浴,63,4891
彭世修脚（顺河路店）,金水区,曼哈顿广场,4.8,单人彭世经典足浴,63,4891
彭世修脚（任寨北街店）,金水区,健康路/体育场,5.0,单人彭世经典足浴,63,4891
彭世修脚（三全路店）,金水区,柳林刘庄,4.3,单人彭世经典足浴,63,4891
彭世修脚（普罗旺世店）,金水区,普罗旺世/庙李,4.7,单人彭世经典足浴,63,4891
彭世修脚（凤凰茶城店）,金水区,金水区,4.6,单人彭世经典足浴,63,4891
彭世修脚（沙口路店）,金水区,大石桥,4.3,单人彭世经典足浴,63,4891
彭世修脚（宏昌街店）,金水区,郑东新区东建材,5.0,单人彭世精品修脚,43,1078
彭世修脚（绿地老街店）,金水区,熙地港/王府井,4.7,单人彭世精品修脚,43,1078
彭世修脚（祥盛街店）,金水区,熙地港/王府井,4.3,单人彭世精品修脚,43,1078
彭世修脚（心怡路店）,金水区,郑东新区东建材,3.8,单人彭世精品修脚,43,1078
彭世修脚（黄河南路店）,金水区,郑东新区东建材,4.7,单人彭世精品修脚,43,1078
彭世修脚（祭城店）,金水区,金水区,4.3,单人彭世精品修脚,43,1078
彭世修脚（宏伟街店）,金水区,郑东新区东建材,4.7,单人彭世精品修脚,43,1078
彭世修脚（银基王朝店）,金水区,曼哈顿广场,4.5,单人彭世精品修脚,43,1078
坤亚柏悦足浴养生会所,金水区,柳林刘庄,5.0,单人坤亚足道,109,1052
皇家豫尊（宏达路店）,金水区,沙门/汽配,5.0,单人贵宾足道,129,1044
重庆富侨（天瑞街店）,金水区,熙地港/王府井,5.0,贵宾足疗,138,981
康力推拿（博瑞花园店）,金水区,东建材,5.0,单人局部推拿1次,39.9,956
郑伟推拿,金水区,金水区,5.0,单人推拿,33.8,877
阿炳缘首国际养生会馆（纬五路店）,金水区,金水区省政府,5.0,单人养生足疗套餐,109,817
重庆富侨（龙子湖店）,金水区,龙子湖校区,5.0,精品足疗（单人）,119,762
布衣尔足足浴养生会所（旗舰店）,金水区,郑东新区东建材,4.7,单人逸品足道,99,749
御足轩（中方圆店）,金水区,陈寨/张家村,5.0,单人精品足道1次,98,731
三禾足道养生会所,金水区,普罗旺世/庙李,5.0,单人本色足浴1次,109,703
金阳光足浴（沈庄北街店）,金水区,曼哈顿广场,3.9,单人经典足疗套餐,139,401
太乙堂,金水区,金水区,5.0,刮痧拔罐+背部放松,19.9,384
富元足道保健养生会所,金水区,大石桥,4.0,尊享保健养生单人套餐,238,373
管氏金水桶足浴（英协路店）,金水区,东建材,4.7,单人泰式足浴A套餐,139,373
一手一足高手修脚-灰指甲店,金水区,曼哈顿广场,5.0,修脚高手修脚,40,371
艾邻艾灸馆（国基路店）,金水区,沙门/汽配,4.9,单人艾灸养生套餐,19.9,371
名推堂·张氏按摩院（丰庆路店）,金水区,财院/轻工业学院,5.0,全身保健,85,364
名推堂·张氏按摩院（普罗旺世店）,金水区,普罗旺世/庙李,4.2,全身保健,85,364
奇脉壮元堂养生会所,金水区,经三路沿线,5.0,单人经络SPA,179,357
陈氏推拿,金水区,国贸360,4.8,陈氏推拿局部推拿,52,355
华豫修脚足道,金水区,陈寨/张家村,4.6,足疗修脚颈肩背按摩,49.8,347
国足道足浴,金水区,熙地港/王府井,5.0,单人商务套餐,118,335
桂子健康修脚足疗按摩（国基路店）,金水区,普罗旺世/庙李,5.0,足部反射区足疗,19.9,319
桂子健康修脚足疗按摩（三全路店）,金水区,柳林刘庄,5.0,足部反射区足疗,19.9,319
金手指盲人推拿中心（国贸新领地店）,金水区,国贸360,5.0,全身推拿(60分钟),78,309
汉龙金足养生Spa,金水区,郑东新区东建材,5.0,绿色草本足浴,119,306
邢氏国医推拿,金水区,熙地港/王府井,4.8,单人全身推拿1,82,292
阿炳健体（黄河路店）,金水区,曼哈顿广场,5.0,单人养生推拿,75,293
于伟盲人推拿,金水区,经三路沿线,5.0,单人拔罐,15,286
康体正骨推拿院（杜岭街分店）,金水区,人民路/紫荆山,5.0,单人拔罐,15,284
康体正骨推拿院（天明路店）,金水区,丰业广场/千盛广场,4.5,单人拔罐,15,284
东方茉莉足浴,金水区,金城国际广场,5.0,单人精油足浴套餐,129,289
重庆富侨（祥盛街店）,金水区,郑东新区东建材,5.0,单人草本足疗1次,168,272
康馨足浴,金水区,陈寨/张家村,4.0,康馨足浴中式按摩足浴套餐,60.9,269
王氏推拿中心,金水区,东建材,5.0,单人推拿,40,234
一心推拿按摩馆,金水区,金水万达/蓝堡湾,5.0,单人局部推拿,45,227
阿炳缘首国际养生会所（郑东新区）,金水区,郑东新区CBD,4.7,单人养生足疗,139,228
忆兰亭足道会馆（王鼎国贸店）,金水区,郑东新区CBD,5.0,单人兰亭足道（全天场）,128,218
逍遥spa养生会所,金水区,曼哈顿广场,5.0,经典养生套餐,199,202
金拇指足浴养生会所,金水区,丰业广场/千盛广场,5.0,足浴单人套餐,45,200
经络推拿,金水区,金水区,4.1,局部推拿,30,199
兰轩足浴,金水区,省电视台/北站,5.0,单人精品足疗,139,198
艾灸养生馆,金水区,东建材,4.1,艾灸养生艾灸套餐,9.9,195
大桥杏林按摩理疗,金水区,丰业广场/千盛广场,4.7,单人局部经络推拿,35,188
经络堂美容保健养生馆,金水区,金城国际广场,4.8,单人经筋推拿养生套餐,98,188
锦凤水阁（经三路店）,金水区,金城国际广场,5.0,单人经典足浴套餐,169,184
中艾堂都市灸养会馆,金水区,郑东新区CBD,4.8,单人肩颈舒缓调理灸,138,179
指尖魅力足浴养生馆,金水区,陈寨/张家村,5.0,单人按摩套餐,199,175
筋骨理疗推拿按摩养生店,金水区,金城国际广场,5.0,拔罐+刮痧,19.6,172
艾馨阁中医养生馆,金水区,曼哈顿广场,4.3,单人推拿,39,167
欲火spa养生馆（经三路店）,金水区,省电视台/北站,5.0,单人泰式男子SPA套餐,298,167
芙蓉百合足浴养生会所（金水路店）,金水区,曼哈顿广场,5.0,芙蓉一式足浴,168,166
豫道悦足养生,金水区,曼哈顿广场,5.0,单人精品足浴套餐,118,153
百络康人和推拿店,金水区,东建材,4.8,拔罐1次,9.9,150
九尊足道,金水区,财院/轻工业学院,4.0,九尊足道 精品足道,188,149
妙手推拿,金水区,国贸360,4.9,单人草本拔罐,9.9,141
醉红颜spa按摩养生会所（曼哈顿店）,金水区,曼哈顿广场,5.0,泰式养生套餐,198,139
皇后SPA养生公馆（大观国际店）,金水区,曼哈顿广场,5.0,单人推油养生套餐,298,132
皇后SPA养生公馆（曼哈顿总店）,金水区,曼哈顿广场,4.8,单人推油养生套餐,298,132
皇后养生公馆（凤凰城店）,金水区,凤凰城,4.4,单人推油养生套餐,298,132
御麒麟足浴养生会所,金水区,曼哈顿广场,5.0,周年店庆大促单人SPA按摩套餐,139,125
罗氏盲人按摩,金水区,国贸360,4.3,局部推拿,30,124
