商家,区域,商圈,星级,服务,价格,销量
郭氏富侨（长城宾馆旗舰店）,渝中区,大坪,5.0,单人高级足道,90,3309
一脉御手足体养生馆,渝中区,大坪,5.0,单人足疗,88,2786
富侨保健（较场口旗舰店）,渝中区,较场口,4.8,单人草本浴足1次,88,2761
少林养生堂,渝中区,解放碑,5.0,单人浴足保健套餐,73,2281
其乐（龙湖时代天街店）,渝中区,大坪,5.0,推拿、整脊、足疗60分钟定制健康调养套餐,90,1567
重庆富侨文化宫（vip店）,渝中区,两路口,5.0,单人传统足疗套餐,98,1388
完美印象影院式浴足养生会所（观音岩店）,渝中区,七星岗,5.0,单人完美足道套餐,118,1359
大仁医黎九贴（龙湖时代天街店）,渝中区,大坪,5.0,单人颈椎推拿,48,1294
心驿足疗小栈（时代天街店）,渝中区,大坪,4.7,全息指压足疗,89,1276
富康专业中医推拿理疗养生馆（龙湖时代天街店）,渝中区,大坪,5.0,单人颈肩调理套餐,39.9,1064
益森堂中医理疗养生推拿馆（龙湖时代天街店）,渝中区,大坪,5.0,单人肩颈调理套餐,39.9,832
韩蒸天下（龙湖时代天街1栋店）,渝中区,大坪,5.0,单人电气石/砭石2选1汗蒸套餐,22.8,778
奇手推拿足疗养生中心（解放碑店）,渝中区,解放碑,5.0,单人60分钟经典推拿/养生足疗二选一,69.9,657
Nara Thai SPA泰式按摩SPA,渝中区,大坪,5.0,单人泰式芳香热精油SPA（90分钟）,298,636
重庆富侨（临江门店）,渝中区,解放碑,4.9,姜疗浴足套餐,88,582
澄正堂推拿理疗中心（解放碑店）,渝中区,解放碑,4.1,单人肩颈专业护理套餐,98,546
澄正堂推拿理疗中心（雅地天际店）,渝中区,解放碑,5.0,单人肩颈专业护理套餐,98,546
得一正脊推拿养生馆（时代广场店）,渝中区,解放碑,4.6,单人颈肩舒压除劳调理,78,508
得一正脊推拿养生馆（解放碑店）,渝中区,解放碑,4.2,单人颈肩舒压除劳调理,78,508
小石兄弟盲人按摩推拿足疗中心,渝中区,解放碑,5.0,单人全身推拿（60分钟）,49.8,486
唯步足道保健中心,渝中区,大礼堂,3.0,养生推拿+足浴套餐,138,466
普云五行艾灸堂（解放碑店）,渝中区,较场口,4.0,单人五行艾灸套餐,78,430
清涟养生足浴,渝中区,解放碑,5.0,单人养生足道,118,425
足逸轩养身会,渝中区,大坪,5.0,单人足疗,68,420
家富富侨（八一路店）,渝中区,解放碑,5.0,单人高级足浴套餐,128,303
丽康养生堂,渝中区,大坪,4.1,单人中式拔罐,19.9,236
医博中医推拿养生馆,渝中区,两路口,5.0,单人60分钟头颈肩部推拿,58,237
简康经络堂,渝中区,大坪,4.7,单人经络疏通综合调理,128,209
威尼斯水疗,渝中区,大坪,5.0,单人SPA水疗,298,199
九汀养生（龙湖·时代天街店）,渝中区,大坪,5.0,单人午休肩颈养生套餐,68,189
欧妍泉美容养生堂（解放碑店）,渝中区,解放碑,5.0,单人腿足疗套餐,58,169
中忠盲人按摩,渝中区,上清寺,5.0,单人拔罐刮痧二选一,15,163
三一行馆日式推拿足道,渝中区,解放碑,5.0,三一 • 和式足心道,108,167
龙泉正骨推拿理疗养生堂（解放碑店）,渝中区,解放碑,5.0,单人局部3选1颈肩／胸椎／腰椎,49.8,116
临江门社区医院针灸理疗,渝中区,渝中区,4.5,单人拔罐,18,112
magic thai 泰奇幻泰式按摩SPA会馆,渝中区,渝中区,5.0,单人经典热石精油SPA全身舒压,438,94
家富富侨足疗洗浴养生会馆（储奇门店）,渝中区,长滨路,5.0,单人套餐足疗1次,98,79
樸艾居手工艾灸养生馆,渝中区,大坪,5.0,单人专业杨氏采耳+洗耳,39.8,66
邦妮上门按摩服务中心,渝中区,较场口,5.0,单人精品spa套餐,398,67
唯尊汇k歌·足浴,渝中区,解放碑,4.7,单人K歌足浴,68,75
经艾堂中医推拿理疗馆,渝中区,大坪,5.0,单人养生综合调理,98,58
御蓉桩健康养生SPA,渝中区,上清寺,5.0,单人优品养生水疗spa,298,61
法兰黛美容SPA会所,渝中区,解放碑,5.0,单人足疗蒸熏50分钟+汗蒸100分钟+电影院线套餐,69.8,48
康丽源理疗养生馆,渝中区,大坪,4.9,单人艾灸体验价,9.9,49
顶尚堂头疗馆,渝中区,大坪,4.5,单人顶尚堂专项头疗,38,46
康达盲人按摩推拿中心,渝中区,解放碑,5.0,精油推背套餐2选1（单人）,98,40
福康盲人按摩中心,渝中区,大坪,4.2,单人全身推拿套餐,45,34
魏华佰妙盲人按摩,渝中区,大礼堂,5.0,单人推拿+拔罐,45,30
康寿堂经络理疗养生馆,渝中区,大礼堂,4.8,单人汗蒸,9.8,28
高明宗明善灸堂,渝中区,朝天门,4.2,单人专业检测专业热敏悬灸理套餐,128,28
拓健盲人按摩院,渝中区,大坪,5.0,单人刮痧+拔罐,38,25
扶阳罐养生殿（第一分店）,渝中区,渝中区,4.5,单人扶阳SPA,218,25
曼暄灸疗,渝中区,大坪,4.2,单人碧玺沙灸,38,23
福康盲人按摩中心（解放碑店）,渝中区,解放碑,5.0,单人部位专业调理（30分钟）,29.8,23
沈氏盲人按摩院,渝中区,朝天门,5.0,单人精油足疗/踩背,39.8,21
兴康盲人按摩,渝中区,渝中区,4.7,单人刮痧拔罐,48,18
伊贝丝专业丰胸美胸机构（中和四季店）,渝中区,较场口,5.0,单人台式指压套餐,138,16
中和四季美容养生会,渝中区,较场口,4.5,单人台式指压套餐,138,16
李渝推拿理疗养生会所总店（总店）,渝中区,大坪,4.5,单人艾灸套餐,46.8,14
李渝推拿理疗养生会所分店（康德店）,渝中区,大坪,5.0,单人艾灸套餐,46.8,14
洪康专业盲人按摩,渝中区,大坪,5.0,单人刮痧拔罐套餐,40,10
益生颜美容养生馆,渝中区,长滨路,4.4,单人无痛刮痧拔罐,29.9,9
花期健康排毒经络美胸美颜馆,渝中区,上清寺,3.5,单人花期水优平衡调养SPA,132,9
来康盲人按摩（大坪店）,渝中区,大坪,5.0,局部推拿（30分钟）,28.8,6
邵推拿,渝中区,渝中区,4.5,单人局部调理,60,2
王师盲人按摩,渝中区,七星岗,4.5,单人精油推背,50,2
同仁堂焱艾堂,渝中区,大礼堂,3.5,单人气化灸,39.9,1
信谊盲人推拿,渝中区,大坪,3.5,单人脏腑调理,75,0
万通盲人按摩院,渝中区,大坪,3.5,单人精油推背,45.8,0
悦丽美容养生馆,渝中区,大坪,3.9,单人汗蒸1次,15,0
金色印象影院式足体养生会馆（天街星城店）,江北区,北城天街/九街,5.0,单人龙手足道套餐,98,534456
家富富侨（阳光世纪店）,江北区,观音桥,5.0,单人休闲浴足1次,98,41035
世龙世家灰指甲手足健康护理连锁（江北建新东路店）,江北区,建新东路/大兴村,3.5,泡脚足浴+修脚护理单人套餐,9.9,26970
世龙世家灰指甲手足健康连锁（南桥寺店）,江北区,盘溪/南桥寺,3.5,泡脚足浴+修脚护理单人套餐,9.9,26970
静逸堂功夫肩颈（纤典美容美体观音桥店）,江北区,观音桥,4.5,单人功夫肩颈一次,88,17002
静逸堂功夫肩颈（黛诗菲尔同创国际店）,江北区,洋河花园,4.2,单人功夫肩颈一次,88,17002
静逸堂功夫肩颈（富力海洋广场店）,江北区,洋河花园,4.3,单人功夫肩颈一次,88,17002
金海湾贵足道,江北区,大庙/红旗河沟,5.0,单人贵宾足浴,98,7111
江北区长乐足浴服务部（重庆观音桥店）,江北区,北城天街/九街,5.0,单人长乐养神足道,89,7086
荷塘月舍足浴馆,江北区,观音桥,5.0,单人浴盐去角质足浴套餐,98,7005
凤邸养生会所,江北区,大庙/红旗河沟,4.4,凤邸养生会所足浴,76,4421
富侨足浴（五里店）,江北区,五里店/江北嘴,4.9,单人富侨尊享足浴,78.8,4320
一把手推拿盲人按摩,江北区,观音桥,5.0,单人按摩,52.8,3922
风浴阁水疗会所,江北区,洋河花园,5.0,单人养身水疗套餐,238,3613
家富富侨（北城天街店）,江北区,北城天街/九街,5.0,单人古方藏式足浴,88,2764
中医脊柱理疗馆,江北区,观音桥,5.0,单人颈肩部理筋+背部精油开背+腰部混元经络调理,68,2473
壹家养生俱乐部（洋河店）,江北区,洋河花园,5.0,单人壹家足浴套餐1次,109,2460
宛平洗浴,江北区,江北区,4.4,单人海派足疗1次,49,2284
贵豪足浴,江北区,大庙/红旗河沟,4.9,贵豪k歌足浴（单人贵足）,59,2273
兰轩水疗spa,江北区,大庙/红旗河沟,5.0,单人水疗养生SPA,338,2189
乐康推拿按摩.足疗（观音桥店）,江北区,观音桥,5.0,单人全身按摩60分钟,50.8,2188
富侨足浴保健中心（北城天街店）,江北区,北城天街/九街,4.3,单人足浴套餐3选1,88,2097
谜幻水疗足浴,江北区,五里店/江北嘴,5.0,单人养生水疗,298,1949
逸轩养生SPA酒店,江北区,北城天街/九街,5.0,单人精品SPA水疗1次,428,1884
家富富侨（茂业店）,江北区,北城天街/九街,4.5,单人休闲足浴（80分钟）,78,1553
金源玉泉会馆,江北区,观音桥,4.1,单人洗浴套票,58,1438
金足缘养生会馆,江北区,洋河花园,5.0,单人精品足浴套餐,118,1355
金塘印象足道馆,江北区,江北区,5.0,单人柔式浴足套餐,70,1326
足知道酒店式足疗养生馆（珠江店）,江北区,五里店/江北嘴,5.0,舒缓足疗（单人）,118,1286
京香池日式禅意足疗按摩馆,江北区,北城天街/九街,5.0,禅意拉伸全身按摩单人,98,1258
浴兰舫水疗会所,江北区,北城天街/九街,5.0,单人养生水疗套餐,228,1193
江北金马贵足浴城,江北区,建新东路/大兴村,5.0,单人金马足浴套餐,79.9,1158
上门湘遇按摩足浴理疗中心（两路口店）,江北区,观音桥,5.0,单人精油SPA套餐,298,896
龙悦·澜泊湾SPA养生中心,江北区,东原新新PARK购物中心,5.0,单人足道套餐,98,875
摩指印象（大石坝店）,江北区,江北大石坝,5.0,影院式足浴单人摩足,68,884
摩指印象（重庆渝北店）,江北区,洋河花园,5.0,单人足浴（100分钟）,159,208
金格雅洗浴城,江北区,五里店/江北嘴,5.0,单人SPA养生,298,206
漫足宫spa·影院·足道,江北区,洋河花园,5.0,单人漫足养生足道,88,199
大观园会馆,江北区,观音桥,5.0,观园贵足（80分钟）,68,194
益民盲人按摩足疗,江北区,江北区,5.0,单人全身按摩推拿套餐,38.8,182
菲凡3D影院足疗养生馆,江北区,观音桥,4.7,单人休闲足浴（特价）,65,176
欧妍泉美容养生堂（江北店）,江北区,北城天街/九街,5.0,单人腿足疗套餐,58,169
SABAI THAI SPA泰式按摩体验馆（泰式传统按摩馆）,江北区,北城天街/九街,5.0,单人SabaiThai草本植物精油SPA,288,160
金海棠养生会所,江北区,北城天街/九街,5.0,单人精品SPA水疗,438,133
君悦养身spa,江北区,五里店/江北嘴,4.7,单人精品水疗养生套餐,338,129
同正堂盲人按摩,江北区,观音桥,5.0,单人拔罐,9.9,123
都缘足浴养生会所,江北区,五里店/江北嘴,5.0,单人精品足浴【开业大促】,88,120
尚足馆,江北区,江北区,4.7,汉方足疗（单人）,48,111
汉和养生馆（汗蒸）,江北区,东原新新PARK购物中心,5.0,精油刮痧+拔罐,38,105
俪侨中医经络理疗,江北区,观音桥,5.0,拔罐/刮痧/头疗/艾灸’,28,106
alysa经络养生,江北区,北城天街/九街,5.0,艾灸拔罐刮痧套餐三选一,18.8,98
康福来盲人按摩推拿馆,江北区,观音桥,5.0,超值推拿体验套餐推拿+（刮痧拔真空罐、艾灸、足底汗蒸）3选1,68,95
锦菲足浴养生会馆,江北区,观音桥,5.0,舒缓足浴,78,95
一心盲人推拿馆,江北区,江北区,4.6,单人刮痧拔罐套餐,45,92
18号专业盲人按摩馆（观音桥店）,江北区,观音桥,5.0,双人套餐,156.8,85
指佳推拿理疗,江北区,观音桥,5.0,单人精油推背套餐,58.8,80
鑫荣和国际养生会所,江北区,江北大石坝,5.0,单人乾坤足疗,78,73
余氏盲人按摩,江北区,建新东路/大兴村,4.5,单人颈肩背腰经络脊椎梳理1次,68,70
纤黛绿色养生馆,江北区,北城天街/九街,5.0,肩颈调理,19.9,65
小乔浴足水疗SPA,江北区,洋河花园,4.8,单人足浴套餐,78,61
美嘉美健康管理中心,江北区,北城天街/九街,5.0,单人刮痧拔罐2选1,18.8,59
宜休堂中华传统医道推拿,江北区,北城天街/九街,5.0,单人古法肩颈推拿B,78,54
江北按摩门诊部（观音桥店）,江北区,江北区,5.0,单人刮痧+拔罐,36.8,48
尊尚指韵,江北区,北滨路/金源/星悦荟,3.9,尊尚足浴（单人）,99,48
安甲堂修脚,江北区,建新东路/大兴村,4.8,安甲堂修脚护理,14.8,43
MALITHAI SPA茉俪泰泰式按摩SPA馆（茉俪泰）,江北区,北滨路/金源/星悦荟,5.0,泰国天然精油SPA 90分钟,398,41
渝道影院式足浴养生会馆（南桥寺店）,江北区,盘溪/南桥寺,4.4,单人休闲足道,98,40
丽婷美容有限公司,江北区,江北区,4.4,单人丽婷牛奶精致足浴,88,37
利科按摩（阳光100店）,江北区,五里店/江北嘴,4.9,单人循经推拿火罐调理,55,36
手佳盲人按摩,江北区,北滨路/金源/星悦荟,5.0,单人刮痧拔罐30分钟,59.8,31
睿阳国际男士spa俊颜馆（男士SPA按摩）,江北区,天邻风景,4.9,浪漫巴黎养生养颜SPA（90分钟）,428,27
拉斯菲尔美容会所,江北区,北城天街/九街,4.2,单人足疗按摩套餐,39,26
想逸养生馆,江北区,北城天街/九街,5.0,开业酬宾单人雪中女王（雪花秀系列）,128,25
利康盲人推拿会所,江北区,观音桥,5.0,单人精油足疗1次,86.9,24
富足天下,江北区,江北区,3.7,富贵足疗（单人）,78,23
宜生专业中医推拿按摩中心（天邻风景店）,江北区,天邻风景,3.5,冬疾夏治“三伏贴”,1,23
王勇专业盲人按摩,江北区,大庙/红旗河沟,4.7,单人刮痧＋打火罐套餐,45,22
禅庭SPA（春森店）,江北区,北滨路/金源/星悦荟,4.8,肩颈护理/五藏平衡养疗二选一,238,22
足之韵,江北区,江北区,3.5,单人足之韵足浴套餐,55,13
忠全盲人按摩,江北区,花卉园,4.9,单人刮痧+拔罐,25.8,13
塔坪专业盲人按摩,江北区,建新东路/大兴村,4.0,刮痧拔罐,32,13
珊珊经络通,江北区,大石坝北,5.0,单人珊珊经络通肩颈腰经络疏通,78,10
天地盲人按摩,江北区,江北区,4.5,刮痧+拔罐,39.8,10
禅济艾灸养生堂,江北区,五里店/江北嘴,3.5,单人深层排污,168,8
济御轩艾灸养生堂,江北区,东原新新PARK购物中心,4.9,单人肩颈调理,118,7
康益盲人按摩,江北区,石子山体育公园,4.9,单人局部推拿30分钟,28.8,4
利科盲人按摩（万丰店）,江北区,五里店/江北嘴,5.0,推拿养身综合套餐,75,4
留缘棋牌室,江北区,观音桥,4.0,棋牌套餐2,75,2
惠逸养生馆盲人按摩,江北区,盘溪/南桥寺,5.0,单人草本足疗套餐,68,1
渝康源,江北区,北滨路/金源/星悦荟,4.3,单人全息养生,128,1
御足堂,江北区,五里店/江北嘴,3.8,依山伴水浴（单人）,338,1
宗艾堂养生馆,江北区,五里店/江北嘴,3.5,单人腰背调理,128,0
世龙世家灰指甲手足健康连锁（沙坪坝区店）,沙坪坝区,重庆大学,4.3,泡脚足浴+修脚护理单人套餐,9.9,26970
世龙世家灰指甲手足健康连锁（沙坪坝区天星桥店）,沙坪坝区,天星桥,3.6,泡脚足浴+修脚护理单人套餐,9.9,26970
静逸堂功夫肩颈（富力城春天里店）,沙坪坝区,大学城,4.0,单人功夫肩颈一次,88,17002
静逸堂功夫肩颈（汉渝路工人村店）,沙坪坝区,小龙坎,3.5,单人功夫肩颈一次,88,17002
静逸堂功夫肩颈（千变秀师范大学店）,沙坪坝区,三峡广场,4.6,单人功夫肩颈一次,88,17002
金色印象影院式足体养生会馆（汉渝路行政会馆）,沙坪坝区,小龙坎,5.0,单人龙手足道套餐,98,13611
健康保健足浴,沙坪坝区,小龙坎,5.0,单人康体经络足浴（100分钟）,98,11879
富士山沐足馆（沙坪坝店）,沙坪坝区,三峡广场,5.0,单人足浴套餐,68,9783
金阁印象影院式养生会所,沙坪坝区,重庆大学,5.0,单人经筋足道经络养生护理套餐,79,5020
富侨（三峡广场店）,沙坪坝区,三峡广场,4.9,单人富桥精油浴足套餐（90分钟）,85,3719
蝶恋水疗homespa,沙坪坝区,小龙坎,5.0,单人冰蓝香薰SPA1次/约90分钟,268,3395
乐享会馆（乐享驿站）,沙坪坝区,三峡广场,5.0,精品油压（免费住宿、小吃）,158,3092
依思园影院式足浴,沙坪坝区,大学城,4.7,单人贵宾足疗套餐,118,2549
小桥流水洗浴会所,沙坪坝区,重庆大学,5.0,豪华水疗SPA,268,2374
功夫足道,沙坪坝区,大学城,5.0,单人浴足1次,58,1463
龙舟足疗水疗SPA会所,沙坪坝区,三峡广场,5.0,单人香薰SPA套餐,268,1406
重庆富侨（双碑店）,沙坪坝区,双碑,5.0,单人浴足,68,829
富侨保健（小龙坎店）,沙坪坝区,小龙坎,4.3,单人精品足疗,78,656
北海道足艺（凤天路店）,沙坪坝区,沙坪坝区,5.0,单人艾草浴足（闲时特惠）,88,569
君缘洗浴养生会所,沙坪坝区,天星桥,5.0,君缘养生单人SPA,338,556
王中华骨健康馆（陈家桥店）,沙坪坝区,大学城,4.0,刮痧,16.8,542
周氏经络养生,沙坪坝区,大学城,5.0,单人火罐体验,8.8,526
钱盛盲人按摩,沙坪坝区,大学城,5.0,单人专业拔罐1次,9.9,472
阿凡迪休闲足浴spa,沙坪坝区,大学城,4.9,单人商务足浴,58,412
清水湾影院式足浴茶艺会馆,沙坪坝区,小龙坎,4.7,单人清水湾贵足,98,385
君临益康中医理疗,沙坪坝区,三峡广场,5.0,刮痧/拔罐/排淤祛湿3选1（单人）,25,358
玉指天骄足艺休闲会馆,沙坪坝区,天星桥,4.0,单人草本沐足,72,335
爱尚足艺,沙坪坝区,烈士墓,4.7,草本休闲浴足,52,329
润康足道,沙坪坝区,磁器口,5.0,单人足疗套餐,65,289
足之语养生馆,沙坪坝区,大学城,5.0,单人养生足浴（限时特惠）,78,273
适普建（欣阳广场店）,沙坪坝区,重庆大学,4.5,单人全息养生足疗,98,272
摩指印象（大学城店）,沙坪坝区,大学城,4.7,单人印象足浴套餐,168,258
九身堂康复理疗中心,沙坪坝区,重庆大学,4.5,单人肩颈调理套餐,19.9,223
铭优足疗推拿,沙坪坝区,三峡广场,5.0,专业技师单人中式足浴,49.8,223
家富富侨,沙坪坝区,大学城,4.7,单人贵宾足疗,108,221
沙漫SOQI神氣能量氧身馆,沙坪坝区,三峡广场,4.6,单人火罐保养,9.9,211
韩蒸天下（烈士墓店）,沙坪坝区,烈士墓,5.0,拔罐去湿+砭石汗蒸养生套餐,36.8,171
周氏御手,沙坪坝区,三峡广场,4.2,拔火罐（单人）,20,48
御都足道SPA养生馆,沙坪坝区,天星桥,5.0,单人精品足道,68,41
渐渐康盲人按摩理疗中心（三峡广场店）,沙坪坝区,三峡广场,5.0,养生足疗（60分钟）,59.8,34
何氏推拿盲人按摩所,沙坪坝区,大学城,5.0,单人拔（火）罐,19.9,34
