商家,区域,商圈,星级,服务,价格,销量
识足堂修脚（平阳街店）,南关区,人民广场,3.5,单人足疗套餐,55,0
钓鱼岛洗浴休闲会馆（丽豪店）,朝阳区,重庆路,5.0,单人洗浴+汗蒸套餐,39,32133
世龙世家灰指甲手足健康连锁（崇智路店）,朝阳区,重庆路,5.0,泡脚足浴+修脚护理单人套餐,9.9,26970
世龙世家修脚,朝阳区,建设街,5.0,泡脚足浴+修脚护理单人套餐,9.9,26970
朋朋修脚（长春红旗店）,朝阳区,红旗街,4.1,单人足部护理套餐,33.9,15634
朋朋修脚（繁荣路店）,朝阳区,朝阳区,4.0,单人足部护理套餐,33.9,15634
太和足道（同志街店）,朝阳区,朝阳区,5.0,太和宫廷调理,128,8223
太和浴足（翔运街店）,朝阳区,朝阳桥,5.0,太和宫廷调理,128,8223
太和浴足（建设街南昌路店）,朝阳区,建设街,5.0,太和宫廷调理,128,8223
利金足道（南昌路店）,朝阳区,建设街,5.0,单人养生浴足套餐,96,5504
利金足道（建设街店）,朝阳区,建设街,5.0,罗汉神功单人套餐,96,4428
北派修脚（红旗街店）,朝阳区,红旗街,5.0,单人北派修脚套餐,28,4134
皇龙浴足（湖西路店）,朝阳区,朝阳区,5.0,单人浴足套餐,109,3160
长春洺池宝石浴（抚松路店）,朝阳区,辉南街,5.0,单人足疗+搓澡套餐,69,2225
世外桃源健足养生SPA会馆（自由大路店）,朝阳区,桂林路,5.0,单人辛夷修身净浴spa,368,2031
御汤苑养生足疗馆,朝阳区,重庆路,5.0,全身按摩套餐,188,1550
金舫足道（红旗街店）,朝阳区,湖西路,5.0,贵宾足疗,139,1527
吉祥盛世CEO御足养生会所,朝阳区,桂林路,5.0,单人保健套餐,119,1090
东古健足会馆,朝阳区,朝阳区,5.0,单人足疗+住宿套餐,99,696
世尊中医推拿中心（清华路店）,朝阳区,桂林路,5.0,本月超值特惠刮痧/拔罐/耳烛/任选一单人票,19.9,471
名人推拿养生堂,朝阳区,湖西路,5.0,单人经络调理套餐,185.3,2
识足堂修脚（正阳街店）,绿园区,绿园区,3.0,单人足疗套餐,55,0
