商家,区域,商圈,星级,服务,价格,销量
世龙世家手足健康连锁（车站中路店）,芙蓉区,芙蓉区,5.0,泡脚足浴+修脚护理单人套餐,9.9,26970
世龙世家手足健康护理连锁（晚报大道店）,芙蓉区,马王堆,4.6,泡脚足浴+修脚护理单人套餐,9.9,26970
世龙世家手足健康连锁（芙蓉区芙蓉中路店）,芙蓉区,芙蓉广场,5.0,泡脚足浴+修脚护理单人套餐,9.9,26970
颐而康（汽车东站旗舰店）,芙蓉区,汽车东站,5.0,单人高桶养生足疗,100,19865
颐而康按摩（车站北路旗舰店）,芙蓉区,梦泽园,5.0,单人高桶养生足疗,100,19865
颐而康（马王堆旗舰店）,芙蓉区,马王堆,5.0,单人高桶养生足疗,100,19865
天之道（五一路店）,芙蓉区,袁家岭/火车站,5.0,优质养生标准足浴1次,78,11914
福康保健中心（五一广场店）,芙蓉区,五一广场,5.0,单人中式/养生足疗套餐,99,11375
天之道足浴（八一路店）,芙蓉区,八一路,5.0,单人贵宾标准足浴,119,7939
汉子足浴（婚庆公园店）,芙蓉区,古曲路/浏阳河婚庆文化园,5.0,单人泰式足浴1次,78,5439
足熙圆休闲会所,芙蓉区,马王堆,4.8,单人养生足浴,78,5361
天之道（同鑫家园店）,芙蓉区,古曲路/浏阳河婚庆文化园,5.0,单人80分钟标准足疗,149,3455
慧友足浴（晚报店）,芙蓉区,晚报大道,5.0,单人古典泰式足浴套餐,108,3404
天之道足浴（东站嘉茂店）,芙蓉区,汽车东站,4.8,单人中式草尚品足浴1次,109,3290
鸿远足浴（杨家山店）,芙蓉区,德政园/杨家山,5.0,神农足浴,69,3182
天之道（才子佳郡店）,芙蓉区,芙蓉区,5.0,70分钟商务单人足浴,129,2929
非常道足浴,芙蓉区,八一路,5.0,足浴,88,2461
天地人和养生驿站（人民东路店）,芙蓉区,古曲路/浏阳河婚庆文化园,5.0,单人固本扶阳,358,2290
天地人和养生驿站（车站北路店）,芙蓉区,五里牌,5.0,单人固本扶阳,358,2290
颐而康保健中心（解放东路店）,芙蓉区,人民中路/朝阳路/融圣国际,5.0,单人高桶养生足疗,90,2262
巴蜀鑫源保健,芙蓉区,马王堆,5.0,单人养生足浴,89,524
金指足浴,芙蓉区,马王堆,5.0,单人70分钟足浴,89,474
兴湘足浴养生会所（兴湘国际大酒店）,芙蓉区,马王堆,4.9,单人中式足浴,79,431
无为足道（晚报店）,芙蓉区,马王堆,5.0,单人60分钟中式足疗,159,402
名媛臻品足浴（马王堆店）,芙蓉区,马王堆,4.8,单人特价明星臻品足浴,129,393
风度俊容男士spa按摩养生会所（五一路店）,芙蓉区,五一广场,4.2,单人普罗旺斯香薰SPA,298,389
风度俊容男士spa按摩养生会所（人民东路店）,芙蓉区,德政园/杨家山,4.6,单人普罗旺斯香薰SPA,298,389
东之阳足道健康会所,芙蓉区,马王堆,5.0,60分钟单人标准足浴,89,359
紫御足道,芙蓉区,湖南农业大学,5.0,单人经典足浴（70分钟）,98,342
永政按摩足疗,芙蓉区,五一广场,5.0,中式养生足疗／中式养生推拿二选一,75,326
家富富侨（星典店）,芙蓉区,五里牌,5.0,古典足浴,108,313
知足常乐足浴保健,芙蓉区,五一广场,5.0,单人姜辽足浴套餐,78,282
天之恋足道,芙蓉区,马王堆,5.0,单人足浴,58,274
克丽缇娜（梦泽园店）,芙蓉区,梦泽园,4.0,保湿精粹护理,128,253
克丽缇娜（长岛路店）,芙蓉区,八一路,4.0,保湿精粹护理,128,253
克丽缇娜（芙蓉苑店）,芙蓉区,马王堆,4.0,保湿精粹护理,128,253
克丽缇娜（五一华府店）,芙蓉区,司门口,3.8,保湿精粹护理,128,253
克丽缇娜（湖湘店）,芙蓉区,芙蓉广场,4.0,保湿精粹护理,128,253
克丽缇娜（德政园店）,芙蓉区,德政园/杨家山,4.0,保湿精粹护理,128,253
骨圣堂（万家丽店）,芙蓉区,马王堆,5.0,单人颈肩劳损调理套餐,68,107
逸足轩足浴养生会所,芙蓉区,五里牌,5.0,70分钟普通足浴,98,97
中天大酒店休闲足浴城,芙蓉区,八一路,3.8,香薰经络推油1次,148,94
沐颜男士spa养生会所,芙蓉区,人民中路/朝阳路/融圣国际,5.0,西式经络调理,258,92
普天乐足浴（怡海店）,芙蓉区,八一路,5.0,单人经典足浴,78,83
乐巢spa会所（鴻盛大厦店）,芙蓉区,司门口,5.0,单人男士深度精油SPA,198,78
喜之足养生堂（步行街店）,芙蓉区,芙蓉区,5.0,单人古典足浴,49.9,79
明姐健康养生馆,芙蓉区,马王堆,5.0,单人拔罐体验一次,9.9,79
紫东阁华天足疗,芙蓉区,五里牌,5.0,单人特惠足疗（60分钟）,88,76
瑞健保健按摩工作室,芙蓉区,马王堆,5.0,单人颈肩腰腿推拿护理套餐1次,80,74
沁元堂养生会所（精品店）,芙蓉区,梦泽园,4.1,单人头部护理深睡1小时,158,73
润足蹚,芙蓉区,芙蓉区,4.5,秘制足浴套餐,30,37
脊柱梳理,芙蓉区,德政园/杨家山,4.2,单人脊柱梳理1次,60,31
脊康堂,芙蓉区,德政园/杨家山,5.0,颈胸整脊套餐,80,26
风爵spa养生会所（上东印象店）,芙蓉区,晚报大道,5.0,单人精油开背SPA,188,24
崇尚盲人特色按摩,芙蓉区,晚报大道,5.0,单人90分钟肩颈背调理一次,98,21
彭彭足疗店十修脚足浴,芙蓉区,古曲路/浏阳河婚庆文化园,4.7,单人按摩＋足浴＋修脚,37,18
芳琴养生spa,芙蓉区,人民中路/朝阳路/融圣国际,4.7,单人百草浴＋抗压舒缓＋身体放松套餐,198,17
康常驻按摩店,芙蓉区,芙蓉区,5.0,单人刮痧／拔罐二选一（新店开业）,18,17
龙尊会男士养生spa会所,芙蓉区,芙蓉区,4.6,单人生命之源SPA,498,14
湘越足浴,芙蓉区,袁家岭/火车站,3.7,艾灸护理,198,13
美人鱼足疗馆（农大店）,芙蓉区,湖南农业大学,4.1,单人鱼疗1次,28,0
瑞康经络养生,芙蓉区,德政园/杨家山,3.5,单人汗蒸,29.9,0
世龙世家手足健康连锁（雨花区城南中路店）,雨花区,窑岭/长岭,5.0,泡脚足浴+修脚护理单人套餐,9.9,26970
世龙世家手足护理连锁（雨花区圭塘路店）,雨花区,树木岭,4.9,泡脚足浴+修脚护理单人套餐,9.9,26970
上位足浴,雨花区,人民东路,5.0,单人标准足浴套餐,79,22210
颐而康（湘府东路旗舰店）,雨花区,天际岭,5.0,单人高桶养生足疗,100,19865
颐而康（井湾子钻石店）,雨花区,井湾子,5.0,单人高桶养生足疗,100,19865
颐而康按摩（赤岗冲旗舰店）,雨花区,雨花亭,5.0,单人高桶养生足疗,100,19865
华夏良子（长沙湘府路店）,雨花区,雨花区,5.0,代金券,75,11170
鸿远足浴（识字岭店）,雨花区,识字岭,5.0,单人神农养生足疗,98,7369
777健康养生会所,雨花区,汽车南站,5.0,单人普通沐足1次,89,5208
天之道（车站南路店）,雨花区,桂花路/车站南路,4.9,单人普通足浴,78,4567
天之道足浴（东城港店）,雨花区,运达中央广场,5.0,60分钟单人养生足浴,105,4429
福康保健中心（长沙总店）,雨花区,雨花区,5.0,单人80分钟足浴套餐,49,4421
鸥迪足道,雨花区,桂花路/车站南路,5.0,单人90分钟鸥迪足道+背部油压,119,4349
通程盛源酒店欣弘足浴（通程盛源店）,雨花区,红星国际会展中心,5.0,单人标准足浴1次,78,3987
天之道健康会所（香樟路店）,雨花区,民政学院/香樟路,5.0,单人普通足浴,105,3737
汉子足浴,雨花区,树木岭,5.0,单人足浴,138,3685
汉子足浴（环科园店）,雨花区,雨花区,5.0,下午场泰式足浴,78,3611
天之道健康会所（树木岭店）,雨花区,树木岭,5.0,单人道式足浴,118,3524
湖帝足道,雨花区,高桥,4.3,单人标准足浴,99,3162
天之道足浴（红星店）,雨花区,雨花区,5.0,单人足浴1次,109,2993
铭程保健,雨花区,窑岭/长岭,5.0,单人养生按摩/足疗2选1,62,2596
华雅国际大酒店（足浴中心）,雨花区,体育新城,5.0,单人保健足浴,98,1836
上艾堂艾灸养生馆赫拉美容（融圣国际店）,雨花区,雨花区,4.4,单人推拿+刮痧+拔罐+艾灸,76,1622
上艾堂艾灸养生会所（红星店）,雨花区,环保学院/科技职院,4.3,单人推拿+刮痧+拔罐+艾灸,76,1622
上艾堂艾灸养生（井湾子店）,雨花区,雨花区,3.7,单人推拿+刮痧+拔罐+艾灸,76,1622
金浪养生SPA会所,雨花区,喜盈门 /喜乐地,5.0,单人70分钟养生足浴,89,1540
颐而康（万家丽路钻石店）,雨花区,高桥,5.0,单人高桶养生足疗,110,1362
艾源堂（湘府店）,雨花区,天际岭,4.7,单人保健调理艾灸7选1,168,1324
佳有赞足浴养生会所,雨花区,雨花区,5.0,单人风之源足浴,88,1164
长沙市按摩中心（红星店）,雨花区,雨花区,5.0,单人专享套餐5选1,88,1127
长沙市按摩中心（天洋门诊）,雨花区,东塘,5.0,养生调理单人套餐,59,1092
嘉和天地养生驿站,雨花区,左家塘,5.0,单人百润油压,358,1039
一品堂足浴养生会所,雨花区,民政学院/香樟路,5.0,一品足疗,118,1038
美高足浴休闲会所（广圣店）,雨花区,汽车南站,3.6,单人普通足浴套餐,78,988
康悦足浴,雨花区,高桥,5.0,单人养生足疗,88,931
湘康盲人按摩,雨花区,雨花区,5.0,单人中医经络养生套餐,50,923
沐雅会养生空间,雨花区,高桥,5.0,单人经典足浴,88,900
乐畅沐足养生（通程大酒店店）,雨花区,窑岭/长岭,5.0,单人乐畅普足,98,898
金源养生馆（金源大酒店）,雨花区,梓园路/省儿童医院,5.0,单人70分钟闲时段明星足浴,98,844
聚诚足艺,雨花区,雨花区,5.0,单人实力沐足,79,826
维艾堂（万科金域华府店）,雨花区,民政学院/香樟路,5.0,单人刮痧拔罐二选一,29.9,778
水润江南保健按摩店（城南东路店）,雨花区,窑岭/长岭,5.0,单人下午场水润之源SPA,288,757
御海湾足浴养生会所,雨花区,雨花区,5.0,单人60分钟养生沐足,58,744
天之道足浴（雨花亭店）,雨花区,雨花亭,5.0,单人60分钟普通足浴,118,707
兰芝薰养生馆,雨花区,德思勤城市广场,5.0,单人全身推拿1次,78,695
大唐盛世沐足,雨花区,高桥,5.0,单人生命之树足浴,118,686
金手指推拿,雨花区,雨花亭,5.0,单人中式推拿调理套餐,55,665
见康道莱（华美达广场店）,雨花区,天际岭,5.0,单人培元足浴,158,644
悦足轩足道,雨花区,识字岭,4.9,养生足浴特惠套餐,79.9,628
家富富侨（中意一路店）,雨花区,汽车南站,5.0,单人贵宾足浴,79,615
鹊中道肩颈通专业经络调理（万博汇旗舰店）,雨花区,雨花亭,5.0,单人肩颈通,118,579
宝尊乐足浴会所（武广店）,雨花区,武广高铁,5.0,单人泰式足浴70分钟,88,570
阳光中医按摩养生馆（阳光锦城店）,雨花区,雨花亭,5.0,巴马瑶浴单人足疗,58,502
阳光中医按摩养生馆（潇影大厦店）,雨花区,东塘,5.0,巴马瑶浴单人足疗,58,502
艺馨堂亚健康调理中心,雨花区,体育新城,4.1,单人拔罐,19.9,475
浴足堂spa养生馆（红星店）,雨花区,汽车南站,4.8,单人经典spa,188,441
天上云间SPA养生馆,雨花区,雨花区,5.0,单人神归云端全身spa,238,419
涂涂采耳,雨花区,雨花亭,5.0,单人采耳、拔火罐、刮痧3选1,28.9,405
无为足道（喜乐地店）,雨花区,喜盈门 /喜乐地,5.0,单人60分钟中式足疗,159,402
风度俊容男士spa按摩养生会所（芙蓉中路店）,雨花区,雨花区,5.0,单人普罗旺斯香薰SPA,298,389
风度俊容男士spa按摩养生会所（韶山中路店）,雨花区,雨花亭,4.1,单人普罗旺斯香薰SPA,298,389
