商家,区域,商圈,星级,服务,价格,销量
世龙世家灰指甲手足健康连锁（市北区鞍山路店）,市北区,万达CBD,3.5,泡脚足浴+修脚护理单人套餐,9.9,26971
朋朋修脚（人民路店）,市北区,小村庄,4.4,单人足部护理套餐,33.9,15634
朋朋修脚（镇江路店）,市北区,市北家乐福,4.7,单人足部护理套餐,33.9,15634
五行能量养生馆,市北区,台东步行街商圈,5.0,单人走罐+拔罐,15.9,1192
李丽盲人推拿（台东店）,市北区,台东步行街商圈,5.0,单人推拿套餐,48.9,962
周和通络骨伤康复中心,市北区,台东步行街商圈,4.8,单人 全身经络推拿+拔罐套餐,68,871
福得宫国际保健会馆,市北区,市北家乐福,4.9,单人洗浴+桑拿+搓背/采耳/足疗3选1,38,531
微足道轮子修脚杭州路店,市北区,海云庵,5.0,颈肩护理+足疗套餐,19,516
海福康真功夫足疗,市北区,台东步行街商圈,5.0,足疗修脚拔罐套餐／推拿拔罐套餐（2选1）,58.8,438
扬州御足坊,市北区,万达CBD,5.0,单人足疗+全身按摩套餐,158,407
海福康真功夫足疗（总店）,市北区,台东步行街商圈,5.0,单人推拿拔罐套餐/足疗修脚拔罐套餐（2选1）（60分钟）,55,384
家家富桥,市北区,南京路北段,5.0,单人刮痧/拔罐/采耳3选1,29.9,345
福康堂亚健康调理中心（劲松一路店）,市北区,浮山后,5.0,单人局部推拿/小儿推拿 三选一,48,311
桐楠阁足道,市北区,浮山后,5.0,单人足疗+颈肩背调理+背部拔罐/膝盖热疗2选1套餐,58,251
塘子推拿养生,市北区,台东步行街商圈,4.9,足疗,50,235
尚道中式养生会馆,市北区,台东步行街商圈,4.9,尚道单人刮痧拔罐套餐,29.9,227
岛城真功夫（家乐福店）,市北区,市北家乐福,5.0,单人推拿（50分钟）+背部拔罐,55,218
清川足道,市北区,浮山后,4.1,单人足疗+推拿套餐,69,181
千淳真功夫足道（乐陵路店）,市北区,科技街,5.0,单人足疗+推拿套餐（70分钟）,69,100
富荣真功夫足疗,市北区,海云庵,4.7,单人足疗+推拿+走罐拔罐刮痧闪罐4选1,69.9,98
岛城真功夫（哈尔滨路店）,市北区,新业广场,3.6,单人全身推拿（50分钟）+拔罐,55,89
康来舒保健按摩苑,市北区,浮山后,4.8,单人中式推拿调理套餐,48,89
黄大夫推拿所错埠岭店,市北区,新业广场,4.2,单人局部推拿拔罐,38,76
清籁 足疗·养身·spa,市北区,凯德广场,5.0,足部轻风,118,69
林子足疗,市北区,市北区,5.0,单人足疗+推拿,50,64
御足道足疗保健馆,市北区,海云庵,5.0,单人按摩+刮痧+拔罐,40,64
原宿·古法推拿馆,市北区,市北区,4.7,单人古法全身推拿,98,60
爱美阁半永久减肥工作室（万达店）,市北区,万达CBD,4.5,肩颈调理,29.8,52
恒佳上瑶池养生会所,市北区,市北家乐福,4.7,单人足疗+精油开背+刮痧/拔罐/采耳三选一,238,49
世纪康按摩院,市北区,台东步行街商圈,5.0,草本足疗,35,48
金铭轩大兴推拿养生工作室,市北区,海琴广场,5.0,单人拔罐/刮痧（2选1）,15,39
小飞盲人按摩,市北区,浮山后,4.5,单人局部推拿,45,36
荷悦艾灸,市北区,市北家乐福,4.0,单人艾灸调理套餐,69,35
大众专业修脚,市北区,台东步行街商圈,3.5,单人生姜热理超值套餐,34,26
清悦庭保健会所,市北区,台东步行街商圈,3.9,单人养生SPA,99,23
妙手李按摩馆,市北区,浮山后,4.0,单人成人推拿,55,19
朱氏推拿,市北区,小村庄,3.8,单人全身推拿,55,16
荣凯盲人推拿足疗（台东五路店）,市北区,台东步行街商圈,4.5,单人全身推拿30分钟,34,12
乐道水疗SPA养生保健会所,市北区,台东步行街商圈,4.5,单人深渡减压SPA,498,6
舒院美学推拿空间（浮山后社区店）,市北区,浮山后,5.0,单人中式全身推拿,98,5
及时雨推拿院（台东店）,市北区,台东步行街商圈,4.5,单人全身SPA,229,5
易骨堂（浮山后店）,市北区,浮山后,4.0,单人刮痧/拔罐二选一,9.9,1
源SPA水疗中心,市北区,万达CBD,3.0,单人夏威夷格调SPA套餐+万达艾美酒店经典大床房一晚,1580,0
通和推拿康复中心,市北区,海云庵,3.5,单人刮痧,28,0
易骨堂（长春路店）,市北区,市北区,3.5,单人运动功能训练,200,0
中蓉,市北区,市北区,3.5,代金券,100,0
世龙世家手足健康护理连锁（市南区香港中路店）,市南区,香港中路沿线,4.0,泡脚足浴+修脚护理单人套餐,9.9,26971
华夏良子（青岛云霄路店）,市南区,云霄路,5.0,代金券,75,11170
华夏良子（青岛银海店）,市南区,银海大世界,5.0,代金券,75,11170
华夏良子（青岛中联店）,市南区,中联广场,5.0,代金券,75,11170
良子健身（五四广场店）,市南区,万象城,4.7,单人足部保健套餐,148,8418
良子健身（福州路店）,市南区,大润发,4.3,单人足部保健套餐,148,8418
良子健身（闽江路店）,市南区,闽江路,4.4,单人足部保健套餐,148,8418
鼎康泰定制足道,市南区,香港中路沿线,5.0,单人阴阳足道+背部与后腿部按摩/古式踩跷2选1,188,6039
盈足堂保健会所福州路店,市南区,香港中路沿线,5.0,单人足疗套餐福州路店,86,3119
