菜系分类,商家名称,下辖区,商圈,人均消费,评分,评价人数
川湘菜,溪雨观酸菜鱼（上南路店）,浦东新区,迪士尼,59,100,4109
川湘菜,溪雨观酸菜鱼（惠南店）,浦东新区,野生动物园外围,57,100,9828
川湘菜,淮南牛肉汤会馆（宝龙广场店）,浦东新区,曹路,33,100,4249
川湘菜,红辣椒（张杨路店）,浦东新区,八佰伴,84,100,2797
川湘菜,麻省理功-深海烤鱼（东方路店）,浦东新区,陆家嘴,72,100,1096
川湘菜,望湘园（潍坊店）,浦东新区,浦东新区,82,100,1332
川湘菜,溪雨观酸菜鱼（周东路店）,浦东新区,迪士尼,55,100,1391
川湘菜,面非面重庆料理（面非面三钢里店）,浦东新区,世博园,32,100,490
川湘菜,鱼酷活鱼现烤（三钢里店）,浦东新区,世博园,86,100,464
川湘菜,重庆.我家酸菜鱼,浦东新区,世博园,56,100,1679
川湘菜,川中故事（东书房店）,浦东新区,世博园,68,100,1169
川湘菜,桃花源酒家（张江店）,浦东新区,张江,49,100,2582
川湘菜,西游麻辣香锅（南泉北路店）,浦东新区,陆家嘴,54,100,836
川湘菜,人间烟火（汇智国际店）,浦东新区,张江,51,100,1681
川湘菜,江南公社（惠南镇店）,浦东新区,野生动物园外围,59,100,741
川湘菜,川乐小镇（金科路店）,浦东新区,张江,48,94,1266
川湘菜,侬来辣冒菜（施湾绿地店）,浦东新区,浦东机场/机场镇,20,100,421
川湘菜,粗菜淡饭（金海店）,浦东新区,曹路,49,100,1227
川湘菜,我家酸菜鱼（川沙家乐福店）,浦东新区,迪士尼,55,100,1862
川湘菜,壹品鱼·我家酸菜鱼（康桥店）,浦东新区,迪士尼,64,100,671
川湘菜,九度湘菜（三林店）,浦东新区,世博园,62,100,416
川湘菜,江枫鱼火,浦东新区,临港新城/泥城,54,100,777
川湘菜,魔锅坊麻辣香锅（秀沿店）,浦东新区,迪士尼,54,100,645
川湘菜,我家石锅鱼,浦东新区,迪士尼,50,100,1451
川湘菜,冒香园冒菜（妙境店）,浦东新区,迪士尼,29,100,891
川湘菜,魔锅坊麻辣香锅（紫薇路店）,浦东新区,张江,51,100,494
川湘菜,小城渔家（96广场店）,浦东新区,八佰伴,82,100,53
川湘菜,湘坂亭（周浦万达店）,浦东新区,迪士尼,56,100,750
川湘菜,厚味香辣馆（金桥金海路宝龙店）,浦东新区,曹路,65,100,1030
川湘菜,熊喵四川麻辣香锅（汇智国际店）,浦东新区,张江,43,100,682
川湘菜,军民小菜,浦东新区,世博园,57,100,425
川湘菜,品鱼轩（浦东大道店）,浦东新区,源深体育中心,84,100,271
川湘菜,川流不息（川沙店）,浦东新区,迪士尼,56,100,1006
川湘菜,川奇冒菜（城东路店）,浦东新区,野生动物园外围,23,100,672
川湘菜,辣旺鱼庄段式龙虾,浦东新区,陆家嘴,93,100,249
川湘菜,9家湘菜（中房金谊广场店）,浦东新区,世博园,56,98,646
川湘菜,汉东酸菜鱼（莲安东路店）,浦东新区,北蔡,59,100,452
川湘菜,巫山烤鱼（城东路店）,浦东新区,野生动物园外围,48,100,1068
川湘菜,江南公社（川沙店）,浦东新区,迪士尼,58,100,720
川湘菜,本塘·我家酸菜鱼（秀沿路店）,浦东新区,迪士尼,56,100,668
川湘菜,沪部巷楚文化餐厅【龙虾季】（大拇指店）,浦东新区,浦东新区,69,100,46
川湘菜,家湘菜（莲园路店）,浦东新区,北蔡,40,100,462
川湘菜,靓味村夫烤鱼（周浦店）,浦东新区,迪士尼,50,100,384
川湘菜,红桃9麻辣料理（宝龙城市广场店）,浦东新区,曹路,51,100,126
川湘菜,新招鲜巫山烤鱼（羽山路店）,浦东新区,金桥,64,92,149
川湘菜,重庆鸡公煲川夫烤鱼（顾唐路店）,浦东新区,曹路,30,100,370
川湘菜,福祺道新概念鱼餐厅,浦东新区,航头,48,100,136
川湘菜,周先生餐厅（南汇店）,浦东新区,野生动物园外围,62,100,524
川湘菜,味知食尚烤鱼（川沙北市街店）,浦东新区,迪士尼,60,100,300
川湘菜,羿府湘菜（博览汇广场店）,浦东新区,世纪公园,49,100,430
川湘菜,本色 我家酸菜鱼（福山路店）,浦东新区,八佰伴,63,100,198
川湘菜,江枫鱼火麻辣香锅（临港宝龙店）,浦东新区,临港新城/泥城,39,100,290
川湘菜,重庆石锅鱼烤活鱼,浦东新区,航头,60,100,377
川湘菜,沪部巷楚文化餐厅【龙虾季】（梅花路店）,浦东新区,世纪公园,72,100,46
川湘菜,香宜度麻辣香锅（齐河路店）,浦东新区,浦东新区,41,100,276
川湘菜,老味道湘菜,浦东新区,迪士尼,66,100,39
川湘菜,香辣蟹（上南路店）,浦东新区,迪士尼,69,100,103
川湘菜,溪雨观酸菜鱼（牌楼东路店）,浦东新区,新场,49,100,300
川湘菜,重庆鸡公煲村夫烤鱼,浦东新区,航头,37,100,134
川湘菜,川沪饭店,浦东新区,高东/杨园,48,98,183
川湘菜,东坡鱼府（迪斯尼店）,浦东新区,迪士尼,65,98,55
川湘菜,溪雨观酸菜鱼（绿地东海岸店）,浦东新区,迪士尼,48,100,522
川湘菜,香辣蟹（三林店）,浦东新区,浦东新区,50,100,32
川湘菜,深海鱼庄,浦东新区,浦东新区,44,100,105
川湘菜,乡村土灶台巫山烤鱼,浦东新区,张江,39,100,117
川湘菜,思湘阁,浦东新区,金桥商业广场,50,100,86
川湘菜,五厨（96广场店）,浦东新区,八佰伴,55,100,14
川湘菜,毛家湘菜,浦东新区,金桥,47,100,80
川湘菜,范小柒 （龙虾浦电路店）,浦东新区,浦东新区,59,100,24
川湘菜,虾府烤鱼,浦东新区,源深体育中心,64,100,67
川湘菜,溪雨观酸菜鱼（源深体育馆店）,浦东新区,源深体育中心,41,100,40
川湘菜,魔锅坊麻辣香锅,浦东新区,迪士尼,40,100,219
川湘菜,喜倌儿龙凤楼（迪斯尼店）,浦东新区,迪士尼,49,100,501
川湘菜,辛渝宴·秘制江湖鱼（三钢里店）,浦东新区,浦东新区,52,100,50
川湘菜,本塘我家酸菜鱼（航头店）,浦东新区,航头,50,100,277
川湘菜,渔人客栈,浦东新区,迪士尼,50,100,168
川湘菜,乌托邦娱乐餐吧（小龙虾）,浦东新区,迪士尼,82,100,89
川湘菜,皖沪湘川,浦东新区,迪士尼,46,100,82
川湘菜,卜鱼者说-深海烤鱼,浦东新区,迪士尼,115,100,35
川湘菜,鼎好鱼（临港宝龙店）,浦东新区,临港新城/泥城,51,100,97
川湘菜,珍馨麻辣香锅,浦东新区,金桥,20,100,43
川湘菜,巴厘龙虾（周浦万达店）,浦东新区,迪士尼,54,100,25
川湘菜,聚味鸡公煲&麻辣香锅,浦东新区,浦东机场/机场镇,35,100,90
川湘菜,故湘（潍坊路店）,浦东新区,陆家嘴,95,100,51
川湘菜,刘记麻辣香锅,浦东新区,外高桥,33,100,68
川湘菜,小团圆私厨菜,浦东新区,陆家嘴,54,100,29
川湘菜,香奥人家,浦东新区,迪士尼,37,100,16
川湘菜,吃货石锅鱼,浦东新区,浦东机场/机场镇,35,100,32
川湘菜,本塘我家酸菜鱼（北蔡店）,浦东新区,北蔡,58,100,43
川湘菜,重庆鸡公煲（浦电路店）,浦东新区,陆家嘴,34,100,48
川湘菜,红麒麟成都料理,浦东新区,陆家嘴,33,100,142
川湘菜,魔锅坊（苏航生活广场店）,浦东新区,航头,51,100,62
川湘菜,三彩人家,浦东新区,浦东新区,45,100,29
川湘菜,侬来辣冒菜（绿地乐和城店）,浦东新区,迪士尼,30,100,137
川湘菜,湖南农家小炒（潍坊三村店）,浦东新区,浦东新区,37,100,38
川湘菜,烤鱼府~正宗烤鱼,浦东新区,野生动物园外围,62,100,49
川湘菜,葫芦蛙炭烧牛蛙餐厅（龙阳广场店）,浦东新区,浦东新区,70,100,45
川湘菜,马总家欢迎您,浦东新区,迪士尼,85,100,68
川湘菜,渝府烤鱼街,浦东新区,迪士尼,65,100,69
川湘菜,望湘园（百联川沙店）,浦东新区,迪士尼,90,100,31
川湘菜,半城半乡,浦东新区,浦东新区,25,100,0
川湘菜,渝府我家泡菜鱼（秀沿路 迪士尼店）,浦东新区,迪士尼,57,98,277
川湘菜,兔当家（三钢里店）,浦东新区,世博园,67,98,622
川湘菜,八酒食（马樱丹路店）,浦东新区,临港新城/泥城,36,98,167
川湘菜,浦东人民公社,浦东新区,浦东新区,52,98,47
川湘菜,川中故事（周康路店）,浦东新区,迪士尼,66,96,2554
川湘菜,川香园麻辣香锅（惠南百联店）,浦东新区,野生动物园外围,40,98,1197
川湘菜,拿渡麻辣香锅（南汇乐购店）,浦东新区,野生动物园外围,59,96,1121
川湘菜,湘源时尚主题湘菜（临港店）,浦东新区,临港新城/泥城,57,96,347
川湘菜,沪碗湘,浦东新区,外高桥,47,96,398
川湘菜,麻辣火锅鸡,浦东新区,外高桥,39,96,177
川湘菜,倪氏盱眙龙虾（川沙店）,浦东新区,迪士尼,78,96,45
川湘菜,品安煲,浦东新区,浦东新区,50,92,12
川湘菜,品川（长泰广场店）,浦东新区,张江,134,94,418
川湘菜,李记麻辣香锅（龙阳广场店）,浦东新区,浦东新区,48,94,1285
川湘菜,蜀州渔（张江店）,浦东新区,张江,55,94,1510
川湘菜,巧手香锅牛蛙（龙汇路店）,浦东新区,浦东新区,62,94,23
川湘菜,柠檬椒砂锅鱼（百联东郊店）,浦东新区,迪士尼,74,94,162
川湘菜,我在成都等你（崂山路店）,浦东新区,八佰伴,49,94,100
川湘菜,君满客特色酸菜鱼,浦东新区,迪士尼,50,94,41
川湘菜,彭福川湘菜馆·万州烤鱼（上海金桥大拇指广场店）,浦东新区,金桥,73,94,43
川湘菜,聚福鑫,浦东新区,迪士尼,44,94,38
川湘菜,赣湘阁【江西特色菜】,浦东新区,世纪公园,40,94,9
川湘菜,盆盆香川味食代（龙汇路店）,浦东新区,浦东新区,70,94,9
川湘菜,再回首泡椒牛蛙,浦东新区,世博园,48,90,104
川湘菜,恰麻辣香锅（云雅路店）,浦东新区,迪士尼,42,92,932
川湘菜,湘音土菜馆（紫薇路店）,浦东新区,张江,54,92,450
川湘菜,麓湘小镇（新梅联合广场店）,浦东新区,陆家嘴,59,92,25
川湘菜,农二哥农家小菜,浦东新区,张江,32,92,238
川湘菜,湘约湘菜馆,浦东新区,迪士尼,32,90,268
川湘菜,大碗湘,浦东新区,迪士尼,46,92,189
川湘菜,好妈妈川菜（外高桥店）,浦东新区,外高桥,45,90,135
川湘菜,蜀湘宴（上川路店）,浦东新区,曹路,57,92,74
川湘菜,溪雨观酸菜鱼（金海路宝龙广场店）,浦东新区,曹路,60,96,14
川湘菜,正杰一品酸菜鱼,浦东新区,浦东新区,75,90,37
川湘菜,湘沪缘,浦东新区,迪士尼,40,92,32
川湘菜,本色 我家酸菜鱼（金杨路店）,浦东新区,金桥,78,92,3
川湘菜,东北烧烤巫山烤鱼,浦东新区,金桥,43,92,1
川湘菜,魔锅坊麻辣香锅（1088广场店）,浦东新区,陆家嘴,45,90,492
