区域,商圈,均价,成交量
浦东,北蔡,62644,135
浦东,碧云,85293,17
浦东,川沙,40749,327
浦东,曹路,40443,103
浦东,高行,55197,59
浦东,航头,34101,91
浦东,惠南,30480,225
浦东,花木,71168,62
浦东,金桥,57009,384
浦东,金杨,61378,171
浦东,康桥,50477,138
浦东,联洋,97325,53
浦东,临港新城,24291,263
浦东,陆家嘴,89757,130
浦东,南码头,59333,52
浦东,三林,58028,290
浦东,世博,58633,307
浦东,世纪公园,86356,53
浦东,塘桥,67839,76
浦东,唐镇,50459,75
浦东,外高桥,47352,176
浦东,潍坊,82649,82
浦东,新场,33353,39
浦东,杨东,76580,28
浦东,洋泾,76301,102
浦东,源深,暂无资料,暂无资料
浦东,张江,66000,109
浦东,周浦,44993,127
浦东,祝桥,31531,24
闵行,春申,54094,93
闵行,古美,59657,122
闵行,航华,41629,54
闵行,华漕,53287,109
闵行,金虹桥,暂无资料,暂无资料
闵行,金汇,49190,18
闵行,静安新城,50039,28
闵行,老闵行,38283,159
闵行,龙柏,48477,44
闵行,罗阳,暂无资料,暂无资料
闵行,马桥,42214,26
闵行,梅陇,53615,50
闵行,浦江,42487,280
闵行,七宝,50579,114
闵行,吴泾,39839,55
闵行,莘庄,44367,167
闵行,颛桥,43238,116
徐汇,漕河泾,56435,5
徐汇,长桥,62876,56
徐汇,衡山路,103868,28
徐汇,华东理工,暂无资料,暂无资料
徐汇,华泾,52260,55
徐汇,建国西路,107758,26
徐汇,康健,67302,113
徐汇,龙华,74002,62
徐汇,田林,67753,82
徐汇,万体馆,72060,37
徐汇,斜土路,72330,84
徐汇,徐汇滨江,74012,23
徐汇,徐家汇,84635,117
徐汇,植物园,66069,43
徐汇,上海南站,66101,29
宝山,大场镇,47048,11
宝山,大华,56641,75
宝山,高境,51238,75
宝山,共富,42540,25
宝山,共康,49648,61
宝山,顾村,39168,172
宝山,罗店,33227,68
宝山,罗泾,22248,31
宝山,上大,44023,85
宝山,淞宝,46495,186
宝山,淞南,48392,101
宝山,通河,47444,101
宝山,杨行,39912,106
宝山,月浦,暂无资料,暂无资料
宝山,张庙,46657,43
普陀,曹杨,57975,122
普陀,长风,60759,52
普陀,长寿路,62430,53
普陀,长征,57675,71
普陀,光新,62470,43
普陀,桃浦,47496,114
普陀,万里,63032,39
普陀,武宁,63021,37
普陀,真光,53277,23
普陀,真如,58611,71
普陀,中远两湾城,69793,18
普陀,甘泉,55125,59
普陀,宜川,58049,87
长宁,北新泾,61774,95
长宁,古北,82826,51
长宁,虹桥,68364,78
长宁,天山,78729,72
长宁,西郊,67865,28
长宁,仙霞,56531,55
长宁,新华路,77321,81
长宁,镇宁路,97599,19
长宁,中山公园,78938,129
杨浦,鞍山,61594,143
杨浦,东外滩,61300,87
杨浦,黄兴公园,62790,118
杨浦,控江路,63167,94
杨浦,五角场,58777,93
杨浦,新江湾城,71954,31
杨浦,杨浦大桥,66280,3
杨浦,中原,54329,151
杨浦,周家嘴路,60945,25
松江,九亭,40239,108
松江,佘山,38493,26
松江,泗泾,34068,209
松江,松江老城,29374,213
松江,松江新城,34255,149
松江,莘闵别墅,39326,29
松江,新桥,33243,38
松江,松江大学城,40632,32
嘉定,安亭,25917,98
嘉定,丰庄,47120,78
嘉定,嘉定城区,28674,247
嘉定,江桥,42734,196
嘉定,菊园新区,28971,44
嘉定,南翔,38322,67
嘉定,马陆,26564,13
嘉定,嘉定新城,33288,12
虹口,北外滩,75131,22
虹口,江湾镇,55009,32
虹口,凉城,57068,128
虹口,临平路,70285,55
虹口,鲁迅公园,63670,40
虹口,曲阳,62930,100
虹口,四川北路,63388,31
闸北,不夜城,70548,45
闸北,大宁,66995,145
闸北,彭浦,51605,205
闸北,西藏北路,60258,56
闸北,阳城,54559,31
闸北,永和,51439,38
闸北,闸北公园,63462,55
静安,曹家渡,86885,34
静安,江宁路,82299,23
静安,静安寺,95862,55
静安,南京西路,107095,57
黄浦,董家渡,88715,16
黄浦,黄浦滨江,93235,22
黄浦,老西门,88688,20
黄浦,南京东路,83713,3
黄浦,蓬莱公园,73100,29
黄浦,人民广场,89746,7
黄浦,豫园,83428,11
卢湾,打浦桥,76418,79
卢湾,淮海中路,105838,10
卢湾,世博滨江,76021,6
卢湾,五里桥,84637,26
卢湾,新天地,122585,25
青浦,白鹤,22623,41
青浦,重固,27632,16
青浦,华新,32932,38
青浦,青浦城区,31677,236
青浦,徐泾,43337,64
青浦,朱家角,21907,104
青浦,赵巷,38962,118
奉贤,奉城,17286,79
奉贤,奉贤其他,25231,64
奉贤,海湾,19039,39
奉贤,海湾旅游区,20453,64
奉贤,金汇镇,22569,25
奉贤,南桥,28305,220
奉贤,西渡,29040,63
奉贤,柘林,17251,27
奉贤,庄行,13648,17
金山,枫泾,10379,49
金山,金山其他,16873,127
金山,金山新城,19103,244
金山,石化,17437,194
金山,亭林,13842,29
金山,朱泾,14570,85
崇明,长兴岛,18815,25
崇明,堡镇,9743,24
崇明,新河,9617,15
崇明,南门,21463,118
崇明,崇明其他,10635,232
